quarter,town,flat_type,price
2008-Q2,Geylang,5-room,437500
2008-Q2,Geylang,Executive,-
2008-Q2,Hougang,1-room,0
2008-Q2,Hougang,2-room,0
2008-Q2,Hougang,3-room,212900
2008-Q2,Hougang,4-room,295000
2008-Q2,Hougang,5-room,376500
2008-Q2,Hougang,Executive,460000
2008-Q2,Jurong East,1-room,0
2008-Q2,Jurong East,2-room,0
2008-Q2,Jurong East,3-room,208500
2008-Q2,Jurong East,4-room,293500
2008-Q2,Jurong East,5-room,386400
2008-Q2,Jurong East,Executive,550000
2008-Q2,Jurong West,1-room,0
2008-Q2,Jurong West,2-room,0
2008-Q2,Jurong West,3-room,187800
2008-Q2,Jurong West,4-room,274000
2008-Q2,Jurong West,5-room,348000
2008-Q2,Jurong West,Executive,382000
2008-Q2,Kallang/Whampoa,1-room,0
2008-Q2,Kallang/Whampoa,2-room,-
2008-Q2,Kallang/Whampoa,3-room,225000
2008-Q2,Kallang/Whampoa,4-room,379000
2008-Q2,Kallang/Whampoa,5-room,484000
2008-Q2,Kallang/Whampoa,Executive,-
2008-Q2,Marine Parade,1-room,0
2008-Q2,Marine Parade,2-room,0
2008-Q2,Marine Parade,3-room,302800
2008-Q2,Marine Parade,4-room,-
2008-Q2,Marine Parade,5-room,-
2008-Q2,Marine Parade,Executive,0
2008-Q2,Pasir Ris,1-room,0
2008-Q2,Pasir Ris,2-room,0
2008-Q2,Pasir Ris,3-room,0
2008-Q2,Pasir Ris,4-room,310000
2008-Q2,Pasir Ris,5-room,370000
2008-Q2,Pasir Ris,Executive,470000
2008-Q2,Punggol,1-room,0
2008-Q2,Punggol,2-room,0
2008-Q2,Punggol,3-room,0
2008-Q2,Punggol,4-room,317000
2008-Q2,Punggol,5-room,385000
2008-Q2,Punggol,Executive,-
2008-Q2,Queenstown,1-room,0
2008-Q2,Queenstown,2-room,-
2008-Q2,Queenstown,3-room,245000
2008-Q2,Queenstown,4-room,458000
2008-Q2,Queenstown,5-room,617500
2008-Q2,Queenstown,Executive,-
2008-Q2,Sembawang,1-room,0
2008-Q2,Sembawang,2-room,0
2008-Q2,Sembawang,3-room,0
2008-Q2,Sembawang,4-room,288000
2008-Q2,Sembawang,5-room,345000
2008-Q2,Sembawang,Executive,405000
2008-Q2,Sengkang,1-room,0
2008-Q2,Sengkang,2-room,0
2008-Q2,Sengkang,3-room,0
2008-Q2,Sengkang,4-room,310000
2008-Q2,Sengkang,5-room,368000
2008-Q2,Sengkang,Executive,448000
2008-Q2,Serangoon,1-room,0
2008-Q2,Serangoon,2-room,-
2008-Q2,Serangoon,3-room,225000
2008-Q2,Serangoon,4-room,308000
2008-Q2,Serangoon,5-room,393000
2008-Q2,Serangoon,Executive,467000
2008-Q2,Tampines,1-room,0
2008-Q2,Tampines,2-room,0
2008-Q2,Tampines,3-room,243000
2008-Q2,Tampines,4-room,317500
2008-Q2,Tampines,5-room,385000
2008-Q2,Tampines,Executive,486000
2008-Q2,Toa Payoh,1-room,0
2008-Q2,Toa Payoh,2-room,-
2008-Q2,Toa Payoh,3-room,235000
2008-Q2,Toa Payoh,4-room,396500
2008-Q2,Toa Payoh,5-room,538000
2008-Q2,Toa Payoh,Executive,-
2008-Q2,Woodlands,1-room,0
2008-Q2,Woodlands,2-room,-
2008-Q2,Woodlands,3-room,183000
2008-Q2,Woodlands,4-room,268000
2008-Q2,Woodlands,5-room,322000
2008-Q2,Woodlands,Executive,400000
2008-Q2,Yishun,1-room,0
2008-Q2,Yishun,2-room,0
2008-Q2,Yishun,3-room,195500
2008-Q2,Yishun,4-room,235000
2008-Q2,Yishun,5-room,325000
2008-Q2,Yishun,Executive,372000
2008-Q3,Ang Mo Kio,1-room,0
2008-Q3,Ang Mo Kio,2-room,-
2008-Q3,Ang Mo Kio,3-room,238900
2008-Q3,Ang Mo Kio,4-room,333000
2008-Q3,Ang Mo Kio,5-room,468000
2008-Q3,Ang Mo Kio,Executive,0
2008-Q3,Bedok,1-room,0
2008-Q3,Bedok,2-room,-
2008-Q3,Bedok,3-room,223000
2008-Q3,Bedok,4-room,305000
2008-Q3,Bedok,5-room,430000
2008-Q3,Bedok,Executive,471000
2008-Q3,Bishan,1-room,0
2008-Q3,Bishan,2-room,0
2008-Q3,Bishan,3-room,-
2008-Q3,Bishan,4-room,390000
2008-Q3,Bishan,5-room,537500
2008-Q3,Bishan,Executive,-
2008-Q3,Bukit Batok,1-room,0
2008-Q3,Bukit Batok,2-room,0
2008-Q3,Bukit Batok,3-room,222500
2008-Q3,Bukit Batok,4-room,335000
2008-Q3,Bukit Batok,5-room,441400
2008-Q3,Bukit Batok,Executive,470000
2008-Q3,Bukit Merah,1-room,-
2008-Q3,Bukit Merah,2-room,-
2008-Q3,Bukit Merah,3-room,270000
2008-Q3,Bukit Merah,4-room,438300
2008-Q3,Bukit Merah,5-room,572000
2008-Q3,Bukit Merah,Executive,0
2008-Q3,Bukit Panjang,1-room,0
2008-Q3,Bukit Panjang,2-room,0
2008-Q3,Bukit Panjang,3-room,207000
2008-Q3,Bukit Panjang,4-room,284000
2008-Q3,Bukit Panjang,5-room,360000
2008-Q3,Bukit Panjang,Executive,457500
2008-Q3,Bukit Timah,1-room,0
2008-Q3,Bukit Timah,2-room,0
2008-Q3,Bukit Timah,3-room,-
2008-Q3,Bukit Timah,4-room,-
2008-Q3,Bukit Timah,5-room,-
2008-Q3,Bukit Timah,Executive,-
2008-Q3,Central,1-room,0
2008-Q3,Central,2-room,-
2008-Q3,Central,3-room,310000
2008-Q3,Central,4-room,-
2008-Q3,Central,5-room,-
2008-Q3,Central,Executive,0
2008-Q3,Choa Chu Kang,1-room,0
2008-Q3,Choa Chu Kang,2-room,0
2008-Q3,Choa Chu Kang,3-room,-
2008-Q3,Choa Chu Kang,4-room,299000
2008-Q3,Choa Chu Kang,5-room,358800
2008-Q3,Choa Chu Kang,Executive,413000
2008-Q3,Clementi,1-room,0
2008-Q3,Clementi,2-room,0
2008-Q3,Clementi,3-room,247000
2008-Q3,Clementi,4-room,367000
2008-Q3,Clementi,5-room,-
2008-Q3,Clementi,Executive,-
2008-Q3,Geylang,1-room,0
2008-Q3,Geylang,2-room,-
2008-Q3,Geylang,3-room,205500
2008-Q3,Geylang,4-room,364000
2008-Q3,Geylang,5-room,-
2008-Q3,Geylang,Executive,-
2008-Q3,Hougang,1-room,0
2008-Q3,Hougang,2-room,0
2008-Q3,Hougang,3-room,225000
2008-Q3,Hougang,4-room,303000
2008-Q3,Hougang,5-room,380000
2008-Q3,Hougang,Executive,462000
2008-Q3,Jurong East,1-room,0
2008-Q3,Jurong East,2-room,0
2008-Q3,Jurong East,3-room,227500
2008-Q3,Jurong East,4-room,308500
2008-Q3,Jurong East,5-room,418000
2008-Q3,Jurong East,Executive,465000
2008-Q3,Jurong West,1-room,0
2008-Q3,Jurong West,2-room,0
2008-Q3,Jurong West,3-room,197500
2008-Q3,Jurong West,4-room,294500
2008-Q3,Jurong West,5-room,363000
2008-Q3,Jurong West,Executive,406000
2008-Q3,Kallang/Whampoa,1-room,0
2008-Q3,Kallang/Whampoa,2-room,-
2008-Q3,Kallang/Whampoa,3-room,241000
2008-Q3,Kallang/Whampoa,4-room,400900
2008-Q3,Kallang/Whampoa,5-room,520000
2008-Q3,Kallang/Whampoa,Executive,-
2008-Q3,Marine Parade,1-room,0
2008-Q3,Marine Parade,2-room,0
2008-Q3,Marine Parade,3-room,313000
2008-Q3,Marine Parade,4-room,-
2008-Q3,Marine Parade,5-room,632500
2008-Q3,Marine Parade,Executive,0
2008-Q3,Pasir Ris,1-room,0
2008-Q3,Pasir Ris,2-room,-
2008-Q3,Pasir Ris,3-room,-
2008-Q3,Pasir Ris,4-room,320000
2008-Q3,Pasir Ris,5-room,375000
2008-Q3,Pasir Ris,Executive,500500
2008-Q3,Punggol,1-room,0
2008-Q3,Punggol,2-room,0
2008-Q3,Punggol,3-room,0
2008-Q3,Punggol,4-room,327000
2008-Q3,Punggol,5-room,391500
2008-Q3,Punggol,Executive,-
2008-Q3,Queenstown,1-room,0
2008-Q3,Queenstown,2-room,-
2008-Q3,Queenstown,3-room,272000
2008-Q3,Queenstown,4-room,481000
2008-Q3,Queenstown,5-room,-
2008-Q3,Queenstown,Executive,-
2008-Q3,Sembawang,1-room,0
2008-Q3,Sembawang,2-room,0
2008-Q3,Sembawang,3-room,0
2008-Q3,Sembawang,4-room,300800
2008-Q3,Sembawang,5-room,355000
2008-Q3,Sembawang,Executive,-
2008-Q3,Sengkang,1-room,0
2008-Q3,Sengkang,2-room,0
2008-Q3,Sengkang,3-room,0
2008-Q3,Sengkang,4-room,320000
2008-Q3,Sengkang,5-room,374000
2008-Q3,Sengkang,Executive,458000
2008-Q3,Serangoon,1-room,0
2008-Q3,Serangoon,2-room,0
2008-Q3,Serangoon,3-room,231500
2008-Q3,Serangoon,4-room,325000
2008-Q3,Serangoon,5-room,414000
2008-Q3,Serangoon,Executive,485000
2008-Q3,Tampines,1-room,0
2008-Q3,Tampines,2-room,0
2008-Q3,Tampines,3-room,252000
2008-Q3,Tampines,4-room,330000
2008-Q3,Tampines,5-room,395000
2008-Q3,Tampines,Executive,488000
2008-Q3,Toa Payoh,1-room,0
2008-Q3,Toa Payoh,2-room,-
2008-Q3,Toa Payoh,3-room,251500
2008-Q3,Toa Payoh,4-room,397000
2008-Q3,Toa Payoh,5-room,553000
2008-Q3,Toa Payoh,Executive,-
2008-Q3,Woodlands,1-room,0
2008-Q3,Woodlands,2-room,-
2008-Q3,Woodlands,3-room,192000
2008-Q3,Woodlands,4-room,283400
2008-Q3,Woodlands,5-room,330000
2008-Q3,Woodlands,Executive,420000
2008-Q3,Yishun,1-room,0
2008-Q3,Yishun,2-room,0
2008-Q3,Yishun,3-room,203000
2008-Q3,Yishun,4-room,251000
2008-Q3,Yishun,5-room,338000
2008-Q3,Yishun,Executive,-
2008-Q4,Ang Mo Kio,1-room,0
2008-Q4,Ang Mo Kio,2-room,-
2008-Q4,Ang Mo Kio,3-room,246000
2008-Q4,Ang Mo Kio,4-room,341000
2008-Q4,Ang Mo Kio,5-room,468800
2008-Q4,Ang Mo Kio,Executive,-
2008-Q4,Bedok,1-room,0
2008-Q4,Bedok,2-room,-
2008-Q4,Bedok,3-room,232000
2008-Q4,Bedok,4-room,315000
2008-Q4,Bedok,5-room,420000
2008-Q4,Bedok,Executive,-
2008-Q4,Bishan,1-room,0
2008-Q4,Bishan,2-room,0
2008-Q4,Bishan,3-room,285000
2008-Q4,Bishan,4-room,407000
2008-Q4,Bishan,5-room,517500
2008-Q4,Bishan,Executive,-
2008-Q4,Bukit Batok,1-room,0
2008-Q4,Bukit Batok,2-room,0
2008-Q4,Bukit Batok,3-room,230000
2008-Q4,Bukit Batok,4-room,328000
2008-Q4,Bukit Batok,5-room,472500
2008-Q4,Bukit Batok,Executive,-
2008-Q4,Bukit Merah,1-room,-
2008-Q4,Bukit Merah,2-room,-
2008-Q4,Bukit Merah,3-room,270000
2008-Q4,Bukit Merah,4-room,463000
2008-Q4,Bukit Merah,5-room,550000
2008-Q4,Bukit Merah,Executive,0
2008-Q4,Bukit Panjang,1-room,0
2008-Q4,Bukit Panjang,2-room,0
2008-Q4,Bukit Panjang,3-room,218000
2008-Q4,Bukit Panjang,4-room,289500
2008-Q4,Bukit Panjang,5-room,360000
2008-Q4,Bukit Panjang,Executive,-
2008-Q4,Bukit Timah,1-room,0
2008-Q4,Bukit Timah,2-room,0
2008-Q4,Bukit Timah,3-room,-
2008-Q4,Bukit Timah,4-room,-
2008-Q4,Bukit Timah,5-room,-
2008-Q4,Bukit Timah,Executive,-
2008-Q4,Central,1-room,0
2008-Q4,Central,2-room,-
2008-Q4,Central,3-room,-
2008-Q4,Central,4-room,-
2008-Q4,Central,5-room,0
2008-Q4,Central,Executive,0
2008-Q4,Choa Chu Kang,1-room,0
2008-Q4,Choa Chu Kang,2-room,0
2008-Q4,Choa Chu Kang,3-room,-
2008-Q4,Choa Chu Kang,4-room,301500
2008-Q4,Choa Chu Kang,5-room,362000
2008-Q4,Choa Chu Kang,Executive,423000
2008-Q4,Clementi,1-room,0
2008-Q4,Clementi,2-room,-
2008-Q4,Clementi,3-room,253000
2008-Q4,Clementi,4-room,390000
2008-Q4,Clementi,5-room,-
2008-Q4,Clementi,Executive,-
2008-Q4,Geylang,1-room,0
2008-Q4,Geylang,2-room,-
2008-Q4,Geylang,3-room,215000
2008-Q4,Geylang,4-room,325000
2008-Q4,Geylang,5-room,-
2008-Q4,Geylang,Executive,-
2008-Q4,Hougang,1-room,0
2008-Q4,Hougang,2-room,0
2008-Q4,Hougang,3-room,231000
2008-Q4,Hougang,4-room,309000
2008-Q4,Hougang,5-room,385000
2008-Q4,Hougang,Executive,471300
2008-Q4,Jurong East,1-room,0
2008-Q4,Jurong East,2-room,0
2008-Q4,Jurong East,3-room,236000
2008-Q4,Jurong East,4-room,311500
2008-Q4,Jurong East,5-room,429000
2008-Q4,Jurong East,Executive,-
2008-Q4,Jurong West,1-room,0
2008-Q4,Jurong West,2-room,0
2008-Q4,Jurong West,3-room,209000
2008-Q4,Jurong West,4-room,294500
2008-Q4,Jurong West,5-room,361000
2008-Q4,Jurong West,Executive,420500
2008-Q4,Kallang/Whampoa,1-room,0
2008-Q4,Kallang/Whampoa,2-room,-
2008-Q4,Kallang/Whampoa,3-room,250000
2008-Q4,Kallang/Whampoa,4-room,404000
2008-Q4,Kallang/Whampoa,5-room,536000
2008-Q4,Kallang/Whampoa,Executive,-
2008-Q4,Marine Parade,1-room,0
2008-Q4,Marine Parade,2-room,0
2008-Q4,Marine Parade,3-room,325000
2008-Q4,Marine Parade,4-room,-
2008-Q4,Marine Parade,5-room,-
2008-Q4,Marine Parade,Executive,0
2008-Q4,Pasir Ris,1-room,0
2008-Q4,Pasir Ris,2-room,0
2008-Q4,Pasir Ris,3-room,177000
2008-Q4,Pasir Ris,4-room,328500
2008-Q4,Pasir Ris,5-room,389500
2008-Q4,Pasir Ris,Executive,469000
2008-Q4,Punggol,1-room,0
2008-Q4,Punggol,2-room,0
2008-Q4,Punggol,3-room,0
2008-Q4,Punggol,4-room,337000
2008-Q4,Punggol,5-room,392000
2008-Q4,Punggol,Executive,-
2008-Q4,Queenstown,1-room,0
2008-Q4,Queenstown,2-room,-
2008-Q4,Queenstown,3-room,258500
2008-Q4,Queenstown,4-room,472500
2008-Q4,Queenstown,5-room,-
2008-Q4,Queenstown,Executive,-
2008-Q4,Sembawang,1-room,0
2008-Q4,Sembawang,2-room,0
2008-Q4,Sembawang,3-room,0
2008-Q4,Sembawang,4-room,306000
2008-Q4,Sembawang,5-room,364000
2008-Q4,Sembawang,Executive,-
2008-Q4,Sengkang,1-room,0
2008-Q4,Sengkang,2-room,0
2008-Q4,Sengkang,3-room,0
2008-Q4,Sengkang,4-room,325000
2008-Q4,Sengkang,5-room,380000
2008-Q4,Sengkang,Executive,460000
2008-Q4,Serangoon,1-room,0
2008-Q4,Serangoon,2-room,-
2008-Q4,Serangoon,3-room,238000
2008-Q4,Serangoon,4-room,324000
2008-Q4,Serangoon,5-room,388500
2008-Q4,Serangoon,Executive,-
2008-Q4,Tampines,1-room,0
2008-Q4,Tampines,2-room,0
2008-Q4,Tampines,3-room,256000
2008-Q4,Tampines,4-room,334000
2008-Q4,Tampines,5-room,385000
2008-Q4,Tampines,Executive,489300
2008-Q4,Toa Payoh,1-room,0
2008-Q4,Toa Payoh,2-room,-
2008-Q4,Toa Payoh,3-room,256000
2008-Q4,Toa Payoh,4-room,412000
2008-Q4,Toa Payoh,5-room,539000
2008-Q4,Toa Payoh,Executive,-
2008-Q4,Woodlands,1-room,0
2008-Q4,Woodlands,2-room,0
2008-Q4,Woodlands,3-room,199000
2008-Q4,Woodlands,4-room,285000
2008-Q4,Woodlands,5-room,340000
2008-Q4,Woodlands,Executive,420000
2008-Q4,Yishun,1-room,0
2008-Q4,Yishun,2-room,0
2008-Q4,Yishun,3-room,217000
2008-Q4,Yishun,4-room,260000
2008-Q4,Yishun,5-room,360000
2008-Q4,Yishun,Executive,396300
2009-Q1,Ang Mo Kio,1-room,0
2009-Q1,Ang Mo Kio,2-room,-
2009-Q1,Ang Mo Kio,3-room,244400
2009-Q1,Ang Mo Kio,4-room,338000
2009-Q1,Ang Mo Kio,5-room,-
2009-Q1,Ang Mo Kio,Executive,-
2009-Q1,Bedok,1-room,0
2009-Q1,Bedok,2-room,-
2009-Q1,Bedok,3-room,230000
2009-Q1,Bedok,4-room,312000
2009-Q1,Bedok,5-room,420000
2009-Q1,Bedok,Executive,-
2009-Q1,Bishan,1-room,0
2009-Q1,Bishan,2-room,0
2009-Q1,Bishan,3-room,-
2009-Q1,Bishan,4-room,401000
2009-Q1,Bishan,5-room,511000
2009-Q1,Bishan,Executive,-
2009-Q1,Bukit Batok,1-room,0
2009-Q1,Bukit Batok,2-room,0
2009-Q1,Bukit Batok,3-room,230000
2009-Q1,Bukit Batok,4-room,310000
2009-Q1,Bukit Batok,5-room,450000
2009-Q1,Bukit Batok,Executive,-
2009-Q1,Bukit Merah,1-room,-
2009-Q1,Bukit Merah,2-room,-
2009-Q1,Bukit Merah,3-room,270000
2009-Q1,Bukit Merah,4-room,450000
2009-Q1,Bukit Merah,5-room,555000
2009-Q1,Bukit Merah,Executive,0
2009-Q1,Bukit Panjang,1-room,0
2009-Q1,Bukit Panjang,2-room,0
2009-Q1,Bukit Panjang,3-room,-
2009-Q1,Bukit Panjang,4-room,285000
2009-Q1,Bukit Panjang,5-room,366300
2009-Q1,Bukit Panjang,Executive,-
2009-Q1,Bukit Timah,1-room,0
2009-Q1,Bukit Timah,2-room,0
2009-Q1,Bukit Timah,3-room,-
2009-Q1,Bukit Timah,4-room,-
2009-Q1,Bukit Timah,5-room,-
2009-Q1,Bukit Timah,Executive,0
2009-Q1,Central,1-room,0
2009-Q1,Central,2-room,-
2009-Q1,Central,3-room,310000
2009-Q1,Central,4-room,-
2009-Q1,Central,5-room,0
2009-Q1,Central,Executive,0
2009-Q1,Choa Chu Kang,1-room,0
2009-Q1,Choa Chu Kang,2-room,0
2009-Q1,Choa Chu Kang,3-room,-
2009-Q1,Choa Chu Kang,4-room,300000
2009-Q1,Choa Chu Kang,5-room,356000
2009-Q1,Choa Chu Kang,Executive,420000
2009-Q1,Clementi,1-room,0
2009-Q1,Clementi,2-room,0
2009-Q1,Clementi,3-room,260000
2009-Q1,Clementi,4-room,326000
2009-Q1,Clementi,5-room,-
2009-Q1,Clementi,Executive,-
2009-Q1,Geylang,1-room,0
2009-Q1,Geylang,2-room,-
2009-Q1,Geylang,3-room,218000
2009-Q1,Geylang,4-room,325000
2009-Q1,Geylang,5-room,-
2009-Q1,Geylang,Executive,-
2009-Q1,Hougang,1-room,0
2009-Q1,Hougang,2-room,0
2009-Q1,Hougang,3-room,228000
2009-Q1,Hougang,4-room,308000
2009-Q1,Hougang,5-room,375500
2009-Q1,Hougang,Executive,450000
2009-Q1,Jurong East,1-room,0
2009-Q1,Jurong East,2-room,0
2009-Q1,Jurong East,3-room,233500
2009-Q1,Jurong East,4-room,305000
2009-Q1,Jurong East,5-room,388000
2009-Q1,Jurong East,Executive,-
2009-Q1,Jurong West,1-room,0
2009-Q1,Jurong West,2-room,0
2009-Q1,Jurong West,3-room,207000
2009-Q1,Jurong West,4-room,292000
2009-Q1,Jurong West,5-room,367000
2009-Q1,Jurong West,Executive,400000
2009-Q1,Kallang/Whampoa,1-room,0
2009-Q1,Kallang/Whampoa,2-room,-
2009-Q1,Kallang/Whampoa,3-room,245000
2009-Q1,Kallang/Whampoa,4-room,383000
2009-Q1,Kallang/Whampoa,5-room,505000
2009-Q1,Kallang/Whampoa,Executive,-
2009-Q1,Marine Parade,1-room,0
2009-Q1,Marine Parade,2-room,0
2009-Q1,Marine Parade,3-room,321500
2009-Q1,Marine Parade,4-room,-
2009-Q1,Marine Parade,5-room,-
2009-Q1,Marine Parade,Executive,0
2009-Q1,Pasir Ris,1-room,0
2009-Q1,Pasir Ris,2-room,-
2009-Q1,Pasir Ris,3-room,-
2009-Q1,Pasir Ris,4-room,325000
2009-Q1,Pasir Ris,5-room,375000
2009-Q1,Pasir Ris,Executive,485000
2009-Q1,Punggol,1-room,0
2009-Q1,Punggol,2-room,0
2009-Q1,Punggol,3-room,0
2009-Q1,Punggol,4-room,330000
2009-Q1,Punggol,5-room,392000
2009-Q1,Punggol,Executive,-
2009-Q1,Queenstown,1-room,0
2009-Q1,Queenstown,2-room,-
2009-Q1,Queenstown,3-room,263500
2009-Q1,Queenstown,4-room,465000
2009-Q1,Queenstown,5-room,-
2009-Q1,Queenstown,Executive,0
2009-Q1,Sembawang,1-room,0
2009-Q1,Sembawang,2-room,0
2009-Q1,Sembawang,3-room,0
2009-Q1,Sembawang,4-room,310000
2009-Q1,Sembawang,5-room,356500
2009-Q1,Sembawang,Executive,-
2009-Q1,Sengkang,1-room,0
2009-Q1,Sengkang,2-room,0
2009-Q1,Sengkang,3-room,0
2009-Q1,Sengkang,4-room,328000
2009-Q1,Sengkang,5-room,370000
2009-Q1,Sengkang,Executive,455000
2009-Q1,Serangoon,1-room,0
2009-Q1,Serangoon,2-room,-
2009-Q1,Serangoon,3-room,243000
2009-Q1,Serangoon,4-room,329000
2009-Q1,Serangoon,5-room,-
2009-Q1,Serangoon,Executive,-
2009-Q1,Tampines,1-room,0
2009-Q1,Tampines,2-room,0
2009-Q1,Tampines,3-room,258500
2009-Q1,Tampines,4-room,331000
2009-Q1,Tampines,5-room,388000
2009-Q1,Tampines,Executive,471000
2009-Q1,Toa Payoh,1-room,0
2009-Q1,Toa Payoh,2-room,-
2009-Q1,Toa Payoh,3-room,247500
2009-Q1,Toa Payoh,4-room,350000
2009-Q1,Toa Payoh,5-room,500000
2009-Q1,Toa Payoh,Executive,-
2009-Q1,Woodlands,1-room,0
2009-Q1,Woodlands,2-room,0
2009-Q1,Woodlands,3-room,200000
2009-Q1,Woodlands,4-room,285000
2009-Q1,Woodlands,5-room,336000
2009-Q1,Woodlands,Executive,415000
2009-Q1,Yishun,1-room,0
2009-Q1,Yishun,2-room,0
2009-Q1,Yishun,3-room,217000
2009-Q1,Yishun,4-room,258900
2009-Q1,Yishun,5-room,340000
2009-Q1,Yishun,Executive,-
2009-Q2,Ang Mo Kio,1-room,0
2009-Q2,Ang Mo Kio,2-room,-
2009-Q2,Ang Mo Kio,3-room,246000
2009-Q2,Ang Mo Kio,4-room,340000
2009-Q2,Ang Mo Kio,5-room,490000
2009-Q2,Ang Mo Kio,Executive,-
2009-Q2,Bedok,1-room,0
2009-Q2,Bedok,2-room,-
2009-Q2,Bedok,3-room,235000
2009-Q2,Bedok,4-room,313000
2009-Q2,Bedok,5-room,430000
2009-Q2,Bedok,Executive,495000
2009-Q2,Bishan,1-room,0
2009-Q2,Bishan,2-room,0
2009-Q2,Bishan,3-room,288000
2009-Q2,Bishan,4-room,392000
2009-Q2,Bishan,5-room,515000
2009-Q2,Bishan,Executive,596800
2009-Q2,Bukit Batok,1-room,0
2009-Q2,Bukit Batok,2-room,0
2009-Q2,Bukit Batok,3-room,235000
2009-Q2,Bukit Batok,4-room,345000
2009-Q2,Bukit Batok,5-room,439500
2009-Q2,Bukit Batok,Executive,488000
2009-Q2,Bukit Merah,1-room,-
2009-Q2,Bukit Merah,2-room,-
2009-Q2,Bukit Merah,3-room,275000
2009-Q2,Bukit Merah,4-room,454000
2009-Q2,Bukit Merah,5-room,555000
2009-Q2,Bukit Merah,Executive,0
2009-Q2,Bukit Panjang,1-room,0
2009-Q2,Bukit Panjang,2-room,0
2009-Q2,Bukit Panjang,3-room,225000
2009-Q2,Bukit Panjang,4-room,295000
2009-Q2,Bukit Panjang,5-room,370000
2009-Q2,Bukit Panjang,Executive,420000
2009-Q2,Bukit Timah,1-room,0
2009-Q2,Bukit Timah,2-room,0
2009-Q2,Bukit Timah,3-room,-
2009-Q2,Bukit Timah,4-room,-
2009-Q2,Bukit Timah,5-room,-
2009-Q2,Bukit Timah,Executive,-
2009-Q2,Central,1-room,0
2009-Q2,Central,2-room,-
2009-Q2,Central,3-room,306300
2009-Q2,Central,4-room,418900
2009-Q2,Central,5-room,-
2009-Q2,Central,Executive,0
2009-Q2,Choa Chu Kang,1-room,0
2009-Q2,Choa Chu Kang,2-room,0
2009-Q2,Choa Chu Kang,3-room,216000
2009-Q2,Choa Chu Kang,4-room,304500
2009-Q2,Choa Chu Kang,5-room,360000
2009-Q2,Choa Chu Kang,Executive,427000
2009-Q2,Clementi,1-room,0
2009-Q2,Clementi,2-room,-
2009-Q2,Clementi,3-room,265000
2009-Q2,Clementi,4-room,388000
2009-Q2,Clementi,5-room,495000
2009-Q2,Clementi,Executive,-
2009-Q2,Geylang,1-room,0
2009-Q2,Geylang,2-room,-
2009-Q2,Geylang,3-room,215000
2009-Q2,Geylang,4-room,371000
2009-Q2,Geylang,5-room,457500
2009-Q2,Geylang,Executive,-
2009-Q2,Hougang,1-room,0
2009-Q2,Hougang,2-room,0
2009-Q2,Hougang,3-room,233000
2009-Q2,Hougang,4-room,306000
2009-Q2,Hougang,5-room,375000
2009-Q2,Hougang,Executive,460000
2009-Q2,Jurong East,1-room,0
2009-Q2,Jurong East,2-room,0
2009-Q2,Jurong East,3-room,240000
2009-Q2,Jurong East,4-room,320000
2009-Q2,Jurong East,5-room,446000
2009-Q2,Jurong East,Executive,475000
2009-Q2,Jurong West,1-room,0
2009-Q2,Jurong West,2-room,0
2009-Q2,Jurong West,3-room,212000
2009-Q2,Jurong West,4-room,301000
2009-Q2,Jurong West,5-room,372000
2009-Q2,Jurong West,Executive,420000
2009-Q2,Kallang/Whampoa,1-room,0
2009-Q2,Kallang/Whampoa,2-room,-
2009-Q2,Kallang/Whampoa,3-room,244000
2009-Q2,Kallang/Whampoa,4-room,386000
2009-Q2,Kallang/Whampoa,5-room,520000
2009-Q2,Kallang/Whampoa,Executive,-
2009-Q2,Marine Parade,1-room,0
2009-Q2,Marine Parade,2-room,-
2009-Q2,Marine Parade,3-room,300000
2009-Q2,Marine Parade,4-room,-
2009-Q2,Marine Parade,5-room,-
2009-Q2,Marine Parade,Executive,0
2009-Q2,Pasir Ris,1-room,0
2009-Q2,Pasir Ris,2-room,0
2009-Q2,Pasir Ris,3-room,0
2009-Q2,Pasir Ris,4-room,326500
2009-Q2,Pasir Ris,5-room,385000
2009-Q2,Pasir Ris,Executive,471000
2009-Q2,Punggol,1-room,0
2009-Q2,Punggol,2-room,0
2009-Q2,Punggol,3-room,0
2009-Q2,Punggol,4-room,334500
2009-Q2,Punggol,5-room,388000
2009-Q2,Punggol,Executive,-
2009-Q2,Queenstown,1-room,0
2009-Q2,Queenstown,2-room,-
2009-Q2,Queenstown,3-room,275000
2009-Q2,Queenstown,4-room,458000
2009-Q2,Queenstown,5-room,588000
2009-Q2,Queenstown,Executive,-
2009-Q2,Sembawang,1-room,0
2009-Q2,Sembawang,2-room,0
2009-Q2,Sembawang,3-room,0
2009-Q2,Sembawang,4-room,313000
2009-Q2,Sembawang,5-room,362000
2009-Q2,Sembawang,Executive,416000
2009-Q2,Sengkang,1-room,0
2009-Q2,Sengkang,2-room,0
2009-Q2,Sengkang,3-room,0
2009-Q2,Sengkang,4-room,326000
2009-Q2,Sengkang,5-room,376900
2009-Q2,Sengkang,Executive,455000
2009-Q2,Serangoon,1-room,0
2009-Q2,Serangoon,2-room,-
2009-Q2,Serangoon,3-room,228000
2009-Q2,Serangoon,4-room,333000
2009-Q2,Serangoon,5-room,404000
2009-Q2,Serangoon,Executive,474000
2009-Q2,Tampines,1-room,0
2009-Q2,Tampines,2-room,0
2009-Q2,Tampines,3-room,260000
2009-Q2,Tampines,4-room,340000
