quarter,town,flat_type,price
2007-Q2,Toa Payoh,1-room,0
2007-Q2,Toa Payoh,2-room,136000
2007-Q2,Toa Payoh,3-room,195000
2007-Q2,Toa Payoh,4-room,337500
2007-Q2,Toa Payoh,5-room,440000
2007-Q2,Toa Payoh,Executive,445000
2007-Q2,Woodlands,1-room,0
2007-Q2,Woodlands,2-room,-
2007-Q2,Woodlands,3-room,152500
2007-Q2,Woodlands,4-room,225500
2007-Q2,Woodlands,5-room,278000
2007-Q2,Woodlands,Executive,350000
2007-Q2,Yishun,1-room,0
2007-Q2,Yishun,2-room,0
2007-Q2,Yishun,3-room,159000
2007-Q2,Yishun,4-room,200000
2007-Q2,Yishun,5-room,273800
2007-Q2,Yishun,Executive,331500
2007-Q3,Ang Mo Kio,1-room,0
2007-Q3,Ang Mo Kio,2-room,-
2007-Q3,Ang Mo Kio,3-room,190000
2007-Q3,Ang Mo Kio,4-room,280000
2007-Q3,Ang Mo Kio,5-room,420800
2007-Q3,Ang Mo Kio,Executive,-
2007-Q3,Bedok,1-room,0
2007-Q3,Bedok,2-room,-
2007-Q3,Bedok,3-room,183000
2007-Q3,Bedok,4-room,246000
2007-Q3,Bedok,5-room,385500
2007-Q3,Bedok,Executive,437000
2007-Q3,Bishan,1-room,0
2007-Q3,Bishan,2-room,0
2007-Q3,Bishan,3-room,-
2007-Q3,Bishan,4-room,328000
2007-Q3,Bishan,5-room,441900
2007-Q3,Bishan,Executive,-
2007-Q3,Bukit Batok,1-room,0
2007-Q3,Bukit Batok,2-room,0
2007-Q3,Bukit Batok,3-room,169000
2007-Q3,Bukit Batok,4-room,260900
2007-Q3,Bukit Batok,5-room,380000
2007-Q3,Bukit Batok,Executive,380000
2007-Q3,Bukit Merah,1-room,-
2007-Q3,Bukit Merah,2-room,-
2007-Q3,Bukit Merah,3-room,210000
2007-Q3,Bukit Merah,4-room,396500
2007-Q3,Bukit Merah,5-room,530000
2007-Q3,Bukit Merah,Executive,0
2007-Q3,Bukit Panjang,1-room,0
2007-Q3,Bukit Panjang,2-room,0
2007-Q3,Bukit Panjang,3-room,162000
2007-Q3,Bukit Panjang,4-room,225800
2007-Q3,Bukit Panjang,5-room,292000
2007-Q3,Bukit Panjang,Executive,393000
2007-Q3,Bukit Timah,1-room,0
2007-Q3,Bukit Timah,2-room,0
2007-Q3,Bukit Timah,3-room,-
2007-Q3,Bukit Timah,4-room,-
2007-Q3,Bukit Timah,5-room,-
2007-Q3,Bukit Timah,Executive,-
2007-Q3,Central,1-room,0
2007-Q3,Central,2-room,-
2007-Q3,Central,3-room,281500
2007-Q3,Central,4-room,-
2007-Q3,Central,5-room,-
2007-Q3,Central,Executive,0
2007-Q3,Choa Chu Kang,1-room,0
2007-Q3,Choa Chu Kang,2-room,0
2007-Q3,Choa Chu Kang,3-room,-
2007-Q3,Choa Chu Kang,4-room,246000
2007-Q3,Choa Chu Kang,5-room,300000
2007-Q3,Choa Chu Kang,Executive,372000
2007-Q3,Clementi,1-room,0
2007-Q3,Clementi,2-room,0
2007-Q3,Clementi,3-room,206500
2007-Q3,Clementi,4-room,302500
2007-Q3,Clementi,5-room,-
2007-Q3,Clementi,Executive,-
2007-Q3,Geylang,1-room,0
2007-Q3,Geylang,2-room,-
2007-Q3,Geylang,3-room,168500
2007-Q3,Geylang,4-room,283000
2007-Q3,Geylang,5-room,385400
2007-Q3,Geylang,Executive,-
2007-Q3,Hougang,1-room,0
2007-Q3,Hougang,2-room,0
2007-Q3,Hougang,3-room,180000
2007-Q3,Hougang,4-room,250500
2007-Q3,Hougang,5-room,318000
2007-Q3,Hougang,Executive,406000
2007-Q3,Jurong East,1-room,0
2007-Q3,Jurong East,2-room,0
2007-Q3,Jurong East,3-room,177000
2007-Q3,Jurong East,4-room,246500
2007-Q3,Jurong East,5-room,331000
2007-Q3,Jurong East,Executive,-
2007-Q3,Jurong West,1-room,0
2007-Q3,Jurong West,2-room,0
