;Edad / Total;Edad / 0 a 4 años;Edad / 5 a 9 años;Edad / 10 a 14 años;Edad / 15 a 19 años;Edad / 20 a 24 años;Edad / 25 a 29 años;Edad / 30 a 34 años;Edad / 35 a 39 años;Edad / 40 a 44 años;Edad / 45 a 49 años;Edad / 50 a 54 años;Edad / 55 a 59 años;Edad / 60 a 64 años;Edad / 65 a 69 años;Edad / 70 a 74 años;Edad / 75 a 79 años;Edad / 80 a 84 años;Edad / 85 a 89 años;Edad / 90 a 94 años;Edad / 95 a 99 años;Edad / 100 y más años;Edad / No consta años
Total - Ciudad de Madrid;3.165.883;146.691;148.141;137.877;132.313;150.771;188.863;229.722;262.528;266.579;249.576;236.768;204.285;164.109;154.392;140.813;122.587;114.858;74.461;31.861;7.331;1.357;0
Total - 01. Centro;132.644;4.262;3.708;3.227;3.217;5.952;11.300;14.921;15.221;12.999;11.038;9.868;8.496;6.707;5.480;4.493;3.671;3.583;2.780;1.293;365;63;0
011. Palacio;22.390;685;626;621;544;947;1.697;2.170;2.319;2.075;1.827;1.801;1.581;1.307;1.066;943;695;660;518;232;61;15;0
012. Embajadores;44.944;1.610;1.338;1.079;1.125;2.000;3.867;5.367;5.625;4.639;3.829;3.199;2.660;1.965;1.557;1.347;1.142;1.164;899;413;103;16;0
013. Cortes;10.622;301;247;247;232;458;851;1.210;1.167;1.016;948;819;747;609;495;361;288;287;204;98;36;1;0
014. Justicia;16.420;584;451;424;443;695;1.367;1.794;1.817;1.595;1.359;1.249;1.058;852;668;577;483;453;325;166;52;8;0
015. Universidad;30.846;885;863;719;710;1.444;2.782;3.575;3.504;2.949;2.455;2.233;1.973;1.583;1.343;995;869;824;705;318;98;19;0
016. Sol;7.422;197;183;137;163;408;736;805;789;725;620;567;477;391;351;270;194;195;129;66;15;4;0
Total - 02. Arganzuela;151.520;6.796;6.134;5.923;5.794;6.525;8.944;12.626;13.784;12.624;12.304;12.071;11.046;9.033;7.462;5.798;4.651;4.617;3.280;1.636;412;60;0
021. Imperial;22.679;895;904;938;884;944;1.212;1.753;1.809;1.811;1.868;1.873;1.770;1.436;1.161;953;787;764;562;276;74;5;0
022. Acacias;36.610;1.298;1.212;1.384;1.593;1.757;2.139;2.907;2.881;2.524;2.590;2.889;3.116;2.779;2.268;1.653;1.231;1.098;779;384;111;17;0
023. Chopera;19.919;826;639;601;627;802;1.232;1.709;1.857;1.562;1.474;1.546;1.304;1.143;1.023;883;860;874;599;292;60;6;0
024. Legazpi;18.399;1.381;1.181;1.039;817;672;901;1.598;2.095;1.971;1.846;1.654;1.150;709;511;283;193;174;141;66;17;0;0
025. Delicias;27.114;1.404;1.283;1.140;985;1.144;1.548;2.239;2.649;2.529;2.348;2.101;1.801;1.434;1.226;949;708;748;516;283;67;12;0
026. Palos de Moguer;25.688;926;831;731;828;1.160;1.871;2.344;2.406;2.128;2.008;1.925;1.850;1.484;1.242;1.048;851;946;677;330;82;20;0
027. Atocha;1.111;66;84;90;60;46;41;76;87;99;170;83;55;48;31;29;21;13;6;5;1;0;0
Total - 03. Retiro;118.559;4.929;4.648;4.443;4.349;5.196;6.678;8.227;8.868;8.755;8.256;8.404;8.325;7.997;7.506;6.576;5.161;4.712;3.403;1.641;410;75;0
