FECHA_DE_RECEPCION;HORA_DE_RECEPCION;SECCION_ID;SECCION;ANOMALIA_ID;ANOMALIA;TIPO_DE_VIAL_ID;TIPO_DE_VIAL;NOMBRE_DE_VIAL;NUMERO;DISTRITO_ID;DISTRITO;BARRIO_ID;BARRIO;CODIGO_POSTAL
29/07/2016;05:11:30;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;292;AVENIDA;CARDENAL HERRERA ORIA;100;8;FUENCARRAL-EL PARDO;806;VALVERDE;28034
29/07/2016;05:12:19;42;R CUBO/CONT (ORGANICO/ENVASES) REPOS/NUEVO SUMINISTRO E;3395;NUEVA INST CUBO AMARILLO ENV 2 RUEDAS 240 L;291;CALLE;NARVAEZ;72;3;RETIRO;304;IBIZA;28009
29/07/2016;05:12:39;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;291;CALLE;NARVAEZ;62;3;RETIRO;304;IBIZA;28009
29/07/2016;05:13:44;40;R CUBO/CONT (ORGANICO/ENVASES) HORQUILLAS/BANDERINES E;3437;REPARACION HORQUILLAS_BANDERINES CONTEN ORG-ENV V.PUBLICA;291;CALLE;RIBERA DEL MANZANARES;75;9;MONCLOA-ARAVACA;901;CASA DE CAMPO;28008
29/07/2016;05:14:20;44;R CUBO/CONT (PAPEL/VIDRIO) REPOS/REPARAC E;3426;REPARACION CONTENEDOR PAPEL (IGLU AZUL);291;CALLE;MOZART;21;9;MONCLOA-ARAVACA;901;CASA DE CAMPO;28008
29/07/2016;05:15:37;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3373;RETIRADA POR ABANDONADO CUBO/CONTEN ORG_ENV 2 Y 4 RUEDAS;291;CALLE;CONDE DEL SERRALLO;6;6;TETUAN;604;ALMENARA;28029
29/07/2016;05:16:13;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3372;ROTO CONTENEDOR NARANJA ORG VIA PUBLICA (4 RUEDAS);291;CALLE;PLATANO;6;6;TETUAN;605;VALDEACEDERAS;28029
29/07/2016;05:16:14;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3324;RECOGIDA MUEBLES Y ENSERES A PETICION DEL CIUDADANO;291;CALLE;HINOJOSA DEL DUQUE;3;20;SAN BLAS;2002;HELLIN;-1
29/07/2016;05:17:20;39;R (ROPA/ESCOMBROS) RETIRADAS/INCIDENCIAS A;3462;RETIRADA SACO ESCOMBROS INSTAL. SIN AUTORIZ. O INCORRECTAM.;291;CALLE;RIBERA DEL MANZANARES;31;9;MONCLOA-ARAVACA;901;CASA DE CAMPO;28008
29/07/2016;05:17:49;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3372;ROTO CONTENEDOR NARANJA ORG VIA PUBLICA (4 RUEDAS);291;CALLE;MARTIRES DE LA VENTILLA;26;6;TETUAN;604;ALMENARA;28029
29/07/2016;05:18:29;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3368;ROTO CUBO NARANJA ORG 2 RUEDAS 240 L;291;CALLE;GARELLANO;14;6;TETUAN;601;BELLAS VISTAS;28039
29/07/2016;05:19:01;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3368;ROTO CUBO NARANJA ORG 2 RUEDAS 240 L;291;CALLE;JUAN PANTOJA;9;6;TETUAN;601;BELLAS VISTAS;28039
29/07/2016;05:19:30;41;R CUBO/CONT (ORGANICO/ENVASES) REPAR_AVERIADO/ROTO E;3372;ROTO CONTENEDOR NARANJA ORG VIA PUBLICA (4 RUEDAS);291;CALLE;MARTIRES DE LA VENTILLA;124;6;TETUAN;604;ALMENARA;28029
29/07/2016;05:21:13;39;R (ROPA/ESCOMBROS) RETIRADAS/INCIDENCIAS A;3465;INCIDENCIAS SACO ESCOMBROS/CONTENEDOR OBRA;291;CALLE;SOTO HIDALGO;14;21;BARAJAS;2101;ALAMEDA DE OSUNA;28042
29/07/2016;05:21:00;60;MOV-AGUA Y ALCANTARILLADO;3622;INTERNET;291;CALLE;LA GRANJA DE SAN ILDEFONSO;1;18;VILLA DE VALLECAS;1801;CASCO H.VALLECAS;-1
29/07/2016;05:21:30;22;PAVIMENTOS;1846;REPARACION BALDOSAS;291;CALLE;ZURBANO;53;7;CHAMBERI;704;ALMAGRO;28010
29/07/2016;05:22:28;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3325;RECOGIDA ELEMENTOS ABANDONADOS EN ESPACIO PUBLICO;291;CALLE;AQUILINO DOMINGUEZ;1;6;TETUAN;602;CUATRO CAMINOS;28020
29/07/2016;05:22:59;32;VEHICULOS ABANDONADOS;3279;RETIRADA VEHICULO;291;CALLE;SOTO HIDALGO;14;21;BARAJAS;2101;ALAMEDA DE OSUNA;-1
29/07/2016;05:26:01;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3325;RECOGIDA ELEMENTOS ABANDONADOS EN ESPACIO PUBLICO;295;PLAZA;CRISTINO MARTOS;5;1;CENTRO;105;UNIVERSIDAD;28015
29/07/2016;05:26:27;57;BICICLETA PUBLICA;3704;ANCLAJE. SE ENGANCHA EN ANCLAJE EN ROJO;294;PASEO;SANTA MARIA DE LA CABEZA;2;2;ARGANZUELA;206;PALOS DE MOGUER;28045
29/07/2016;05:29:25;57;BICICLETA PUBLICA;3692;TOTEM. TARJETA DE USUARIO ATASCADA/ATRAPADA;292;AVENIDA;MENENDEZ PELAYO;89;3;RETIRO;306;NIÑO JESUS;28007
29/07/2016;05:31:45;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;295;PLAZA;PEDRO ZEROLO;1;1;CENTRO;104;JUSTICIA;28004
29/07/2016;05:35:04;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;292;AVENIDA;BRASILIA;6;4;SALAMANCA;404;GUINDALERA;28028
29/07/2016;05:35:07;57;BICICLETA PUBLICA;3569;USUARIO. PROBLEMAS CON EL SALDO;292;AVENIDA;ALBERTO ALCOCER;1;5;CHAMARTIN;505;NUEVA ESPAÑA;28036
29/07/2016;05:36:16;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;291;CALLE;FRANCISCO PAINO;19;11;CARABANCHEL;1107;ABRANTES;28025
29/07/2016;05:36:25;57;BICICLETA PUBLICA;3704;ANCLAJE. SE ENGANCHA EN ANCLAJE EN ROJO;295;PLAZA;CIBELES;2;1;CENTRO;103;CORTES;28014
29/07/2016;05:38:13;65;ZONAS VERDES Y BOCAS DE RIEGO;3618;APP. MOVIL/WEB AVISOS ZONAS VERDES;291;CALLE;HERNANDEZ REQUENA;1;12;USERA;1204;ALMENDRALES;-1
29/07/2016;05:38:24;57;BICICLETA PUBLICA;3563;ANCLAJE: NO SE PUEDE DESANCLAR BICI;291;CALLE;MARIA DE GUZMAN;58;7;CHAMBERI;705;RIOS ROSAS;28003
29/07/2016;05:38:34;33;L ESPACIOS PUBLICOS/MOBILIARIO/PINTADAS A;3438;LIMPIEZA VIAS PUBLICAS Y ZONAS VERDES;316;COSTANILLA;ANGELES;1;1;CENTRO;101;PALACIO;28013
29/07/2016;05:41:17;65;ZONAS VERDES Y BOCAS DE RIEGO;1994;ROTURA DE BOCA DE RIEGO DENTRO DE ZONA VERDE;295;PLAZA;ANOCIBAR;0;11;CARABANCHEL;1105;PUERTA BONITA;0
29/07/2016;05:42:07;2;ALUMBRADO PUBLICO EXTERIOR;3751;ALUMBRADO - 08. OTRAS INCIDENCIAS;292;AVENIDA;ALFONSO XIII;49;5;CHAMARTIN;504;HISPANOAMERICA;-1
29/07/2016;05:42:20;37;L PAPELERAS VACIADO/REPAR/REPOS/BOLSAS EXC CANINOS E;3327;VACIADO PAPELERA;291;CALLE;COMANDANTE ZORITA;30;6;TETUAN;602;CUATRO CAMINOS;28020
29/07/2016;05:42:52;43;R CUBO/CONT (PAPEL/VIDRIO) NUEVO SUMINISTRO A;3457;CONTENEDOR PAPEL (IGLU AZUL);316;COSTANILLA;ANGELES;1;1;CENTRO;101;PALACIO;28013
29/07/2016;05:45:07;65;ZONAS VERDES Y BOCAS DE RIEGO;3321;OTRAS INCIDENCIAS EN ZONAS VERDES;291;CALLE;VIA LUSITANA;55;11;CARABANCHEL;1106;BUENAVISTA;28054
29/07/2016;05:47:03;34;L MUEBLES/LINEA BLANCA/ESPACIO PUBLICO E;3325;RECOGIDA ELEMENTOS ABANDONADOS EN ESPACIO PUBLICO;291;CALLE;MARCELO USERA;120;12;USERA;1205;MOSCARDO;28026
