NUNCUESTI;P0;P1;P2A;P2B;P3A;P3B;P3C;P3D;P3E;P3F;P3G;P3H;P3I;P3J;P3K;P3L;P3M;P4A;P4B;P5;P141;P142;P151;P152;P161;P162;P163;P164;P165;P166;P167;P168;P169;P1610;P1611;P1612;P1613;P1614;P1615;P1616;P1617;P17;P29;P301;P302;P31;P32LIT;P32;P33;P34;P35;P361;P362;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;SECCION;BARRIO;CODBARRIO;DISTRITO
11074602;1;5;1;2;1;2;1;1;1;1;1;3;1;1;2;1;1;1;3;1;1;1;2;2;8;10;10;10;5;8;8;10;10;10;10;10;7;5;10;9;1;2;1;58;4;1; ;724;1;1;4;;6;1;2;1;1;6;1;3;3;2;1;3;11;Palomas;161;16
10946088;1;5;4;2;1;3;2;3;2;2;1;3;3;1;3;4;4;4;3;1;2;2;8;8;2;3;0;5;2;4;6;7;6;6;10;6;0;5;8;8;6;2;1;45;3;1; ;724;1;1;4;;2;1;8;1;1;4;2;4;1;2;2;3;10;Gaztambide;71;7
10290212;1;5;3;4;1;1;2;1;1;1;1;1;2;1;8;8;8;3;3;2;2;2;2;2;1;2;1;2;0;2;0;4;4;4;4;2;2;2;2;3;1;2;1;53;3;1; ;724;1;1;4;;4;4;8;1;1;99;1;4;5;99;2;2;86;Palomeras Bajas;133;13
10290213;1;5;4;2;2;2;1;2;2;2;1;2;2;2;3;1;1;4;3;1;4;4;3;3;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;4;2;2;50;3;1; ;724;1;1;3;;6;1;3;1;1;99;2;1;6;99;3;3;86;Palomeras Bajas;133;13
10842690;1;5;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;2;4;2;7;6;12;9;0;4;5;5;5;7;9;10;7;7;7;6;10;2;2;39;2;1; ;724;1;1;4;;5;1;8;1;1;3;1;3;99;6;2;3;20;Simancas;201;20
10873507;1;5;3;3;2;2;1;2;2;1;3;2;1;1;3;3;3;4;3;1;4;3;3;2;11;0;0;7;0;0;0;7;10;0;5;7;0;7;9;0;7;2;2;38;2;1; ;724;1;1;4;;6;1;3;1;1;2;1;3;3;2;2;3;11;Peñagrande;83;8
11789766;1;5;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;3;1;8;3;3;3;3;1;1;1;1;1;1;5;1;3;2;1;7;5;2;5;2;7;2;2;46;3;1; ;724;1;2;6;;6;4;3;1;1;3;2;3;98;99;3;3;30;Prosperidad;52;5
11667877;1;5;2;4;1;1;1;1;1;1;1;2;2;1;2;2;2;2;4;2;2;1;4;2;7;7;7;10;5;10;10;10;10;10;10;10;10;10;5;10;7;2;2;25;1;1; ;724;1;2;6;;3;1;5;1;1;3;1;4;1;2;2;3;38;Santa Eugenia;182;18
11179565;1;5;3;3;2;3;3;1;1;1;3;3;3;2;3;8;8;3;3;1;3;3;2;1;1;1;0;10;0;0;0;4;8;2;6;10;3;0;10;10;5;2;1;53;3;1; ;724;1;1;3;;5;1;7;1;1;3;1;5;10;6;3;3;45;Arcos;204;20
10155217;1;5;2;1;1;3;1;1;1;1;3;2;1;1;1;1;1;1;2;1;2;1;2;1;9;2;5;10;2;9;8;10;5;5;2;10;5;10;10;10;2;2;2;53;3;1; ;724;1;1;4;;3;7;;1;2;99;1;3;4;2;2;3;46;San Diego;132;13
