CP,PROVINCIA,Superficie,Municipios,Capital,CA,Autonomía
05,Ávila,"8050.81",248,Ávila,07,Castilla y León
09,Burgos,"14307.99",371,Burgos,07,Castilla y León
24,León,"15582.23",211,León,07,Castilla y León
34,Palencia,"8052.75",191,Palencia,07,Castilla y León
37,Salamanca,"12352.01",362,Salamanca,07,Castilla y León
40,Segovia,"6920.80",209,Segovia,07,Castilla y León
42,Soria,"10314.02",183,Soria,07,Castilla y León
47,Valladolid,"8110.86",225,Valladolid,07,Castilla y León
49,Zamora,"10561.28",248,Zamora,07,Castilla y León
