RESPNUM,CCGID,BAREA,GATE,STRATA,CATEGORY,INTDATE,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,MINUTES,Q2PURP1,Q3GETTO1,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q5NOTBUY,Q6NOFOOD,Q7FLYPERYR,SAQ,Q8A_ART,Q8B_FOOD,Q8C_SHOP,Q8D_SIGNS,Q8E_WALK,Q8F_SCREENS,Q8G_INFOARR,Q8H_INFODEP,Q8I_ROAD,Q8J_PARK,Q8K_AIRTRAIN,Q8L_LTPARK,Q8M_RENTAL,Q8N_WHOLE,Q10A_CLNBOARD,Q10B_CLNPARK,Q10C_CLNAIRTRAIN,Q10D_CLNRENT,Q10E_CLNFOOD,Q10F_CLNBATH,Q11SAFE,Q12_USEWEB,Q13_RATEWEB,Q14WHEREDEPART,Q14RATEGETTO,Q15A_FIND,Q15B_SECURITY,Q16_PROBLEM,Q17REGION,Q18ZIP,Q18COUNTRY,HOME,Q19_AGE,Q20_SEX,Q21_INCOME,LANG
2686,3462,D,57,2,1,2,9,2090,24,3,4,9:00,11:45,165,5,5,,1,2,1,2,2,3,2,4,4,3,4,4,5,4,4,4,6,5,5,6,4,5,6,5,5,5,5,5,2,,12,4,5,3,2,3,,ARGENTINA,14,3,1,2,1
2688,3464,D,57,2,1,2,9,2090,24,3,4,9:00,11:45,165,2,2,,0,2,2,1,1,1,2,3,4,0,0,5,5,5,5,5,5,0,0,0,5,5,5,0,0,5,5,5,3,,7,5,0,5,2,3,,ARGENTINA,14,7,1,0,2
2897,1135,A,4,2,3,5,24,2609,47,5,2,8:30,12:45,255,2,7,,1,2,2,1,1,1,2,6,6,6,5,5,5,5,5,5,4,5,6,5,5,5,6,5,5,6,5,4,1,5,5,5,5,5,2,3,,ARGENTINA,14,6,2,0,2
2902,1140,A,4,2,3,5,24,2609,47,5,2,9:30,12:45,195,2,6,,1,2,2,1,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,5,0,2,,12,0,0,0,0,3,,ARGENTINA,14,3,2,0,1
2903,1141,A,4,2,3,5,24,2609,47,5,2,9:45,12:45,180,5,8,,1,2,2,1,2,1,2,4,4,2,4,4,5,6,6,6,6,6,6,6,4,5,5,6,6,5,5,5,2,,5,5,5,3,2,3,,ARGENTINA,14,5,1,3,1
1275,2125,F,68,2,3,11,33,871,95,4,3,11:30,16:02,272,2,3,,1,1,2,0,2,1,2,6,6,4,5,5,5,6,6,6,6,6,6,6,4,5,6,6,6,6,5,5,2,,11,6,5,3,2,4,,AUSTRAILA,19,4,1,0,1
2643,1266,C,44,2,2,2,15,4683,50,1,4,N,16:50,N,2,4,,1,1,1,2,1,1,2,4,4,4,0,0,0,0,0,6,6,6,6,6,4,5,0,0,0,0,5,5,2,,5,4,5,5,2,3,,AUSTRAILA,19,7,1,2,1
136,261,D,54,3,2,3,35,30,60,2,4,19:30,21:20,110,2,9,,1,1,2,2,2,1,2,6,6,4,5,5,6,6,6,4,6,5,6,5,5,5,6,5,5,6,5,5,2,,5,0,5,5,2,3,,AUSTRALIA,19,3,2,4,1
137,262,D,54,3,2,3,35,30,60,2,4,19:30,21:20,110,2,9,,1,1,2,2,2,1,2,6,6,3,4,3,4,6,6,6,6,5,6,5,4,5,5,5,5,6,4,5,2,,6,5,5,5,2,3,,AUSTRALIA,19,3,1,4,1
167,252,D,58,1,1,5,9,802,24,3,4,7:00,8:20,80,1,8,,1,2,2,2,2,1,2,4,6,6,4,6,4,6,6,0,0,0,0,0,0,5,6,6,6,6,5,5,2,,5,5,5,1,2,3,,AUSTRALIA,19,3,1,3,1
290,492,A,6,2,3,6,12,284,48,6,4,1:00,16:55,955,2,1,3,1,1,1,2,2,3,2,3,4,4,4,4,4,6,6,4,4,6,5,6,4,5,6,6,6,4,3,5,2,,3,3,4,3,2,3,,AUSTRALIA,19,4,1,4,1
386,687,G,93,3,3,8,5,7,5,9,2,19:00,21:45,165,8,3,,0,1,0,2,2,1,2,6,6,4,4,4,4,4,4,6,6,6,6,6,4,4,6,6,6,6,4,5,2,,11,6,4,6,2,4,01/01/2478 12:00:00 AM,AUSTRALIA,19,2,2,0,1
395,696,G,93,3,3,8,5,7,5,9,2,20:30,21:45,75,6,3,,1,2,1,1,2,1,2,4,4,6,3,4,4,4,4,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,11,4,4,4,1,4,,AUSTRALIA,19,7,2,0,1
397,698,G,93,3,3,8,5,7,5,9,2,19:00,21:45,165,2,2,,1,1,0,2,2,2,2,6,4,4,4,4,5,6,6,4,6,6,6,6,4,4,6,6,6,6,4,5,2,,5,5,5,5,2,3,,AUSTRALIA,19,7,2,1,1
408,709,G,93,3,3,8,5,7,5,9,2,19:00,21:45,165,1,3,,2,2,1,2,1,1,2,6,4,6,4,5,5,6,6,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,11,0,5,6,2,4,,AUSTRALIA,19,6,2,0,1
413,714,G,93,3,3,8,5,7,5,9,2,18:00,21:45,225,2,7,,1,2,1,1,2,1,1,6,6,6,1,4,2,5,5,6,6,6,6,6,5,5,6,6,6,6,5,5,2,,5,5,5,4,2,3,,AUSTRALIA,19,6,2,2,1
945,326,F,73,2,2,7,32,444,11,2,3,15:00,16:03,63,5,3,,2,2,1,2,2,2,2,4,4,4,3,4,3,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,2,,11,5,5,5,2,4,,AUSTRALIA,19,3,1,1,1
1289,2139,F,68,2,3,11,33,871,95,4,3,13:50,16:02,132,2,9,,1,2,1,2,2,3,2,3,2,2,3,3,3,6,6,3,4,4,6,4,3,3,3,3,3,3,3,5,2,,6,5,3,1,1,3,,AUSTRALIA,19,4,1,0,1
1298,2259,F,70,2,3,12,33,5604,14,4,2,8:00,11:16,196,2,7,,1,0,1,2,2,2,2,5,3,5,5,5,5,5,5,0,0,0,5,0,5,5,5,0,0,5,3,5,2,,12,5,5,4,2,3,,AUSTRALIA,19,6,2,2,1
