Year,Month,Airline Code,Airline,Number of Power Run-ups,Number of Power Run-ups per 1000 Departures,Percentage of Power Run-ups for the Period
2005,1,DHL,DHL,1,23.5,4%
2005,1,AAL,AMERICAN AIRLINES,12,11.9,43%
2005,1,UAL,UNITED AIR LINES,15,3.8,54%
2005,2,DAL,DELTA AIR LINES,1,2.3,4%
2005,2,KAL,KOREAN AIR,1,27,4%
2005,2,AAL,AMERICAN AIRLINES,5,5.5,19%
2005,2,UAL,UNITED AIR LINES,20,5.5,74%
2005,3,AAL,AMERICAN AIRLINES,12,11.7,32%
2005,3,UAL,UNITED AIR LINES,26,6.3,68%
2005,4,AMT,AMERICAN TRANS AIR,1,6.8,3%
2005,4,ASA,ALASKA AIRLINES,1,1.7,3%
2005,4,AAL,AMERICAN AIRLINES,10,9.5,32%
2005,4,UAL,UNITED AIR LINES,19,4.8,61%
2005,5,ASA,ALASKA AIRLINES,1,1.8,3%
2005,5,UAL,UNITED AIR LINES,13,3.1,35%
2005,5,AAL,AMERICAN AIRLINES,23,21.5,62%
2005,6,COA,CONTINENTAL AIR LINES,1,2.4,2%
2005,6,ASA,ALASKA AIRLINES,2,3.8,5%
2005,6,DAL,DELTA AIR LINES,3,5.8,7%
2005,6,AAL,AMERICAN AIRLINES,17,15.7,40%
2005,6,UAL,UNITED AIR LINES,20,4.7,47%
2005,7,DAL,DELTA AIR LINES,1,1.9,3%
2005,7,EJA,NETJETS AVIATION,1,4.3,3%
2005,7,AAL,AMERICAN AIRLINES,12,11,36%
2005,7,UAL,UNITED AIR LINES,19,4.5,58%
2005,8,AMT,AMERICAN TRANS AIR,2,12.3,4%
2005,8,DAL,DELTA AIR LINES,2,3.6,4%
2005,8,AAL,AMERICAN AIRLINES,20,17.9,38%
2005,8,UAL,UNITED AIR LINES,29,6.5,55%
2005,9,COA,CONTINENTAL AIR LINES,1,2.7,2%
2005,9,DAL,DELTA AIR LINES,2,3.3,5%
2005,9,AAL,AMERICAN AIRLINES,10,9.7,24%
2005,9,UAL,UNITED AIR LINES,28,6.7,68%
2005,10,AWE,US AIRWAYS,1,2.8,3%
