Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight,Year,Month
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,30,40,4066000,2005,July
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,1,102000,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,200,2,396000,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,300,167,37408000,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Wide Body,Boeing,767,333,1,320000,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,160,21520000,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,146,20761200,2005,July
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,2,343040,2005,July
200507,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,23,14490000,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,400,31,18855500,2005,July
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400,14,8820000,2005,July
200507,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,62,7936000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,274,33154000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,33,3993000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,85,10285000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,34,4392800,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,27,3488400,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,144000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,800,1,144000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,4,585200,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,7,910000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,60,7800000,2005,July
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,,31,4030000,2005,July
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14260000,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,217,42966000,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,87,23490000,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,155,48050000,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,290,37700000,2005,July
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,400,52000000,2005,July
200507,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,152,6277600,2005,July
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Regional Jet,LearJet,35A,,1,15300,2005,July
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AC,22,308000,2005,July
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AT,8,124000,2005,July
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400,4,2664000,2005,July
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,17,7820000,2005,July
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,,21,6203820,2005,July
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-8,73,20,5500000,2005,July
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,L,21,279720,2005,July
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,23,1541000,2005,July
200507,BelAir Airlines,BBB,BelAir Airlines,BBB,International,Europe,Passenger,Wide Body,Boeing,767,300,4,1400000,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,62,39060000,2005,July
200507,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Freighter,Wide Body,Boeing,747,400,9,5994000,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,400,17,11322000,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,39,24570000,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,,27,17982000,2005,July
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,,13,6129500,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,190,27360000,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,,172,34056000,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,200,45,12150000,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,59,17405000,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,24,7680000,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,400,62,21700000,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,400,57,35853000,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,McDonnell Douglas,MD-11,0,4,1884000,2005,July
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Freighter,Wide Body,Boeing,747,100,1,585000,2005,July
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,46,17250000,2005,July
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,1,436000,2005,July
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,,20,9630000,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,,28,3458000,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,,147,19771500,2005,July
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,300,31,9920000,2005,July
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,93,6231000,2005,July
200507,Icelandair,FI,Icelandair,FI,International,Europe,Passenger,Wide Body,Boeing,767,300ER,17,5440000,2005,July
200507,Independence Air,DH,Independence Air,DH,Domestic,US,Passenger,Narrow Body,Airbus,A319,,93,12815400,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,747,200,50,31500000,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,777,200,31,14570000,2005,July
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,200,9,5670000,2005,July
