Spot ID,Spot Name,Start Date,End Date,Type,Configuration,Category,Status,Creation Date,Modification Date
376,03-01,01/01/1980,,Hardstand,Multi-Large,L,Active,01/20/2009,02/26/2009
535,03-01A,01/01/1980,,Hardstand,Dependent,C,Active,02/27/2009,06/10/2009
536,03-01B,01/01/1980,,Hardstand,Dependent,C,Active,02/27/2009,06/10/2009
377,03-02,01/01/1980,,Hardstand,Independent,E,Active,01/20/2009,
378,03-03,01/01/1980,,Hardstand,Independent,D,Active,01/20/2009,06/14/2012
379,03-04,01/01/1980,,Hardstand,Multi-Large,L,Active,01/20/2009,02/26/2009
380,03-04A,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,02/26/2009
381,03-04B,01/01/1980,,Hardstand,Dependent,C,Active,01/20/2009,06/14/2012
390,09-01,01/01/1980,,Hardstand,Independent,B,Active,01/20/2009,12/31/2015
391,09-02,01/01/1980,,Hardstand,Independent,B,Active,01/20/2009,12/31/2015
392,09-03,01/01/1980,,Hardstand,Multi-Large,M,Active,01/20/2009,06/12/2014
821,09-03A,06/13/2014,,Hardstand,Dependent,D,Active,06/12/2014,12/02/2015
823,09-03B,06/13/2014,,Hardstand,Dependent,D,Active,06/12/2014,12/02/2015
815,09-04,06/09/2014,,Hardstand,Multi-Large,M,Active,06/11/2014,
816,09-04A,06/09/2014,,Hardstand,Dependent,D,Active,06/11/2014,12/02/2015
817,09-04B,06/09/2014,,Hardstand,Dependent,D,Active,06/11/2014,12/02/2015
818,09-05,06/09/2014,,Hardstand,Multi-Large,M,Active,06/11/2014,
819,09-05A,06/09/2014,,Hardstand,Dependent,D,Active,06/11/2014,12/02/2015
820,09-05B,06/09/2014,,Hardstand,Dependent,D,Active,06/11/2014,12/02/2015
835,09-06,06/23/2014,,Hardstand,Independent,C,Active,06/24/2014,
836,09-07,06/23/2014,,Hardstand,Independent,C,Active,06/24/2014,
837,09-08,06/23/2014,,Hardstand,Independent,I,Active,06/24/2014,
875,09-09,07/10/2014,,Hardstand,Multi-Large,U,Active,07/11/2014,
876,09-09A,07/10/2014,,Hardstand,Dependent,C,Active,07/11/2014,
877,09-09B,07/10/2014,,Hardstand,Dependent,C,Active,07/11/2014,
393,10-01,01/01/1980,,Hardstand,Independent,L,Active,01/20/2009,02/26/2009
537,11-01,01/01/1980,12/31/2016,Hardstand,Independent,H,Active,02/27/2009,07/02/2013
395,12-01,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,01/03/2013
396,12-02,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,02/26/2009
397,12-03,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,03/10/2009
795,12-04,04/12/2014,,Hardstand,Independent,C,Active,04/11/2014,
796,12-05,04/12/2014,,Hardstand,Independent,C,Active,04/11/2014,
797,12-06,04/11/2014,,Hardstand,Independent,C,Active,04/11/2014,
398,40-08,01/01/1980,,Hardstand,Dependent,L,Active,01/20/2009,
399,40-09,01/01/1980,,Hardstand,Multi-Large,N,Active,01/20/2009,
539,40-09A,01/01/1980,,Hardstand,Dependent,L,Active,02/27/2009,
400,41-01,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,
401,41-02,01/01/1980,,Hardstand,Independent,C,Active,01/20/2009,
402,41-03,01/01/1980,,Hardstand,Multi-Large,I,Active,01/20/2009,
