Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS,Year,Month
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,392733,178.1436888,2005,July
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,672216,304.9171776,2005,July
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Deplaned,Cargo,Freighter,1159652,526.0181472,2005,July
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Enplaned,Cargo,Freighter,1535268,696.3975648,2005,July
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,11,0.0049896,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,1021909,463.5379224,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,15096,6.8475456,2005,July
200507,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,776831,352.3705416,2005,July
200507,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Deplaned,Cargo,Freighter,1029715,467.078724,2005,July
200507,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Enplaned,Cargo,Freighter,786402,356.7119472,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Freighter,920693,417.6263448,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,241333,109.4686488,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,129473,58.7289528,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Freighter,1110414,503.6837904,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,251430,114.048648,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Express,Passenger,3,0.0013608,2005,July
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,251430,114.048648,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,2108144,956.2541184,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,66167,30.0133512,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,2065410,936.869976,2005,July
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Freighter,47294,21.4525584,2005,July
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Deplaned,Cargo,Freighter,315657,143.1820152,2005,July
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Enplaned,Cargo,Freighter,403914,183.2153904,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,722328,327.6479808,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,531960,241.297056,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,160118,72.6295248,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,64769,29.3792184,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Express,Passenger,1481410,671.967576,2005,July
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,213104,96.6639744,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,3343546,1516.632466,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,97764,44.3457504,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Combi,2123959,963.4278024,2005,July
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,62104,28.1703744,2005,July
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Deplaned,Cargo,Freighter,215807,97.8900552,2005,July
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,8985408,4075.781069,2005,July
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,7879802,3574.278187,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,37720,17.109792,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,11381,5.1624216,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,79810,36.201816,2005,July
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,1664,0.7547904,2005,July
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,147814,67.0484304,2005,July
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,420021,190.5215256,2005,July
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,26270,11.916072,2005,July
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,5330,2.417688,2005,July
200507,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Cargo,Passenger,11856,5.3778816,2005,July
200507,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Cargo,Passenger,82208,37.2895488,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Freighter,1464911,664.4836296,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,490152,222.3329472,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Freighter,168662,76.5050832,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,56433,25.5980088,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Freighter,1554286,705.0241296,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,520057,235.8978552,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Freighter,186902,84.7787472,2005,July
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,62537,28.3667832,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,702079,318.4630344,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,141422,64.1490192,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,611446,277.3519056,2005,July
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,138573,62.8567128,2005,July
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,922919,418.6360584,2005,July
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,773224,350.7344064,2005,July
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Deplaned,Cargo,Freighter,551563,250.1889768,2005,July
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,580231,263.1927816,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,1718657,779.5828152,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,563990,255.825864,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Freighter,48128,21.8308608,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,15794,7.1641584,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,15433,7.0004088,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,5065,2.297484,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,1356880,615.480768,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,445270,201.974472,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Freighter,7570,3.433752,2005,July
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Passenger,2484,1.1267424,2005,July
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,910330,412.925688,2005,July
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,21290,9.657144,2005,July
