



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
4542003;"Instalación Deportiva Municipal Básica Aliseda";"";"";"   Superficie:  700 M2   Equipamientos:  1 Pista polideportiva  ";" Metro: San Francisco. Bus: 47 , 108 , 118 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d5e92f9841a61110VgnVCM1000000b205a0aRCRD";"ALISEDA";"CALLE";"V";"0";"";"";"";"c/v Real Betis";"MADRID";"MADRID";"28025";"PUERTA BONITA";"CARABANCHEL";"437127";"4469975";"40.3761084833036";"-3.74193729795335";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"; 
4548436;"Instalación Deportiva Municipal Básica Almudena";"";"";" 1 Campo de fútbol 1 Pista polideportiva ";" Bus: 70 , 106 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b6ed945136891110VgnVCM1000000b205a0aRCRD";"NICOLAS SALMERON";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28017";"PUEBLO NUEVO";"CIUDAD LINEAL";"446692";"4474672";"40.41909002674735";"-3.6296630675589197";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"; 
4556653;"Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso)";"";"";" 1 Pista de fútbol sala 2 Pistas de baloncesto 5 Pistas de petanca Skatepark ";" Metro: Simancas Bus :   4 , 38 , 48 , 70 , 109 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d0822414d35e1110VgnVCM1000000b205a0aRCRD";"AJOFRIN";"CALLE";"V";"s/n";"";"";"";"";"MADRID";"MADRID";"28037";"AMPOSTA";"SAN BLAS-CANILLEJAS";"447036";"4475393";"40.425607242600144";"-3.6256685841403025";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"; 
5695851;"Instalación Deportiva Municipal Básica Americio";"";"";" 1 Pista de baloncesto. ";" Bus: 85 , 123. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=061c880b0aab8210VgnVCM2000000c205a0aRCRD";"AMERICIO";"CALLE";"V";"s/n";"";"";"";"";"MADRID";"MADRID";"28021";"BUTARQUE";"VILLAVERDE";"442134";"4467729";"40.356238545684384";"-3.6827549805431934";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4584548;"Instalación Deportiva Municipal Básica Andévalo";"";"";"1 Pista de balonmano";"Bus: 102 , 103 , 111";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c8c6ed32dd2c2110VgnVCM1000000b205a0aRCRD";"ANDEVALO";"CALLE";"V";"6";"";"";"";"Aparcamiento";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"443382";"4469736";"40.374404666864585";"-3.668237382541929";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4547544;"Instalación Deportiva Municipal Básica Anfevi";"";"";" Pista de fútbol sala 2 Pistas de baloncesto ";" Metro: Artilleros Bus :  20 , 30 , 32 , 71 , 100 , 140. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3efff1c446391110VgnVCM2000000c205a0aRCRD";"HACIENDA DE PAVONES";"CALLE";"V";"127";"";"";"";"Posterior";"MADRID";"MADRID";"28030";"VINATEROS";"MORATALAZ";"445796";"4472941";"40.403438145048085";"-3.6400762544982834";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4527275;"Instalación Deportiva Municipal Básica Aniceto Marinas";"";"";"1 Pista de Baloncesto";"Bus: 41 , 46 , 75 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=20f7c57598ee0110VgnVCM1000000b205a0aRCRD";"ANICETO MARINAS";"CALLE";"V";"106";"";"";"";"";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"437884";"4476086";"40.43121588404326";"-3.7336179867525616";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4528176;"Instalación Deportiva Municipal Básica Antonio Machado";"";"";"1 Pista de Baloncesto ";" Metro: Valdezarza Bus :  126 , 127 , 132 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b37f532996ef0110VgnVCM1000000b205a0aRCRD";"ANTONIO MACHADO";"CALLE";"V";"14";"";"";"";"Posterior";"MADRID";"MADRID";"28035";"VALDEZARZA";"MONCLOA-ARAVACA";"439149";"4479944";"40.46606393146319";"-3.71907563377333";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
4548451;"Instalación Deportiva Municipal Básica Antonio Pirala";"";"";" 1 Pista de fútbol sala 2 Pistas de baloncesto ";" Metro: Ventas , El Carmen. Bus: 12 , 21 , 38 , 53 , 106 , 110 , 146 , 210 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70b945dbd6891110VgnVCM1000000b205a0aRCRD";"ANTONIO PIRALA";"CALLE";"V";"s/n";"";"";"";"";"MADRID";"MADRID";"28017";"VENTAS";"CIUDAD LINEAL";"444154";"4475985";"40.43075144945157";"-3.6596933792999025";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"; 
4557447;"Instalación Deportiva Municipal Básica Arcaute";"";"";" 1 Pista polideportiva (con marcajes de fútbol sala, tenis y baloncesto) ";" Bus: 77 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=59b6957e54ae1110VgnVCM1000000b205a0aRCRD";"INVIERNO";"AVENIDA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28022";"REJAS";"SAN BLAS-CANILLEJAS";"451202";"4477365";"40.443627672731296";"-3.576711464888384";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"; 
