year,App,Other,Phone,Web
2005,0,30862,168302,0
2006,0,40126,253553,509
2007,0,50851,328901,8883
2008,0,53166,344542,23373
2009,0,55720,391536,34542
2010,0,59010,388479,35592
2011,0,52271,407202,37585
2012,0,50530,395982,43708
2013,11709,57835,410419,49137
2014,23621,60586,423380,61527
2015,33570,49957,378912,54352
2016,21383,43492,282159,41115
,,,,
