url,nombre,address,ciudad,bicisDisponibles,anclajesDisponibles,longitud,latitud,descripcion
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=101,Estacion1,C/ Doctor Iranzo -  C/ Escultor Benlliure,Zaragoza,13,7,678017.9803453928,4613320.634481554,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=102,Estacion2,C/ Pedro Joaquín Soler - Coso,Zaragoza,9,12,676822.7225656463,4613438.861592172,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=103,Estacion3,C/ Lacarra de Miguel - C/ San Vicente Martir,Zaragoza,10,11,676517.3458413489,4612706.090795129,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=104,Estacion4,C/ Madre Rafols - Esquina D.G.A.,Zaragoza,9,11,675841.2652424083,4613665.173932331,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=108,Estacion5,Plaza Emperador Carlos V,Zaragoza,6,15,675140.5935417247,4611902.584283835,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=113,Estacion6,Vía Hispanidad - Avda. Gómez Laguna,Zaragoza,4,17,673818.3928125117,4612194.426397253,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=115,Estacion7,Vía Hispanidad - C/ Océano Atlántico,Zaragoza,11,10,673535.126796119,4612856.6010818435,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=118,Estacion8,Avda. Juan Pablo II - Avda. Gómez Laguna,Zaragoza,12,9,674126.8415899678,4612286.664687123,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=119,Estacion9,Avda. Juan Carlos I - C/ Ramón Sainz de Varanda,Zaragoza,11,10,674353.1383456963,4611979.637886653,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 15:01</p>
http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=120,Estacion10,C/ Asín y Palacios - C/ Pedro IV El Ceremonioso,Zaragoza,13,8,674454.0980053664,4611556.142109903,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 8</li></ul><p>Actualizado: 15:01</p>
