CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,REN,RENFREW,CENTRE,BUILT-OUT,INNER CITY,2009,,5698,3196,341,0,1661,1487,174,4,671,442,0,411,0,4,1,1,1,0,0,4,624,296,923,32,5,6,0,321,14,481,29,0,61,0,153,71,349,9,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,48,1,0,0,0,426,309,786,8,8,0,5,1391,971,3111,77,10,4,7,1152,1126,394,231,18,2943,2755,153,170,109,220,697,672,499,231,83,109,127,165,84,220,723,548,428,198,121,141,280,335,193,440,1420,1220,927,429,204,250,2658624.48676000000,7948.22299939000
Residential,1,EVE,EVERGREEN,SOUTH,DEVELOPING,BUILDING OUT,2009,,18148,6445,1980,0,5780,4882,331,0,599,625,0,7,0,0,0,1,0,0,0,5,573,469,925,21,0,0,0,6,1,11,0,0,1,0,329,297,710,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148,0,0,0,0,619,499,1427,6,0,0,16,4723,4514,14927,60,81,2,1,839,2046,1374,1775,217,9000,9148,808,1180,583,578,1655,1797,1335,618,277,169,811,1189,524,523,1890,1789,1237,639,323,223,1619,2369,1107,1101,3545,3586,2572,1257,600,392,4644264.93461000000,12150.41502550000
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,2009,,16,6,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,2,1,2,0,6,10,0,0,0,2,1,0,1,2,0,0,0,0,1,1,5,0,1,2,0,0,0,0,1,3,6,0,2,4,0,0,6119158.13128000000,11521.30946620000
Residential,1,SOC,SOUTH CALGARY,CENTRE,BUILT-OUT,INNER CITY,2009,,3641,2221,192,0,921,670,204,104,800,282,0,144,2,15,0,0,0,0,0,0,629,253,1005,51,103,17,0,111,7,162,4,0,29,0,177,118,408,15,12,0,0,0,0,0,0,0,0,0,83,12,134,10,11,11,0,17,2,63,0,0,0,0,260,111,488,7,14,1,7,613,418,1381,33,11,6,17,751,746,240,149,4,1900,1741,73,92,64,125,553,442,309,167,50,25,86,88,44,171,485,355,276,129,63,44,159,180,108,296,1038,797,585,296,113,69,885510.64503500000,4859.69703603000
Residential,1,GDL,GLENDALE,WEST,BUILT-OUT,1950s,2009,,2794,1106,187,0,878,959,0,0,108,24,0,15,0,0,0,0,0,0,0,0,108,0,163,0,0,0,0,15,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,45,0,0,0,0,937,853,2563,22,0,0,0,252,375,177,245,35,1416,1378,72,173,129,90,160,170,283,168,80,91,80,140,106,88,138,194,285,140,87,120,152,313,235,178,298,364,568,308,167,211,1363685.62177000000,5283.95903716000
Residential,1,CIT,CITADEL,NORTHWEST,BUILT-OUT,1980s/1990s,2009,,10212,3477,930,0,3146,2822,0,0,224,431,0,0,0,0,0,0,0,0,0,0,224,177,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,372,947,5,0,0,1,2783,2597,8903,34,1,3,0,481,972,716,1142,122,4995,5217,352,818,343,329,692,1055,807,378,147,74,379,818,370,309,781,1098,831,379,163,89,731,1636,713,638,1473,2153,1638,757,310,163,2774905.59485000000,7933.79931870000
Residential,1,HAW,HAWKWOOD,NORTHWEST,BUILT-OUT,1980s/1990s,2009,,10202,3331,417,0,3124,3068,0,0,138,119,0,6,0,0,0,0,0,0,0,0,135,132,166,3,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,114,246,0,0,0,0,3041,2878,9777,26,0,1,0,287,979,721,1202,112,5064,5138,150,663,573,421,382,687,1064,763,224,137,148,755,465,379,353,799,1162,653,248,176,298,1418,1038,800,735,1486,2226,1416,472,313,3206005.04457000000,7381.82690030000
Residential,1,SIG,SIGNAL HILL,WEST,BUILT-OUT,1980s/1990s,2009,,13912,5254,854,0,4891,3406,372,0,1083,387,0,5,0,0,0,1,0,0,0,1,1037,969,1458,44,0,1,0,4,2,11,0,0,1,0,368,349,716,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,0,0,0,0,377,320,731,10,0,0,1,3363,3251,10944,41,0,1,1,1131,1661,768,1438,152,6597,7315,325,1051,488,382,472,974,1343,720,476,366,307,1010,519,362,592,1175,1410,710,585,645,632,2061,1007,744,1064,2149,2753,1430,1061,1011,5556769.57857000000,10669.35853940000
Residential,1,SAN,SANDSTONE VALLEY,NORTH,BUILT-OUT,1980s/1990s,2009,,6476,2117,319,0,1895,1679,44,0,0,385,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,0,0,2,0,42,25,127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,327,815,5,0,2,0,1660,1542,5522,19,0,0,0,247,558,461,722,99,3161,3315,112,364,310,308,346,408,700,365,154,94,140,379,286,262,325,447,769,379,190,138,252,743,596,570,671,855,1469,744,344,232,1800387.15387000000,5467.20397912000
Residential,1,PKH,PARKHILL,CENTRE,BUILT-OUT,1950s,2009,,1561,857,96,0,422,365,149,0,253,20,0,70,0,0,0,0,0,0,0,0,224,63,354,18,0,11,0,49,1,64,10,0,11,1,134,86,312,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,48,2,0,0,0,344,264,783,13,2,6,0,283,301,87,96,2,814,747,41,62,24,66,176,160,139,92,32,22,40,64,29,67,135,149,118,86,36,23,81,126,53,133,311,309,257,178,68,45,655806.42762500000,4018.27096306000
