Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,MAX ANS DELAY,ABANDONED
1/1/2014,ccc_priority_script,35,35,0:00:15,,0
1/1/2014,ccc_311_calgary_combined,2353,1782,0:02:40,,571
2/1/2014,ccc_priority_script,22,21,0:00:13,,1
2/1/2014,ccc_tax_script,17,17,0:02:32,,0
2/1/2014,ccc_311_calgary_combined,4283,3450,0:02:41,,833
3/1/2014,ccc_priority_script,72,69,0:00:15,,3
3/1/2014,ccc_tax_script,5,3,0:06:32,,2
3/1/2014,ccc_311_calgary_combined,4963,3707,0:03:44,,1256
4/1/2014,ccc_priority_script,44,44,0:00:37,,0
4/1/2014,ccc_tax_script,1,0,0:00:00,,1
4/1/2014,ccc_311_calgary_combined,2793,1562,0:09:23,,1231
5/1/2014,ccc_priority_script,28,28,0:00:28,,0
5/1/2014,ccc_311_calgary_combined,1379,1067,0:03:02,,312
6/1/2014,ccc_priority_script,19,19,0:00:18,,0
6/1/2014,ccc_tax_script,29,21,0:08:27,,8
6/1/2014,ccc_311_calgary_combined,5177,3600,0:05:49,,1577
7/1/2014,ccc_priority_script,38,37,0:00:20,,1
7/1/2014,ccc_tax_script,18,14,0:06:43,,4
7/1/2014,ccc_311_calgary_combined,5056,3609,0:04:54,,1447
8/1/2014,ccc_priority_script,46,45,0:00:11,,1
8/1/2014,ccc_tax_script,26,25,0:02:57,,1
8/1/2014,ccc_311_calgary_combined,4611,3918,0:02:15,,693
9/1/2014,ccc_priority_script,45,42,0:00:20,,3
9/1/2014,ccc_tax_script,29,21,0:04:29,,8
9/1/2014,ccc_311_calgary_combined,4688,3531,0:04:02,,1157
10/1/2014,ccc_priority_script,39,37,0:00:37,,2
10/1/2014,ccc_tax_script,25,19,0:05:31,,6
10/1/2014,ccc_311_calgary_combined,4627,3273,0:04:51,,1354
11/1/2014,ccc_priority_script,26,24,0:00:31,,2
11/1/2014,ccc_311_calgary_combined,2027,1508,0:03:13,,519
12/1/2014,ccc_priority_script,28,26,0:00:27,,2
12/1/2014,ccc_tax_script,1,1,0:02:53,,0
12/1/2014,ccc_311_calgary_combined,1412,1132,0:02:30,,280
13/01/2014,ccc_priority_script,57,54,0:00:19,,3
13/01/2014,ccc_tax_script,11,8,0:04:04,,3
13/01/2014,ccc_311_calgary_combined,5162,3627,0:04:58,,1535
14/01/2014,ccc_priority_script,50,47,0:00:14,,3
14/01/2014,ccc_tax_script,10,5,0:10:29,,5
14/01/2014,ccc_311_calgary_combined,5563,3381,0:07:49,,2182
15/01/2014,ccc_priority_script,42,39,0:00:17,,3
15/01/2014,ccc_tax_script,27,11,0:21:13,,16
15/01/2014,ccc_311_calgary_combined,8418,3150,0:21:15,,5268
16/01/2014,ccc_priority_script,38,33,0:00:28,,5
16/01/2014,ccc_tax_script,25,9,0:14:51,,16
16/01/2014,ccc_311_calgary_combined,6344,3526,0:10:45,,2818
17/01/2014,ccc_priority_script,34,34,0:00:14,,0
17/01/2014,ccc_tax_script,20,16,0:03:24,,4
17/01/2014,ccc_311_calgary_combined,4525,3249,0:04:05,,1276
18/01/2014,ccc_priority_script,28,24,0:00:18,,4
18/01/2014,ccc_tax_script,1,1,0:01:39,,0
18/01/2014,ccc_311_calgary_combined,2041,1881,0:00:43,,160
19/01/2014,ccc_priority_script,31,30,0:00:31,,1
19/01/2014,ccc_tax_script,2,2,0:00:49,,0
19/01/2014,ccc_311_calgary_combined,1903,1629,0:01:33,,274
20/01/2014,ccc_priority_script,37,34,0:00:39,,3
20/01/2014,ccc_tax_script,22,11,0:06:55,,11
20/01/2014,ccc_311_calgary_combined,5679,3295,0:09:22,,2384
21/01/2014,ccc_priority_script,75,71,0:00:25,,4
21/01/2014,ccc_tax_script,36,18,0:09:28,,18
21/01/2014,ccc_311_calgary_combined,5761,3172,0:11:14,,2589
22/01/2014,ccc_priority_script,55,54,0:00:11,,1
22/01/2014,ccc_tax_script,20,17,0:01:18,,3
22/01/2014,ccc_311_calgary_combined,4617,3476,0:04:31,,1141
23/01/2014,ccc_priority_script,39,36,0:00:17,,3
23/01/2014,ccc_tax_script,29,18,0:09:32,,11
23/01/2014,ccc_311_calgary_combined,5499,3361,0:08:25,,2138
24/01/2014,ccc_priority_script,44,42,0:00:12,,2
24/01/2014,ccc_tax_script,19,16,0:00:02,,3
24/01/2014,ccc_311_calgary_combined,5369,3337,0:02:04,,2032
25/01/2014,ccc_priority_script,28,24,0:00:35,,4
25/01/2014,ccc_311_calgary_combined,2558,1413,0:09:37,,1145
26/01/2014,ccc_priority_script,22,21,0:00:12,,1
26/01/2014,ccc_tax_script,4,1,0:00:02,,3
26/01/2014,ccc_311_calgary_combined,1526,1295,0:02:04,,231
27/01/2014,ccc_priority_script,31,28,0:00:14,,3
27/01/2014,ccc_tax_script,27,18,0:03:11,,9
27/01/2014,ccc_311_calgary_combined,4806,3828,0:03:32,,978
28/01/2014,ccc_priority_script,31,28,0:00:13,,3
28/01/2014,ccc_tax_script,16,12,0:03:29,,4
28/01/2014,ccc_311_calgary_combined,4597,3691,0:03:00,,906
29/01/2014,ccc_priority_script,51,49,0:00:13,,2
29/01/2014,ccc_tax_script,22,19,0:01:34,,3
29/01/2014,ccc_311_calgary_combined,3949,3514,0:01:25,,435
30/01/2014,ccc_priority_script,31,31,0:00:10,,0
30/01/2014,ccc_tax_script,11,10,0:00:38,,1
30/01/2014,ccc_311_calgary_combined,3404,3307,0:00:20,,97
31/01/2014,ccc_priority_script,34,33,0:00:11,,1
31/01/2014,ccc_tax_script,27,25,0:00:33,,2
31/01/2014,ccc_311_calgary_combined,3131,2985,0:00:33,,146
1/2/2014,ccc_priority_script,12,12,0:00:11,,0
1/2/2014,ccc_tax_script,2,2,0:02:29,,0
1/2/2014,ccc_311_calgary_combined,1299,1243,0:00:17,,56
2/2/2014,ccc_priority_script,8,8,0:00:05,,0
2/2/2014,ccc_311_calgary_combined,896,882,0:00:11,,14
3/2/2014,ccc_priority_script,26,23,0:00:07,,3
3/2/2014,ccc_tax_script,17,16,0:00:21,,1
3/2/2014,ccc_311_calgary_combined,3370,3235,0:00:26,,135
4/2/2014,ccc_priority_script,27,27,0:00:11,,0
4/2/2014,ccc_tax_script,16,16,0:00:29,,0
4/2/2014,ccc_311_calgary_combined,3292,3172,0:00:25,,120
5/2/2014,ccc_priority_script,47,45,0:00:06,,2
5/2/2014,ccc_tax_script,17,17,0:00:15,,0
5/2/2014,ccc_311_calgary_combined,3269,3193,0:00:13,,76
6/2/2014,ccc_priority_script,39,37,0:00:09,,2
6/2/2014,ccc_tax_script,16,16,0:00:10,,0
6/2/2014,ccc_311_calgary_combined,3231,3203,0:00:08,,28
7/2/2014,ccc_priority_script,30,29,0:00:07,,1
7/2/2014,ccc_tax_script,15,15,0:00:13,,0
7/2/2014,ccc_311_calgary_combined,2945,2885,0:00:17,,60
8/2/2014,ccc_priority_script,27,25,0:00:15,,2
8/2/2014,ccc_tax_script,1,1,0:00:05,,0
8/2/2014,ccc_311_calgary_combined,1279,1262,0:00:07,,17
9/2/2014,ccc_priority_script,15,14,0:00:11,,1
9/2/2014,ccc_tax_script,1,1,0:00:04,,0
9/2/2014,ccc_311_calgary_combined,835,830,0:00:06,,5
10/2/2014,ccc_priority_script,23,21,0:00:09,,2
10/2/2014,ccc_tax_script,15,13,0:00:16,,2
10/2/2014,ccc_311_calgary_combined,3411,3359,0:00:12,,52
11/2/2014,ccc_priority_script,32,32,0:00:08,,0
11/2/2014,ccc_tax_script,16,16,0:00:17,,0
11/2/2014,ccc_311_calgary_combined,3287,3225,0:00:13,,62
12/2/2014,ccc_priority_script,29,28,0:00:09,,1
12/2/2014,ccc_tax_script,17,17,0:00:06,,0
12/2/2014,ccc_311_calgary_combined,3164,3119,0:00:09,,45
13/02/2014,ccc_priority_script,36,35,0:00:06,,1
13/02/2014,ccc_tax_script,17,17,0:00:11,,0
13/02/2014,ccc_311_calgary_combined,3064,3003,0:00:10,,61
14/02/2014,ccc_priority_script,29,28,0:00:09,,1
14/02/2014,ccc_tax_script,13,13,0:00:06,,0
14/02/2014,ccc_311_calgary_combined,2755,2726,0:00:09,,29
15/02/2014,ccc_priority_script,23,23,0:00:05,,0
15/02/2014,ccc_tax_script,1,1,0:00:26,,0
15/02/2014,ccc_311_calgary_combined,1239,1208,0:00:09,,31
16/02/2014,ccc_priority_script,24,24,0:00:21,,0
16/02/2014,ccc_311_calgary_combined,1250,1182,0:00:24,,68
17/02/2014,ccc_priority_script,11,11,0:00:07,,0
17/02/2014,ccc_tax_script,8,6,0:00:16,,2
17/02/2014,ccc_311_calgary_combined,1775,1725,0:00:13,,50
18/02/2014,ccc_priority_script,31,28,0:00:12,,3
18/02/2014,ccc_tax_script,24,21,0:01:49,,3
18/02/2014,ccc_311_calgary_combined,4099,3379,0:02:29,,720
19/02/2014,ccc_priority_script,38,36,0:00:19,,2
19/02/2014,ccc_tax_script,21,16,0:02:29,,5
19/02/2014,ccc_311_calgary_combined,3602,3069,0:02:08,,533
20/02/2014,ccc_priority_script,20,20,0:00:21,,0
20/02/2014,ccc_tax_script,33,26,0:01:08,,7
20/02/2014,ccc_311_calgary_combined,3611,3258,0:01:13,,353
21/02/2014,ccc_priority_script,26,25,0:00:27,,1
21/02/2014,ccc_tax_script,25,21,0:01:01,,4
21/02/2014,ccc_311_calgary_combined,3215,2920,0:01:08,,295
22/02/2014,ccc_priority_script,19,19,0:01:35,,0
22/02/2014,ccc_tax_script,2,2,0:00:06,,0
