CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,STR,STRATHCONA PARK,2004,,7052,2414,589,4173,0,2137,1930,225,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,196,482,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,147,432,12,32,0,0,1875,1794,6138,41,14,0,0,229,706,473,824,77,3478,3574,228,686,332,176,252,589,721,276,149,69,242,650,240,145,363,741,708,245,138,102,470,1336,572,321,615,1330,1429,521,287,171,2703324.81850000000,9061.59520540000
Residential,1,PEN,PENBROOKE MEADOWS,2004,,8490,2999,714,4515,0,1944,1615,382,0,77,681,0,244,0,0,0,0,0,0,0,0,65,0,138,12,0,0,0,152,11,318,86,0,6,0,360,210,1203,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,402,1802,78,0,0,1,1574,1321,5029,39,0,1,0,351,837,614,746,206,4405,4085,289,594,295,353,695,850,629,400,220,80,308,591,264,350,616,716,552,377,224,87,597,1185,559,703,1311,1566,1181,777,444,167,2045665.66219000000,5890.92707075000
Residential,1,SHG,SHAGANAPPI,2004,,1603,865,53,1014,0,334,393,85,0,159,132,0,93,0,0,0,3,0,0,0,0,155,8,224,4,0,0,3,76,5,119,14,0,0,0,77,17,193,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,14,0,0,0,0,124,20,173,8,0,0,1,378,284,880,13,1,0,3,346,264,115,80,7,809,794,15,61,45,42,138,182,155,67,51,53,28,74,26,37,121,171,131,62,63,81,43,135,71,79,259,353,286,129,114,134,1481741.77799000000,5717.74302378000
Residential,1,ASP,ASPEN WOODS,2004,,280,113,16,178,0,83,100,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,83,79,266,7,9,1,0,9,28,13,36,3,145,135,7,27,17,6,8,22,23,12,13,10,5,28,6,6,8,30,20,17,10,5,12,55,23,12,16,52,43,29,23,15,3802982.74514000000,8867.76721071000
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,2004,,6944,4699,140,3752,0,169,2,0,0,4649,20,0,0,0,13,1,1,0,13,0,103,4229,160,6360,286,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,556,16,0,0,0,18,9,25,2,0,0,0,2,0,3,0,0,0,28,2538,1373,280,62,8,3770,3174,61,89,102,518,1209,696,439,306,210,140,60,85,109,554,956,397,310,235,224,244,121,174,211,1072,2165,1093,749,541,434,384,1328171.97659000000,5320.37808714000
Residential,1,RCK,ROSSCARROCK,2004,,3169,1573,196,1933,0,438,452,418,0,356,96,0,251,0,0,0,0,0,0,0,0,311,11,538,45,0,0,1,192,20,360,51,0,7,2,389,124,1024,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,7,233,8,0,0,3,420,276,1014,28,1,0,0,424,504,257,191,24,1630,1539,91,173,114,201,312,279,223,102,68,67,75,155,87,207,293,266,184,108,90,74,166,328,201,408,605,545,407,210,158,141,1062226.70446000000,4400.01113442000
Residential,1,RED,RED CARPET,2004,,1765,917,84,1375,0,618,0,0,0,400,0,517,0,0,0,0,0,0,0,0,0,388,317,628,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,301,1137,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,374,115,77,5,906,859,33,72,32,65,160,181,157,104,68,34,35,66,32,84,142,144,132,118,70,36,68,138,64,149,302,325,289,222,138,70,556460.83952400000,3605.66952617000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,2004,,390,165,13,278,0,148,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,148,390,2,0,0,0,37,65,27,31,2,191,199,5,19,11,10,13,36,41,16,15,25,7,24,8,5,19,32,44,15,23,22,12,43,19,15,32,68,85,31,38,47,352694.64401300000,2630.18301137000
Residential,1,CHR,CHRISTIE PARK,2004,,2272,728,110,1605,0,689,476,94,0,0,156,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,192,0,0,0,0,150,135,276,6,0,0,0,473,461,1634,3,0,0,2,105,227,117,252,17,1050,1222,37,176,102,53,55,130,223,132,81,61,34,181,88,51,77,189,219,118,112,153,71,357,190,104,132,319,442,250,193,214,809168.45368200000,4744.03336414000
Residential,1,ING,INGLEWOOD,2004,,3254,1904,168,2402,0,1126,833,110,0,420,345,0,162,0,28,4,0,1,1,0,6,376,167,482,38,0,0,0,122,11,171,35,0,5,0,98,51,217,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,15,89,10,1,0,4,333,268,671,8,0,0,8,769,614,1624,44,12,0,34,743,641,196,130,10,1646,1608,67,107,46,88,432,368,284,135,74,45,70,114,60,112,438,309,250,122,75,58,137,221,106,200,870,677,534,257,149,103,2497500.04153000000,9649.76019144000
