id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,URL,Ward
0,#1 7068 LAGUNA WY NE,7068 LAGUNA WY NE,MONTEREY PARK,2012\/11\/11,2012\/11\/09,BP2012-13271,215,https:\/\/secondarysuites.calgary.ca,05
1,#1Z 453 22 AV NW,453 22 AV NW,MOUNT PLEASANT,2014\/06\/27,2014\/06\/27,BP2014-04297,345,https:\/\/secondarysuites.calgary.ca,04
2,#2139G 2139 BROADVIEW RD NW,#2139G 2139 BROADVIEW RD NW,WEST HILLHURST,2013\/10\/25,2013\/10\/24,BP2012-07431,161,https:\/\/secondarysuites.calgary.ca,07
3,10 CITADEL CREST CI NW,10 CITADEL CREST CI NW,CITADEL,2014\/11\/25,2014\/11\/25,BP2014-04011,348,https:\/\/secondarysuites.calgary.ca,02
4,10 SADDLELAKE PL NE,10 SADDLELAKE PL NE,SADDLE RIDGE,2014\/06\/19,2014\/06\/19,BP2013-15241,309,https:\/\/secondarysuites.calgary.ca,03
5,1006 8 ST SE,1008 8 ST SE,RAMSAY,2014\/05\/28,2014\/05\/27,BP2012-14280,200,https:\/\/secondarysuites.calgary.ca,09
6,101 SADDLELAKE GD NE,101 SADDLELAKE GD NE,SADDLE RIDGE,2016\/04\/21,2016\/03\/30,BP2015-15546,499,https:\/\/secondarysuites.calgary.ca,03
7,1011 ABBEYDALE DR NE,1011 ABBEYDALE DR NE,ABBEYDALE,2013\/09\/13,2013\/09\/12,BP2012-14435,212,https:\/\/secondarysuites.calgary.ca,10
8,1018 16 ST NE,1018 16 ST NE,MAYLAND HEIGHTS,2014\/07\/29,2014\/07\/29,BP2014-05361,352,https:\/\/secondarysuites.calgary.ca,03
9,103 HARVEST GOLD CI NE,103 HARVEST GOLD CI NE,HARVEST HILLS,2015\/04\/02,2015\/04\/02,BP2014-18950,396,https:\/\/secondarysuites.calgary.ca,03
10,1035G RUNDLE CR NE,1035G RUNDLE CR NE,RENFREW,2013\/12\/06,2013\/12\/05,BP2012-04408,153,https:\/\/secondarysuites.calgary.ca,04
11,1036 ABBEYDALE DR NE,1036 ABBEYDALE DR NE,ABBEYDALE,2014\/04\/02,2014\/03\/11,BP2013-07163,284,https:\/\/secondarysuites.calgary.ca,10
12,104 ABINGER CR NE,104 ABINGER CR NE,ABBEYDALE,2016\/05\/13,2016\/05\/13,BP2015-00648,545,https:\/\/secondarysuites.calgary.ca,10
13,104 RIVERBROOK WY SE,104 RIVERBROOK WY SE,RIVERBEND,2014\/12\/05,2014\/11\/24,BP2012-03229,137,https:\/\/secondarysuites.calgary.ca,09
