SR_TYPE,DT_CREATED,LONGITUDE,LATITUDE,COMM,WARD
Roads - Backlane Maintenance,01/04/2013,-114.1152251,51.01892363,ALTADORE,11
Roads - Backlane Maintenance,01/16/2013,-113.9644466,50.92314896,MCKENZIE TOWNE,12
Roads - Backlane Maintenance,01/17/2013,-114.0978291,51.07336518,CAPITOL HILL,7
Roads - Backlane Maintenance,01/18/2013,-114.0554203,51.06151878,CRESCENT HEIGHTS,7
Roads - Backlane Maintenance,01/21/2013,-114.1456477,51.03838449,ROSSCARROCK,8
Roads - Backlane Maintenance,01/21/2013,-114.0999602,51.08774702,COLLINGWOOD,7
Roads - Backlane Maintenance,01/21/2013,-113.9377382,51.07730299,PINERIDGE,5
Roads - Backlane Maintenance,01/23/2013,-113.9323646,51.0403475,APPLEWOOD PARK,10
Roads - Backlane Maintenance,01/30/2013,-113.9292758,50.92272522,COPPERFIELD,12
Roads - Backlane Maintenance,02/03/2013,-114.1102915,51.02847163,RICHMOND,8
Roads - Backlane Maintenance,02/04/2013,-114.0335772,50.87429878,WALDEN,14
Roads - Backlane Maintenance,02/05/2013,-114.0651829,51.07996562,TUXEDO PARK,9
Roads - Backlane Maintenance,02/06/2013,-114.1163422,51.02501007,RICHMOND,8
Roads - Backlane Maintenance,02/06/2013,-114.1034343,51.03771129,BANKVIEW,8
Roads - Backlane Maintenance,02/07/2013,-114.0816744,51.09087814,HIGHWOOD,7
Roads - Backlane Maintenance,02/07/2013,-114.0627916,50.91830208,MIDNAPORE,14
Roads - Backlane Maintenance,02/07/2013,-114.0409297,51.05453339,BRIDGELAND/RIVERSIDE,9
Roads - Backlane Maintenance,02/11/2013,-114.0795682,50.94137342,CANYON MEADOWS,13
Roads - Backlane Maintenance,02/12/2013,-114.0411066,50.96294209,MAPLE RIDGE,14
Roads - Backlane Maintenance,02/13/2013,-114.1079488,51.09018106,CHARLESWOOD,7
Roads - Backlane Maintenance,02/13/2013,-114.088635,51.05614428,HILLHURST,7
Roads - Backlane Maintenance,02/13/2013,-114.0783609,50.96128192,SOUTHWOOD,11
Roads - Backlane Maintenance,02/15/2013,-114.18968,51.08977814,BOWNESS,1
Roads - Backlane Maintenance,02/15/2013,-114.1418487,51.03614163,GLENDALE,6
Roads - Backlane Maintenance,02/15/2013,-114.0161996,50.98521356,OGDEN,9
Roads - Backlane Maintenance,02/16/2013,-114.0990731,51.0715783,CAPITOL HILL,7
Roads - Backlane Maintenance,02/16/2013,-114.0875377,51.05474241,HILLHURST,7
Roads - Backlane Maintenance,02/20/2013,-114.113159,51.05126426,WEST HILLHURST,7
Roads - Backlane Maintenance,02/21/2013,-114.1114884,51.07400319,BANFF TRAIL,7
Roads - Backlane Maintenance,02/21/2013,-114.1107745,51.02938644,RICHMOND,8
Roads - Backlane Maintenance,02/22/2013,-114.0636654,51.08481975,HIGHLAND PARK,4
Roads - Backlane Maintenance,02/24/2013,-113.953973,51.11539375,MARTINDALE,3
Roads - Backlane Maintenance,02/25/2013,-114.2190915,51.10946548,SCENIC ACRES,1
Roads - Backlane Maintenance,02/25/2013,-114.1300842,51.02400646,RUTLAND PARK,11
Roads - Backlane Maintenance,02/25/2013,-114.0809736,51.01758491,ELBOW PARK,11
Roads - Backlane Maintenance,02/25/2013,-113.9712551,51.03128665,FOREST LAWN,10
Roads - Backlane Maintenance,02/27/2013,-114.0488309,51.08508639,GREENVIEW INDUSTRIAL PARK,4
Roads - Backlane Maintenance,02/27/2013,-114.0204519,51.01685727,ALYTH/BONNYBROOK,9
Roads - Backlane Maintenance,02/28/2013,-114.1748404,51.08254961,BOWNESS,1
Roads - Backlane Maintenance,02/28/2013,-114.1249948,51.02965872,KILLARNEY/GLENGARRY,8
Roads - Backlane Maintenance,02/28/2013,-114.1149805,51.05544882,WEST HILLHURST,7
Roads - Backlane Maintenance,02/28/2013,-114.0728736,51.06976505,MOUNT PLEASANT,7
Roads - Backlane Maintenance,02/28/2013,-114.0573233,51.06868703,TUXEDO PARK,9
Roads - Backlane Maintenance,03/01/2013,-114.1614607,51.07490198,MONTGOMERY,1
Roads - Backlane Maintenance,03/01/2013,-114.1612158,51.0745458,MONTGOMERY,1
Roads - Backlane Maintenance,03/01/2013,-114.1609863,51.08040629,MONTGOMERY,1
Roads - Backlane Maintenance,03/01/2013,-114.1600883,51.07510197,MONTGOMERY,1
Roads - Backlane Maintenance,03/01/2013,-114.1287515,51.05612122,PARKDALE,7
Roads - Backlane Maintenance,03/01/2013,-114.1195363,51.03445061,RICHMOND,8
Roads - Backlane Maintenance,03/01/2013,-114.1185969,51.05409775,WEST HILLHURST,7
Roads - Backlane Maintenance,03/01/2013,-114.1035653,51.05191596,WEST HILLHURST,7
Roads - Backlane Maintenance,03/01/2013,-114.09775,51.02330701,SOUTH CALGARY,8
Roads - Backlane Maintenance,03/01/2013,-114.0822144,51.09314856,HIGHWOOD,7
Roads - Backlane Maintenance,03/01/2013,-114.0799336,51.07505221,MOUNT PLEASANT,7
Roads - Backlane Maintenance,03/01/2013,-114.0747169,51.00347062,WINDSOR PARK,11
Roads - Backlane Maintenance,03/01/2013,-114.0731333,51.02680316,RIDEAU PARK,9
Roads - Backlane Maintenance,03/01/2013,-114.0602608,50.96441751,ACADIA,9
Roads - Backlane Maintenance,03/02/2013,-114.0968898,51.05009265,HILLHURST,7
Roads - Backlane Maintenance,03/02/2013,-114.0875377,51.05474241,HILLHURST,7
Roads - Backlane Maintenance,03/02/2013,-114.0386665,50.93911644,LAKE BONAVISTA,14
Roads - Backlane Maintenance,03/02/2013,-113.9728746,51.01696118,ERIN WOODS,10
Roads - Backlane Maintenance,03/04/2013,-114.1613199,51.07479411,MONTGOMERY,1
Roads - Backlane Maintenance,03/04/2013,-114.1395513,51.03031263,KILLARNEY/GLENGARRY,8
Roads - Backlane Maintenance,03/08/2013,-114.049806,51.08579741,GREENVIEW INDUSTRIAL PARK,4
Roads - Backlane Maintenance,03/09/2013,-114.1206587,51.05612892,WEST HILLHURST,7
Roads - Backlane Maintenance,03/09/2013,-113.9316446,51.11095974,TARADALE,3
Roads - Backlane Maintenance,03/10/2013,-114.12821,51.06141752,ST. ANDREWS HEIGHTS,7
Roads - Backlane Maintenance,03/10/2013,-114.0770936,51.07154785,MOUNT PLEASANT,7
Roads - Backlane Maintenance,03/10/2013,-114.0594716,51.07973848,TUXEDO PARK,9
