LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 3,3,2004,,77018,27398,8871,43489,0,21268,21225,1601,13,1991,2117,15,417,0,3,2,3,0,11,0,4,1658,856,2671,218,111,0,0,335,31,655,70,0,12,4,1464,951,4261,89,44,0,0,8,5,17,6,0,1,0,13,1,21,0,0,0,0,5,1,69,14,0,0,6,1927,1094,4921,184,0,0,81,19963,18329,64403,609,572,0,19,3354,7602,5290,7685,1442,38804,38214,3515,6039,2383,2687,8402,7597,4574,2045,1080,482,3419,5909,2134,2784,8767,6959,4289,2134,1195,624,6934,11948,4517,5471,17169,14556,8863,4179,2275,1106,124735072.80800000000,62046.53807600000
WARD 2,2,2004,,74396,25391,5203,47956,0,21742,18663,1185,0,2335,2802,309,92,0,0,0,2,3,0,0,4,2159,1253,3522,131,41,0,0,76,8,139,7,0,9,0,1144,828,2855,30,10,1,0,300,295,516,9,0,0,0,0,0,0,0,0,0,0,5,0,940,0,0,0,0,2708,1895,6151,94,0,0,26,18283,17463,60273,221,129,4,5,3228,7476,4854,8265,852,36988,37408,1946,5483,3306,3060,4208,6280,6795,3316,1732,862,2035,5418,3128,2733,4560,6910,6425,3137,1797,1265,3981,10901,6434,5793,8768,13190,13220,6453,3529,2127,52426081.12770000000,34528.34937290000
WARD 4,4,2004,,73104,28181,5554,47231,0,19799,17914,2852,67,1904,4192,127,1118,0,3,3,0,0,1,0,9,1756,322,2648,138,0,1,8,885,54,1494,194,0,31,3,2722,1508,7188,126,1,0,0,126,120,242,1,0,0,0,55,5,98,12,0,0,1,5,2,11,1,0,0,3,3946,1900,9393,240,0,3,8,17583,15888,52030,302,13,8,7,5318,8870,5236,6865,789,36314,36790,2167,5029,2608,2758,5491,6823,5722,2691,1916,1109,2105,4902,2492,2666,5679,6906,5494,2814,2162,1570,4272,9931,5100,5424,11170,13729,11216,5505,4078,2679,39214605.05300000000,33953.14740830000
WARD 1,1,2004,,75625,30989,5902,49528,0,21887,19718,1869,54,4616,3595,502,581,2,11,14,5,13,9,0,12,4133,1099,6866,355,113,3,1,495,46,916,72,0,13,6,1725,1021,4255,96,40,2,0,467,440,975,35,0,0,0,53,8,89,1,0,0,3,46,1,1503,5,0,0,7,3158,1825,6671,207,223,0,85,18694,17447,54350,434,497,8,54,5955,10582,4911,6717,606,37329,38296,2363,4528,2748,3084,5789,6430,5798,3348,2072,1169,2376,4397,2763,3187,6110,6511,5629,3321,2227,1775,4739,8925,5511,6271,11899,12941,11427,6669,4299,2944,52409096.37420000000,39933.76220990000
WARD 5,5,2004,,60487,19020,4955,35681,0,14413,12722,2076,0,989,2457,277,487,2,0,1,2,0,7,0,2,942,336,1511,45,0,0,0,347,40,791,136,0,4,1,1994,1372,6096,81,0,0,0,275,270,499,2,0,0,0,0,0,0,0,0,0,0,5,1,220,7,0,0,3,2318,1106,6100,136,0,0,1,12459,11288,45270,260,1,1,12,2192,4838,3594,6031,1685,30369,30118,1854,4634,2560,2753,4258,5042,4895,2530,1227,616,1923,4489,2422,2549,4375,5122,4622,2370,1349,897,3777,9123,4982,5302,8633,10164,9517,4900,2576,1513,22865665.18570000000,22045.88050180000
WARD 7,7,2004,,60188,31143,2651,39109,0,14585,14296,1546,241,10968,1659,0,2333,7,44,9,7,0,33,0,111,9995,2137,14925,748,14,100,3,1889,94,2967,353,4,84,5,1419,764,3312,92,30,0,0,0,0,0,0,0,0,0,219,15,327,18,4,4,2,63,5,2740,35,0,0,4,1520,879,2845,124,11,0,21,13642,10691,33072,533,91,9,100,11320,10548,3478,3182,219,30580,29608,1037,2145,1570,3372,6150,5068,4663,2566,2007,2002,1083,2036,1549,3297,5375,4486,4056,2319,2340,3067,2120,4181,3119,6669,11525,9554,8719,4885,4347,5069,24373304.38670000000,33197.47753850000
WARD 9,9,2004,,61249,28806,3905,41363,0,16142,15209,2420,34,4913,3014,541,2580,3,54,14,9,1,14,0,17,4538,1240,7002,299,55,4,5,1939,125,3142,517,1,118,4,2244,1149,6104,145,20,7,0,502,480,932,38,0,1,0,30,10,53,4,0,0,1,70,23,1376,22,2,0,6,2744,1442,6288,247,2,15,62,14461,11673,36352,640,38,8,95,8273,9692,4185,3841,537,31087,30162,1523,3183,1720,2196,5856,6302,4955,2475,1626,1251,1569,3069,1566,2282,5552,5515,4156,2388,1944,2121,3092,6252,3286,4478,11408,11817,9111,4863,3570,3372,88886676.37020000000,53131.07972160000
WARD 6,6,2004,,70100,29749,5522,44981,0,21554,16978,2583,46,5438,4127,3,564,0,0,2,7,0,1,0,13,4684,1982,7593,440,260,41,1,437,46,757,116,0,10,3,2426,1624,5627,99,54,1,0,1,0,2,1,0,1,0,44,0,121,2,0,0,0,9,0,701,1,0,0,3,3870,2824,7994,170,78,6,48,15922,15078,47305,344,660,4,10,6500,9540,4568,6163,622,34255,35845,2251,4909,2348,2066,4728,6258,5559,2769,1930,1437,2105,4584,2029,2121,5393,6909,5383,2708,2327,2286,4356,9493,4377,4187,10121,13167,10942,5477,4257,3723,47397671.74160000000,31343.26389850000
WARD 10,10,2004,,56469,20767,4696,33310,0,12934,11199,1930,26,2115,3322,825,1337,0,2,5,1,3,2,0,1,1686,496,3017,350,78,0,1,999,65,1924,296,0,41,0,1823,1036,5724,103,4,0,1,787,588,1810,37,0,0,0,25,9,61,1,0,0,0,10,2,324,1,0,2,3,2978,1479,8716,273,67,1,8,10954,9259,34893,235,0,2,13,3181,6072,3903,4927,1179,29082,27387,1752,4040,2024,2346,4359,5619,4377,2501,1438,626,1888,3875,1815,2211,4190,4888,3699,2462,1440,919,3640,7915,3839,4557,8549,10507,8076,4963,2878,1545,21197881.12220000000,22163.89905630000
WARD 8,8,2004,,62050,39488,2075,41282,0,11737,7220,911,180,26898,2191,0,1942,29,78,14,8,0,17,0,234,24253,5243,36483,2206,201,4,27,1562,83,2330,309,2,42,2,818,351,1875,58,32,1,0,0,0,0,0,0,0,1,160,9,264,19,0,0,3,115,8,1138,28,0,0,10,2047,920,3987,113,19,2,63,6739,5123,15973,345,62,11,146,17962,12699,3017,1852,164,32549,29501,846,1441,990,3316,10236,6640,4509,2195,1335,1041,828,1433,1059,3782,8749,4803,3574,1998,1581,1694,1674,2874,2049,7098,18985,11443,8083,4193,2916,2735,14940745.28730000000,22991.49513990000
WARD 11,11,2004,,64531,29086,3407,45783,0,18840,14953,2180,169,7432,3622,0,686,3,21,5,9,0,6,0,44,6750,2097,10142,533,104,1,6,502,32,796,139,6,33,4,2059,1222,4959,74,41,2,0,0,0,0,0,0,0,0,160,0,255,9,0,0,0,32,6,1241,7,4,1,5,3384,2260,6861,169,64,0,20,14437,13223,40277,374,114,8,44,8109,9971,3864,4955,425,31301,33230,1275,3653,2241,2509,4348,4894,5093,3257,2178,1853,1319,3518,2235,2441,4372,5151,5086,3330,2573,3205,2594,7171,4476,4950,8720,10045,10179,6587,4751,5058,37708740.61150000000,31464.46042450000
WARD 12,12,2004,,72622,28451,6388,49515,0,23116,21800,464,73,3852,2012,144,81,0,0,18,3,0,4,0,43,3216,950,5227,318,274,1,0,69,11,108,10,0,2,4,417,365,864,34,7,2,0,133,122,256,11,0,0,3,61,49,97,9,0,0,0,17,0,454,6,0,2,3,1832,1477,3833,76,101,0,90,21044,20142,61783,247,418,1,25,4761,9465,4936,7002,625,36259,36363,2456,5289,2402,2156,5537,7124,5711,2843,1772,969,2453,5080,2246,2061,5656,7291,5241,2948,1966,1421,4909,10369,4648,4217,11193,14415,10952,5791,3738,2390,102347960.92400000000,59463.00292110000
WARD 14,14,2004,,57341,19419,3809,38804,0,16577,15124,1210,0,1292,1745,0,42,0,0,1,4,0,1,0,2,1137,614,1758,152,0,1,0,35,4,67,6,0,1,0,1188,955,3050,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,487,0,0,0,2,1659,862,3946,84,0,0,11,14854,14141,48033,165,93,1,6,2259,5744,3642,6618,616,28669,28672,1427,4904,2825,2064,2724,4561,5255,2904,1285,720,1403,4446,2613,1822,2885,5263,5166,2653,1344,1077,2830,9350,5438,3886,5609,9824,10421,5557,2629,1797,33952811.56400000000,27789.79810280000
WARD 13,13,2004,,68315,25813,5421,44528,0,20896,18782,1055,33,2518,3274,6,139,1,0,2,1,1,1,0,2,1859,1109,3061,309,346,2,0,115,7,207,17,3,4,8,971,665,2321,31,45,0,0,6,1,13,0,0,0,0,31,15,38,2,0,0,0,5,1,137,1,0,0,4,3025,1879,6588,157,86,2,65,18107,17219,55950,230,377,3,6,3601,7952,4899,7005,662,33944,34371,2141,5079,2798,2387,4891,6074,5528,2871,1491,684,2078,4780,2658,2299,5316,6384,5483,2850,1622,901,4219,9859,5456,4686,10207,12458,11011,5721,3113,1585,59300137.47880000000,42055.12449000000
