"Date","Vehicle ID","Vehicle Type","KM Trvld"
"2016/04/13 00:00:00","RE9406 (11155-PC)","Sweeper","60"
"2016/04/20 00:00:00","RE9406 (11155-PC)","Sweeper","68"
"2016/05/03 00:00:00","RE9406 (11155-PC)","Sweeper","105"
"2016/04/04 00:00:00","RE9406 (11155-PC)","Sweeper","84"
"2016/04/14 00:00:00","RE9413 (11131-PC)","Sweeper","52"
"2016/04/19 00:00:00","RE9413 (11131-PC)","Sweeper","106"
"2016/04/28 00:00:00","RE9414 (11114-PC)","Sweeper","55"
"2016/04/16 00:00:00","RE9414 (11114-PC)","Sweeper","11"
"2016/04/17 00:00:00","RE9414 (11114-PC)","Sweeper","87"
"2016/05/02 00:00:00","RE9402 (11154-PC)","Sweeper","68"
"2016/04/15 00:00:00","RE9405 (11153-PC)","Sweeper","16"
"2016/04/19 00:00:00","RE9418 (11140-PC)","Sweeper","109"
"2016/04/18 00:00:00","RE9418 (11140-PC)","Sweeper","91"
"2016/04/16 00:00:00","RE9418 (11140-PC)","Sweeper","7"
"2016/04/15 00:00:00","RE9418 (11140-PC)","Sweeper","94"
"2016/04/26 00:00:00","RE9400 (11137-PC)","Sweeper","2"
"2016/04/05 00:00:00","RE9400 (11137-PC)","Sweeper","65"
"2016/04/24 00:00:00","RE9400 (11137-PC)","Sweeper","72"
"2016/05/07 00:00:00","RE9400 (11137-PC)","Sweeper","61"
"2016/05/08 00:00:00","RE9400 (11137-PC)","Sweeper","45"
"2016/04/09 00:00:00","RE9410 (11132-PC)","Sweeper","27"
"2016/04/22 00:00:00","RE9410 (11132-PC)","Sweeper","58"
"2016/04/16 00:00:00","RE9410 (11132-PC)","Sweeper","26"
"2016/05/06 00:00:00","RE9410 (11132-PC)","Sweeper","117"
"2016/05/08 00:00:00","RE9410 (11132-PC)","Sweeper","58"
"2016/05/04 00:00:00","RE9410 (11132-PC)","Sweeper","62"
"2016/04/25 00:00:00","RE9420 (11128-PC)","Sweeper","42"
"2016/04/06 00:00:00","RE9420 (11128-PC)","Sweeper","135"
"2016/04/12 00:00:00","RE9420 (11128-PC)","Sweeper","98"
"2016/04/16 00:00:00","RE9420 (11128-PC)","Sweeper","43"
"2016/04/09 00:00:00","RE9412 (11133-PC)","Sweeper","70"
"2016/04/17 00:00:00","RE9419 (11129-PC)","Sweeper","28"
"2016/04/15 00:00:00","RE9419 (11129-PC)","Sweeper","74"
"2016/04/13 00:00:00","HB13670","Sweeper","170"
"2016/04/23 00:00:00","HB13670","Sweeper","91"
"2016/05/03 00:00:00","HB13670","Sweeper","134"
"2016/04/29 00:00:00","HB13670","Sweeper","95"
"2016/05/05 00:00:00","HB13670","Sweeper","135"
"2016/05/01 00:00:00","RE9411 (11127-PC)","Sweeper","97"
"2016/04/06 00:00:00","RE9409 (11119-PC)","Sweeper","153"
