id,title,lastUpdated,geometry,link,icon,destinos
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-798","(798) SOBRARBE 3 Líneas: 35, N2, 36","","677083.7 4614263.0","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=798","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-799","(799) SOBRARBE 24 Líneas: 35","","677138.8 4614441.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=799","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-8","(8) MIGUEL ÁNGEL BLANCO GARRIDO 53 Líneas: 24, 36","","672718.3 4612021.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=8","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-80","(80) AV. CATALUÑA / R. MATARRAÑA Líneas: N7, 32, N1, 28","","679549.2 4615670.0","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=80","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-800","(800) SOBRARBE 55 Líneas: 35, N2, 36","","677143.0 4614479.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=800","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-8000","(8000) COCHERA tuzsa- Líneas: 38","","678532.25 4611406.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=8000","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/rural-802","(802) Parque del Tío Jorge Líneas: 101, 102","","676566.75 4614848.0","","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-803","(803) T. BRETÓN 10 Líneas: 24","","675549.3 4612536.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=803","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-805","(805) TULIPÁN 27 Líneas: 24, 36","","672411.8 4611856.0","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=805","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-806","(806) TULIPÁN 67 Líneas: 24","","672251.75 4611877.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=806","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/rural-806","(806) Esq. C/ Juslibol Líneas: 102","","677316.4 4615610.0","","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/rural-807","(807) Esq. Cno. Los Molinos Líneas: 102","","677557.4 4616289.5","","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-808","(808) UNCETA 33 Líneas: 24","","674813.25 4613500.0","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=808","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/rural-808","(808) Frente gasolinera Líneas: 102","","678200.2 4615622.5","","http://www.zaragoza.es/contenidos/iconos/bus.png",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/transporte-urbano/poste/tuzsa-809","(809) UNCETA 101 Líneas: 24","","674935.0 4613168.5","http://www.urbanosdezaragoza.es/frm_esquemaparadatime.php?poste=809","http://www.zaragoza.es/contenidos/iconos/bus.png",""
