LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 1,1,2009,,93437,36709,8436,0,27089,23683,2161,65,5337,4178,502,730,6,9,11,5,13,9,0,17,4920,1621,8288,237,154,9,0,595,43,1038,52,2,81,2,2059,1213,5002,78,13,9,0,477,451,936,25,0,0,0,60,11,95,5,0,0,1,43,1,1559,7,0,2,3,3945,2488,8207,192,30,8,12,23139,21261,68312,405,86,41,53,7308,12433,6101,8607,789,46099,47338,3315,5517,3166,3730,7138,7945,6821,4532,2410,1525,3371,5490,2937,3680,7496,7865,6945,4451,2680,2423,6686,11007,6103,7410,14634,15810,13766,8983,5090,3948,62496618.19750000000,57156.08377870000
WARD 5,5,2009,,60517,19631,4725,0,13759,12717,2082,1,1049,2456,300,1011,2,0,1,2,1,9,0,3,962,333,1634,59,24,1,0,789,52,1852,47,0,175,1,2007,1332,5917,72,0,2,0,274,270,483,26,0,0,0,1,0,1,0,0,0,2,6,3,362,7,0,0,2,2363,1099,6380,91,0,0,1,12440,10670,43888,257,2,17,15,2453,5427,3691,5562,1709,30629,29888,1887,4034,2377,2525,4778,4753,4744,3243,1531,757,1814,3958,2190,2395,4620,4419,4714,3133,1544,1101,3701,7992,4567,4920,9398,9172,9458,6376,3075,1858,22865665.09180000000,22045.88059970000
WARD 7,7,2009,,62715,33325,2932,0,14975,14006,2077,252,12598,1795,0,2494,5,46,9,7,2,34,0,199,10575,2738,15777,552,942,330,8,2004,84,3178,121,9,352,3,1872,1127,4417,91,92,19,0,0,0,0,0,0,0,0,241,13,367,10,1,1,2,58,4,3202,19,2,22,4,1651,974,3085,107,31,2,32,13307,10035,32689,524,95,48,103,11636,10929,3595,3321,227,32362,30353,1227,1962,1508,3622,6806,5118,4954,3204,1869,2092,1180,1888,1466,3217,5911,4248,4345,2863,2109,3126,2407,3850,2974,6839,12717,9366,9299,6067,3978,5218,24179549.47660000000,32475.19869390000
WARD 8,8,2009,,67359,44468,2648,0,14438,6832,1339,214,31780,2399,0,1764,17,83,12,9,1,18,0,221,26766,7534,41281,2316,2236,241,10,1392,71,2140,138,2,222,3,1161,689,2649,102,65,8,0,0,0,0,0,0,0,1,177,25,293,15,21,21,10,110,7,1516,10,1,9,10,2228,1469,4362,87,48,26,52,6300,4643,15118,309,65,106,140,18771,13746,3391,2075,151,35882,31477,1119,1444,981,2988,11648,7486,5070,2883,1305,958,1113,1315,971,3373,10078,5308,3907,2373,1500,1539,2232,2759,1952,6361,21726,12794,8977,5256,2805,2497,15832036.02130000000,24224.82940930000
WARD 14,14,2009,,62168,22485,4277,0,18512,17039,1377,1,1970,1998,4,87,1,0,2,4,0,2,0,6,1762,1001,2666,89,105,8,0,72,5,138,3,0,12,9,1319,1052,3290,25,24,0,1,3,1,4,0,0,0,0,1,0,3,0,0,0,0,8,1,675,0,0,1,8,1809,1000,4129,144,37,0,37,16583,15452,51263,230,178,11,9,3175,7210,4057,6464,651,31100,31068,1685,4487,2758,2320,3618,4535,5513,3590,1685,909,1603,4283,2451,2074,3470,4822,5711,3500,1725,1429,3288,8770,5209,4394,7088,9357,11224,7090,3410,2338,61980054.37590000000,42470.80831850000
WARD 10,10,2009,,64109,24961,5030,0,14438,12872,2300,42,2883,3982,822,2027,0,14,5,1,3,10,0,0,2551,737,4480,227,98,7,2,1501,86,2895,253,0,271,0,2169,1101,6284,112,12,7,2,784,674,1619,35,0,1,0,38,5,75,3,0,0,0,25,8,379,8,0,0,5,3715,1642,10552,251,3,8,6,12562,10185,37825,277,2,25,33,4647,7993,4436,5101,1168,33549,30560,1977,3752,2114,2603,5717,5770,5658,3091,1958,909,1987,3608,1878,2331,5043,4806,4645,3178,1933,1151,3964,7360,3992,4934,10760,10576,10303,6269,3891,2060,38812697.38740000000,36415.99750910000
WARD 2,2,2009,,78944,27232,4979,0,22885,20270,1210,0,2483,2827,309,126,0,0,1,2,4,0,0,4,2316,1257,3940,107,56,0,0,104,17,207,9,0,13,0,1187,856,2887,22,0,1,1,297,294,482,11,0,0,0,0,0,0,0,0,0,0,7,0,1455,0,0,0,3,2723,1830,6367,85,16,0,31,19801,18631,63606,240,179,19,7,3559,8374,5243,8304,955,39460,39484,1885,5149,3388,3395,4704,6024,7150,4631,1998,1136,1947,5174,3112,2966,4480,6423,7332,4321,2177,1552,3832,10323,6500,6361,9184,12447,14482,8952,4175,2688,59263370.52390000000,36741.61739310000
WARD 11,11,2009,,65817,30090,3853,0,19604,14921,2462,207,7756,4059,0,643,0,16,11,9,0,6,0,19,7105,2435,10996,564,32,36,2,507,24,781,48,4,82,3,2323,1488,5371,96,33,7,0,0,0,0,0,0,0,1,190,20,349,16,0,0,2,37,4,1252,0,0,3,3,3901,2617,8046,137,13,5,14,14340,13016,39022,402,124,41,42,8666,10477,4042,4816,402,31973,33844,1499,3138,2182,2439,4759,4731,5316,3713,2185,2011,1544,3003,2156,2535,4668,4807,5417,3855,2549,3310,3043,6141,4338,4974,9427,9538,10733,7568,4734,5321,37708746.24550000000,31464.63822840000
WARD 13,13,2009,,85429,31912,7110,0,26137,22539,1445,35,3929,3725,3,225,1,1,4,3,1,1,0,10,3448,2176,5949,182,287,2,0,200,24,365,13,0,12,0,1410,1038,3299,22,11,2,0,2,0,5,1,0,0,0,35,21,50,0,0,0,0,11,1,412,0,0,0,1,3597,2412,7974,113,12,2,18,22086,20465,67375,290,121,24,11,5053,10524,6267,8000,945,42624,42805,2853,5450,3135,3294,6468,7378,6892,4158,1924,1072,2804,5213,2796,2988,6724,7427,7043,4193,2191,1426,5657,10663,5931,6282,13192,14805,13935,8351,4115,2498,54161808.73480000000,38839.13325750000
WARD 3,3,2009,,105675,34473,12730,0,27190,26606,1814,96,2717,2540,8,683,0,1,0,2,0,6,0,9,2353,1512,4269,95,238,22,0,526,49,1316,52,0,105,13,1695,1233,5000,52,48,6,0,4,4,11,3,0,1,0,86,29,155,1,9,9,0,3,0,191,5,1,0,6,2288,1679,5563,88,151,7,47,25531,22684,89170,529,468,31,9,3763,8685,6694,10596,2748,53391,52284,5108,8520,3222,3492,10644,10539,6469,3172,1565,660,5021,8042,3018,3353,11229,9929,5902,3238,1648,904,10129,16562,6240,6845,21873,20468,12371,6410,3213,1564,145213224.50500000000,62699.73233600000
WARD 12,12,2009,,98490,38835,9040,0,30890,28971,1095,29,5475,2898,147,147,0,0,65,3,0,5,0,31,4678,1834,7854,246,512,8,0,113,11,198,5,0,29,16,980,847,2156,16,83,0,0,120,99,203,0,0,27,0,29,11,68,0,0,0,0,52,6,598,6,10,5,6,2696,2096,5627,69,124,3,98,28065,25986,81786,433,346,29,73,6720,13123,6904,9101,885,49678,48812,3724,6337,2917,3262,9277,8942,7766,4157,1989,1307,3545,6181,2708,3054,9139,8503,7477,3992,2347,1866,7269,12518,5625,6316,18416,17445,15243,8149,4336,3173,143135488.51800000000,71212.70874130000
WARD 6,6,2009,,86453,35556,7519,0,26211,20198,2836,49,7050,4748,0,665,0,0,1,6,2,1,0,17,5961,3102,9547,528,513,31,0,520,27,913,30,0,115,5,2674,1820,6097,105,43,9,0,0,0,0,0,0,0,0,47,2,119,2,0,0,0,10,0,846,0,0,0,8,4430,3163,9335,150,148,12,39,19446,18097,59596,389,283,41,10,7686,11051,5577,7939,835,42107,44346,3094,5756,2826,2654,5770,7283,7141,3924,2010,1649,2881,5520,2700,2664,6415,7919,7289,3924,2458,2576,5975,11276,5526,5318,12185,15202,14430,7848,4468,4225,46506382.69060000000,29966.48560600000
WARD 4,4,2009,,72245,28589,4957,0,19194,17851,2940,86,1946,4187,126,1442,1,4,5,0,0,1,0,9,1793,360,2728,118,20,6,5,1087,56,1791,120,2,228,4,2779,1465,7156,128,20,9,0,126,116,250,0,0,0,0,74,7,125,10,0,0,0,7,2,13,3,0,1,4,3992,1883,9732,176,0,15,9,17480,15305,50450,329,10,23,11,5748,9130,5268,6412,780,36297,35948,1991,4436,2495,2806,5585,6028,6341,3416,1887,1312,1899,4279,2414,2617,5234,5877,6254,3460,2101,1813,3890,8715,4909,5423,10819,11905,12595,6876,3988,3125,39175925.23080000000,33841.76080240000
WARD 9,9,2009,,62097,30397,3969,0,16286,14977,2649,44,6182,3148,550,2738,4,61,16,10,3,15,0,36,5326,1714,8185,336,451,33,6,2141,117,3517,198,2,391,4,2469,1284,6328,119,45,12,0,521,492,912,27,0,2,0,33,4,63,7,3,3,12,83,17,1616,12,0,2,9,2941,1596,6568,151,16,31,63,14271,11062,34908,535,59,49,109,9156,10473,4167,3483,506,32252,29845,1625,2520,1539,2172,6177,5954,5820,3404,1660,1381,1576,2547,1362,2182,5795,4926,4782,2935,1818,1922,3201,5067,2901,4354,11972,10880,10602,6339,3478,3303,96719604.35450000000,59607.32235730000
