CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,FOIP_IND,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,OBJECTID,SHAPE_AREA,SHAPE_LEN
Residential,1,SIG,SIGNAL HILL,2001,11830,4657,1169,7755,5819,4144,956,734,3025,329,0,914,386,0,2,0,0,0,1,0,0,6,874,804,1211,31,0,1,0,4,1,1,303,291,598,12,0,0,0,0,0,0,1,0,48,0,6,323,259,605,21,16,2861,2790,9364,41,5654,6176,474,812,382,263,544,1226,951,412,351,239,442,837,332,259,691,1381,885,449,464,436,916,1649,714,522,1235,2607,1836,861,815,675,,906,1426,697,1206,128,154,5548918.73910000000,10625.58230420000
Residential,1,GDL,GLENDALE,2001,2834,1104,178,1982,1363,906,350,292,959,0,0,108,24,0,13,0,0,0,0,0,0,0,108,0,157,0,0,10,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,35,0,0,946,882,2625,11,1403,1431,84,209,98,91,121,266,225,92,126,91,59,202,75,82,138,308,199,110,157,101,143,411,173,173,259,574,424,202,283,192,,255,394,129,275,35,156,1363685.72385000000,5283.95935222000
Residential,1,KIL,KILLARNEY/GLENGARRY,2001,6440,3399,360,4674,3981,1700,664,886,1572,285,1,559,476,0,504,0,0,2,0,0,0,4,532,126,799,22,1,395,19,613,74,0,276,113,662,8,0,0,0,0,0,0,1,1,1,1,0,456,283,941,7,5,1526,1158,3424,36,3199,3241,141,233,137,309,870,667,408,169,145,120,148,241,143,341,838,600,353,184,187,206,289,474,280,650,1708,1267,761,353,332,326,,1160,1252,452,295,27,157,1843507.06316000000,5571.07684892000
Residential,1,RIC,RICHMOND,2001,3979,2030,235,2960,2410,1034,509,562,1245,169,19,275,64,0,257,0,1,0,0,0,0,0,273,7,397,16,0,216,7,339,29,0,160,66,364,3,0,0,0,0,0,1,0,0,0,0,0,62,17,125,2,0,1206,937,2754,31,1995,1984,97,156,79,175,465,450,297,111,89,76,102,145,83,164,459,394,254,87,120,176,199,301,162,339,924,844,551,198,209,252,,656,760,281,205,15,158,1793961.89046000000,6460.14767739000
Residential,1,BNK,BANKVIEW,2001,5189,3357,163,3836,3667,673,253,874,541,66,36,2322,157,0,231,0,4,0,0,0,0,3,2255,247,3396,76,1,208,4,331,17,0,64,14,124,0,0,0,0,0,0,0,4,0,5,0,0,151,82,273,6,2,506,326,1060,22,2743,2446,80,69,62,419,1058,567,288,107,64,29,62,56,101,481,892,415,223,95,66,55,142,125,163,900,1950,982,511,202,130,84,,1662,1188,232,98,8,159,686657.16904800000,3414.74785849000
Residual Sub Area,4,09E,09E,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,160,9662306.05137000000,13122.17496660000
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,2001,108,62,2,88,64,58,24,32,0,0,0,0,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,107,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,67,41,1,9,2,1,5,16,17,8,7,1,0,5,0,1,6,8,8,7,5,1,1,14,2,2,11,24,25,15,12,2,,23,26,4,5,0,161,1538900.27687000000,7472.28204328000
Residential,1,LMR,LOWER MOUNT ROYAL,2001,2986,2228,23,1779,1793,308,42,287,85,14,0,1980,82,0,62,0,0,4,1,0,0,5,1774,201,2442,56,1,61,2,83,0,0,14,12,33,0,0,0,0,0,0,0,5,0,115,0,0,80,65,153,1,2,80,28,160,2,1476,1510,12,19,47,199,493,308,167,111,75,45,9,18,50,244,485,236,196,100,98,74,21,37,97,443,978,544,363,211,173,119,,1242,693,64,14,1,162,282657.31771900000,2856.12390163000
Industrial,2,AYB,ALYTH/BONNYBROOK,2001,31,17,4,12,6,6,6,3,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,11,6,26,2,21,10,2,1,1,0,5,5,4,2,0,1,1,0,0,1,1,4,0,2,0,1,3,1,1,1,6,9,4,4,0,2,,3,5,3,2,0,165,3907691.33399000000,11197.81008280000
Residential,1,UMR,UPPER MOUNT ROYAL,2001,2630,1065,178,1868,1338,807,350,279,801,9,0,234,13,0,8,0,0,0,0,0,0,0,229,58,325,4,0,8,0,10,0,0,9,7,19,0,0,0,0,0,0,0,0,0,0,0,0,9,5,20,4,1,780,737,2256,11,1325,1305,65,196,88,76,137,226,261,139,80,57,57,184,94,77,130,232,261,120,90,60,122,380,182,153,267,458,522,259,170,117,,262,371,128,248,26,167,1275581.54629000000,5092.20785212000
Residential,1,GBK,GLENBROOK,2001,7034,3113,508,4831,3851,1614,635,984,922,651,2,676,705,0,157,0,0,0,0,0,0,0,624,127,1055,10,0,141,9,256,7,3,627,263,1682,18,0,0,0,0,0,0,0,0,0,0,0,687,421,1601,18,0,913,794,2440,7,3410,3624,192,483,234,305,672,663,398,188,176,99,202,409,199,290,697,716,442,243,245,181,394,892,433,595,1369,1379,840,431,421,280,,837,1085,515,500,55,170,1947131.20398000000,5962.93982038000
Residential,1,SPR,SPRUCE CLIFF,2001,2776,1486,217,1816,1179,445,163,259,322,86,0,898,124,0,54,0,0,0,1,0,1,3,646,117,1109,55,0,40,3,64,13,0,83,32,216,3,0,0,0,0,0,0,1,0,241,1,0,109,23,414,15,2,313,270,732,6,1277,1499,95,174,67,82,250,237,136,70,75,91,73,159,52,124,267,222,147,79,125,251,168,333,119,206,517,459,283,149,200,342,,474,396,139,150,33,132,1081282.34020000000,4695.31014920000
Residential,1,SHG,SHAGANAPPI,2001,1592,841,75,1271,889,341,173,201,395,77,0,174,25,0,76,0,0,3,91,0,0,0,165,16,234,6,0,66,6,99,7,0,76,16,190,1,0,0,0,0,0,0,91,0,155,3,0,21,10,38,4,0,378,293,876,13,788,804,33,64,29,53,157,168,117,37,71,59,25,67,32,62,150,138,99,46,86,99,58,131,61,115,307,306,216,83,157,158,,311,312,89,75,10,135,1481741.77799000000,5717.74302378000
Major Park,3,COP,CANADA OLYMPIC PARK,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,88,881358.26902200000,4107.58188306000
Residual Sub Area,4,01E,01E,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,89,1213425.54728000000,4982.86209949000
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,2001,3702,1711,187,2837,1834,1066,403,488,876,217,2,128,119,183,182,0,0,2,1,0,1,0,130,1,145,0,0,150,8,236,29,0,217,100,543,0,0,178,170,321,5,1,2,0,291,1,0,114,97,266,5,0,856,690,1900,13,1792,1910,78,152,70,114,318,314,268,146,166,166,71,150,69,125,307,297,240,170,214,267,149,302,139,239,625,611,508,316,380,433,,575,656,216,181,19,90,3013962.83812000000,8242.93247518000
Residential,1,BNF,BANFF TRAIL,2001,3496,1678,131,2600,1881,791,250,383,1060,129,0,60,4,0,409,1,1,2,0,0,12,0,56,5,86,4,0,366,12,624,39,1,126,38,292,2,0,0,0,0,0,0,5,1,11,11,0,4,0,10,0,0,1039,735,2473,20,1743,1753,46,113,104,349,393,242,188,83,121,104,52,121,104,357,340,233,167,88,124,167,98,234,208,706,733,475,355,171,245,271,,461,665,271,184,15,91,1451656.03686000000,5869.15123698000
Residential,1,RMT,ROSEMONT,2001,1294,544,93,922,663,353,125,165,309,171,1,19,0,0,43,0,0,1,0,0,0,0,19,2,34,1,0,40,0,59,3,0,169,69,397,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,302,282,801,3,597,697,30,75,31,53,88,121,78,32,52,37,42,103,44,52,87,128,76,57,61,47,72,178,75,105,175,249,154,89,113,84,,129,216,65,114,7,93,449752.66437200000,2807.11494729000
Residential,1,MON,MONTGOMERY,2001,3909,1656,263,2788,2074,1024,592,580,1130,265,0,43,50,0,154,0,7,0,2,0,5,0,43,0,53,0,0,144,9,255,7,0,258,140,701,7,0,0,0,0,0,0,6,1,243,7,0,46,0,125,4,2,1097,874,2532,27,1887,2022,96,173,101,160,352,385,258,132,122,108,111,189,89,154,358,328,221,129,280,163,207,362,190,314,710,713,479,261,402,271,,414,644,285,228,23,94,2951500.78514000000,7352.52929254000
Residential,1,PIN,PINERIDGE,2001,10095,3561,861,6356,5518,2312,1020,1092,1733,605,0,600,566,0,57,0,0,0,0,0,0,0,491,26,762,109,0,47,2,108,8,0,598,451,1848,7,0,0,0,0,0,0,0,0,0,0,1,559,278,1462,5,0,1717,1555,5915,16,5072,5023,334,786,414,451,795,947,748,351,178,68,323,754,413,417,732,933,727,350,222,152,657,1540,827,868,1527,1880,1475,701,400,220,,626,945,665,968,208,95,2640566.41814000000,6501.02476866000
Residential,1,TUX,TUXEDO PARK,2001,4518,2435,246,3099,2801,978,456,667,1189,239,21,486,181,0,312,3,2,1,0,0,1,0,494,47,665,13,0,257,7,406,50,2,229,89,582,8,0,0,0,0,0,0,7,1,44,0,0,179,62,345,2,15,1124,772,2476,41,2264,2254,102,160,67,218,614,510,296,110,103,84,97,145,84,218,546,446,256,109,163,190,199,305,151,436,1160,956,552,219,266,274,,937,812,309,212,20,97,1322796.79934000000,4935.19350977000
Residential,1,RUN,RUNDLE,2001,11564,3597,955,6630,6403,2422,882,950,2223,175,0,0,1111,0,87,1,0,0,0,0,0,0,0,0,0,0,0,67,3,134,7,1,174,131,446,0,0,0,0,0,0,0,1,1,6,0,5,1041,300,2776,65,0,2204,1987,8202,18,5882,5682,372,875,511,586,952,996,839,440,240,71,392,856,469,518,856,978,855,413,241,104,764,1731,980,1104,1808,1974,1694,853,481,175,,352,963,718,1103,351,98,2641185.59181000000,6500.50722701000
Industrial,2,SUN,SUNRIDGE,2001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,99,2261630.17601000000,6030.65685615000
Residential,1,CGR,COUGAR RIDGE,2001,46,37,0,38,26,9,12,7,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,9,46,0,25,21,0,1,3,4,2,8,2,2,2,1,0,2,1,2,1,6,2,5,1,1,0,3,4,6,3,14,4,7,3,2,,0,4,4,5,1,101,2505188.19580000000,7978.86688856000
Residential,1,VIS,VISTA HEIGHTS,2001,2276,786,224,1212,1096,360,191,292,381,20,0,1,369,0,12,0,0,0,0,0,3,0,1,0,4,0,0,9,3,12,3,0,19,6,54,1,0,0,0,0,0,0,0,0,0,3,0,343,12,1139,26,0,379,339,1067,1,1113,1163,74,193,83,103,194,230,116,72,35,13,93,202,89,97,208,201,143,82,32,16,167,395,172,200,402,431,259,154,67,29,,93,221,177,221,39,103,1140009.72099000000,4782.18048841000
Residential,1,UNI,UNIVERSITY HEIGHTS,2001,3016,1373,117,1956,1441,423,177,268,430,41,0,875,12,0,14,0,0,1,0,0,0,2,843,12,1560,29,0,12,0,23,1,0,41,11,125,0,0,0,0,0,0,0,1,0,2,0,0,12,0,47,0,0,427,400,1259,3,1523,1493,56,149,96,306,329,197,151,92,110,37,46,126,88,331,296,184,144,110,116,52,102,275,184,637,625,381,295,202,226,89,,364,576,185,193,18,106,811616.80322600000,4021.40746869000
Residential,1,WLD,WILDWOOD,2001,2675,1050,196,1929,1296,969,386,294,1027,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,2,0,15,3,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,965,2631,5,1356,1319,88,198,74,61,146,269,190,108,118,104,69,171,66,48,153,266,178,113,161,94,157,369,140,109,299,535,368,221,279,198,,195,404,181,245,16,107,2566063.48252000000,8641.18888147000
Residential,1,STA,ST. ANDREWS HEIGHTS,2001,1972,741,101,1409,882,376,141,150,405,0,0,197,132,0,2,3,0,0,2,0,0,2,189,1,295,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,301,0,0,132,15,314,0,0,398,360,1059,7,933,1039,45,84,43,82,180,159,125,63,69,83,36,97,36,85,182,135,127,62,95,184,81,181,79,167,362,294,252,125,164,267,,198,281,116,117,14,108,1160432.86400000000,4933.97528299000
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,2001,2601,939,123,2079,1001,713,202,189,678,0,0,205,27,0,26,0,0,0,2,0,1,1,196,94,318,8,0,22,2,38,3,0,0,0,0,0,0,0,0,0,0,0,2,0,580,1,0,26,26,47,1,4,651,591,1618,22,1170,1431,46,116,52,58,140,190,164,87,95,222,49,107,38,53,142,177,153,87,139,486,95,223,90,111,282,367,317,174,234,708,,267,335,131,156,8,110,1178022.00319000000,4704.71261117000
Residential,1,RDL,ROSEDALE,2001,1651,656,107,949,852,518,185,149,600,0,0,36,3,0,16,0,0,1,0,0,0,0,34,0,41,2,0,9,1,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,2,0,3,1,1,579,517,1587,16,818,833,42,122,42,49,86,174,164,75,35,29,38,136,52,42,94,179,148,61,41,42,80,258,94,91,180,353,312,136,76,71,,145,193,111,163,13,113,666246.01006500000,3717.75068340000
Residential,1,MPK,MARLBOROUGH PARK,2001,9016,2992,748,5692,4902,2263,1016,919,2059,76,0,59,630,0,168,0,0,0,0,0,0,1,25,25,35,0,0,115,6,226,19,0,74,29,181,2,0,0,0,0,0,0,0,0,0,0,0,616,409,1709,14,2,2037,1794,6865,20,4621,4395,269,730,370,399,730,883,672,346,164,58,290,671,361,328,659,799,678,341,184,84,559,1401,731,727,1389,1682,1350,687,348,142,,343,813,609,888,214,115,2487253.59045000000,6281.98092578000
Residential,1,ABB,ABBEYDALE,2001,6580,1999,688,3781,3496,1501,852,660,1422,288,0,0,230,0,58,0,0,0,0,1,0,0,0,0,0,0,0,45,8,82,2,0,287,214,945,1,0,0,0,0,0,0,1,0,13,0,0,224,100,662,6,0,1410,1179,4878,10,3384,3196,260,631,328,237,538,715,420,159,72,24,259,584,289,200,548,704,356,126,87,43,519,1215,617,437,1086,1419,776,285,159,67,,175,452,439,777,124,116,1668248.73632000000,5745.72531285000
Residential,1,MRL,MARLBOROUGH,2001,8805,3062,616,5995,4870,2191,945,784,2261,124,0,379,192,0,105,0,0,1,0,0,0,2,368,1,687,9,0,89,11,200,6,0,123,78,396,1,0,0,0,0,0,1,0,0,0,0,0,190,149,515,2,0,2247,1952,7007,14,4583,4222,236,548,283,408,816,801,634,521,239,97,242,504,239,324,665,674,672,471,284,147,478,1052,522,732,1481,1475,1306,992,523,244,,413,1077,599,743,185,117,2654747.52367000000,6656.11476513000
Industrial,2,FRA,FRANKLIN,2001,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,118,1464543.54816000000,5267.41926306000
Residential,1,MAL,MAYLAND HEIGHTS,2001,6046,2708,351,4453,3429,1411,603,642,1308,317,12,622,286,0,161,0,0,1,0,0,1,2,519,88,856,113,0,142,7,255,14,0,312,140,819,5,0,0,0,0,0,0,1,0,1,1,0,262,14,688,24,1,1295,1162,3427,11,3117,2929,125,363,171,324,607,613,340,266,226,82,143,352,166,253,493,514,329,295,264,120,268,715,337,577,1100,1127,669,561,490,202,,625,996,432,433,45,119,2021813.73699000000,6234.85937781000
Industrial,2,MER,MERIDIAN,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,120,1382365.49136000000,5945.49283239000
