CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,FOIP_IND,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,OBJECTID,SHAPE_AREA,SHAPE_LEN
Residential,1,EAU,EAU CLAIRE,2001,1390,918,48,891,548,486,20,59,1,0,0,892,23,0,0,0,1,0,0,0,1,17,832,478,1357,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,17,8,28,6,0,1,0,2,0,694,696,18,22,12,25,106,115,153,132,86,25,18,19,19,41,105,100,131,108,106,49,36,41,31,66,211,215,284,240,192,74,,408,376,48,17,2,129,516055.74500800000,3221.64393304000
Residential,1,APP,APPLEWOOD PARK,2001,5269,1446,653,2953,2955,1307,479,339,1364,22,1,0,52,0,7,0,0,0,0,0,0,0,1,0,3,0,0,7,1,18,0,0,21,19,72,1,0,0,0,0,0,0,0,0,0,0,0,51,0,194,1,0,1355,1287,4982,9,2660,2609,244,463,191,170,440,634,304,140,59,15,251,453,180,157,487,576,284,134,62,25,495,916,371,327,927,1210,588,274,121,40,,74,304,286,611,160,131,1566371.30109000000,5555.60108527000
Residential,1,STR,STRATHCONA PARK,2001,6143,2105,560,3831,3174,1850,685,485,1704,186,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,153,392,6,0,0,0,0,0,0,0,0,0,0,0,209,144,422,3,5,1615,1553,5329,34,3042,3101,210,619,275,143,237,569,599,222,114,54,208,580,235,121,279,727,572,175,130,74,418,1199,510,264,516,1296,1171,397,244,128,,219,587,377,757,62,133,2734864.13537000000,9076.73343745000
Residential,1,PEN,PENBROOKE MEADOWS,2001,9263,2932,844,5343,4861,2011,875,843,1615,382,0,77,681,0,177,0,0,0,0,0,0,0,75,0,157,2,0,140,7,324,28,1,371,230,1263,7,0,0,0,0,0,0,0,0,0,0,0,665,382,2091,9,0,1602,1392,5428,12,4949,4314,372,696,350,388,928,1000,622,340,195,58,278,673,324,349,734,822,546,311,200,77,650,1369,674,737,1662,1822,1168,651,395,135,,308,768,645,900,232,134,2045665.66219000000,5890.92707075000
Residential,1,FHT,FOREST HEIGHTS,2001,6585,2076,585,4164,3326,1427,598,657,944,464,0,31,572,0,64,0,0,0,1,0,0,0,31,0,38,0,0,61,7,148,3,0,451,275,1543,11,0,0,0,0,0,0,1,0,240,0,1,552,312,1569,17,1,939,833,3047,4,3318,3267,248,458,256,268,510,622,428,209,199,120,226,428,229,229,580,537,355,248,204,231,474,886,485,497,1090,1159,783,457,403,351,,277,582,436,581,159,136,1502426.84126000000,5192.34425423000
Residential,1,ASP,ASPEN WOODS,2001,146,66,7,100,66,41,30,28,62,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,40,137,3,79,67,4,12,6,6,7,9,13,7,12,3,0,8,7,2,5,14,8,12,9,2,4,20,13,8,12,23,21,19,21,5,,6,20,8,14,2,137,3811064.76604000000,8898.58350586000
Residential,1,WGT,WESTGATE,2001,3296,1360,183,2411,1708,1021,351,357,923,54,0,165,192,0,26,0,0,0,0,0,0,0,158,67,273,7,0,16,1,30,9,0,54,29,122,0,0,0,0,0,0,0,0,0,0,0,0,189,61,469,3,0,915,863,2402,7,1558,1738,65,183,104,95,214,308,219,123,154,93,79,200,103,103,223,315,253,147,191,124,144,383,207,198,437,623,472,270,345,217,,294,523,222,274,19,138,1150950.80277000000,4551.83099229000
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,2001,6638,4699,94,4500,3904,184,27,378,2,0,1,4649,20,0,0,0,13,2,0,0,12,96,4374,174,6324,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,286,11,1,19,10,25,0,0,2,0,3,0,3710,2928,49,27,55,410,1247,780,526,303,206,107,36,38,63,432,890,458,367,248,234,162,85,65,118,842,2137,1238,893,551,440,269,,2793,1341,210,61,6,142,1328171.97659000000,5320.37808714000
Residential,1,RCK,ROSSCARROCK,2001,3350,1567,216,2135,1827,458,252,406,451,418,0,356,96,0,246,0,0,0,0,0,0,0,348,5,593,8,1,205,7,369,23,0,405,135,1091,10,0,0,0,0,0,0,0,0,0,0,0,95,6,247,1,2,431,305,1050,17,1674,1676,81,157,111,198,378,346,168,100,76,59,89,198,100,194,335,298,197,99,102,64,170,355,211,392,713,644,365,199,178,123,,449,535,283,188,29,143,1062226.70446000000,4400.01113442000
Residential,1,RED,RED CARPET,2001,1555,731,91,1236,979,524,273,244,0,0,0,214,0,517,0,0,0,0,0,0,0,0,201,192,350,13,0,0,0,0,0,0,0,0,0,0,0,509,332,1205,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,752,41,71,34,58,126,170,131,94,58,20,33,64,33,54,135,133,116,92,69,23,74,135,67,112,261,303,247,186,127,43,,201,297,121,86,5,145,556460.83952400000,3605.66952617000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,2001,388,164,22,308,193,151,58,44,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,151,388,6,194,194,10,25,17,4,9,37,38,16,17,21,5,21,12,5,14,37,39,12,26,23,15,46,29,9,23,74,77,28,43,44,,36,65,24,30,3,146,352694.64401300000,2630.18301137000
Residential,1,CHR,CHRISTIE PARK,2001,2320,735,143,1544,1044,692,211,116,476,98,0,0,159,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,95,92,188,0,0,0,0,0,0,0,2,0,182,0,0,151,142,278,4,0,472,458,1672,4,1085,1235,47,204,100,41,56,180,225,106,60,66,63,197,80,44,67,241,215,108,47,173,110,401,180,85,123,421,440,214,107,239,,97,239,94,267,23,147,814792.45466500000,4749.05190189000
Residential,1,ING,INGLEWOOD,2001,2875,1640,183,2063,1812,840,427,574,809,108,0,272,254,0,164,0,27,4,0,0,2,2,244,46,293,18,2,139,14,209,14,0,99,56,229,8,0,0,0,0,0,1,17,7,65,4,2,176,113,382,42,7,762,604,1697,31,1512,1363,81,88,59,106,367,373,216,95,72,55,75,125,52,80,310,303,186,85,74,73,156,213,111,186,677,676,402,180,146,128,,559,549,175,141,13,149,2497500.04154000000,9649.76019144000
Residential,1,CON,CONNAUGHT,2001,12041,8032,260,8845,8475,1482,196,1234,86,9,4,7618,234,0,56,10,12,0,1,0,2,32,7236,1323,11192,258,4,46,0,73,5,0,8,1,15,1,0,0,0,0,0,0,22,1,206,3,3,220,137,376,3,7,75,20,179,3,6419,5622,96,141,128,834,2229,1318,768,371,263,271,118,156,180,796,1817,860,643,380,322,350,214,297,308,1630,4046,2178,1411,751,585,621,,4184,2791,440,180,12,150,1213989.21669000000,4746.41832224000
Residential,1,VIC,VICTORIA PARK,2001,5521,3291,103,3218,3018,525,76,526,138,7,1,2925,54,0,110,13,34,1,1,0,7,65,2697,473,3939,161,2,88,0,118,18,1,5,1,9,0,0,0,0,0,0,0,51,1,1086,5,6,47,18,97,1,11,114,32,272,11,3332,2189,46,55,172,470,1013,697,416,225,136,102,38,58,158,359,631,331,206,103,156,149,84,113,330,829,1644,1028,622,328,292,251,,1869,858,172,76,27,151,1730601.03481000000,6363.39648941000
