LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 3,3,2002,,75068,26101,8812,0,20759,20593,1464,13,1465,2187,15,347,0,4,1,2,0,10,0,4,1201,547,2053,180,79,1,0,313,24,669,28,0,6,7,1424,883,4236,27,6,0,0,11,7,25,4,0,0,0,13,1,24,0,0,0,0,8,1,72,9,0,0,1,2027,1122,5252,86,73,0,83,19614,18174,62737,202,692,2,17,2820,7551,5371,7619,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129041020.60100000000,62188.25500570000
WARD 2,2,2002,,70954,24102,5309,0,20338,17825,1170,0,2073,2640,309,78,0,0,1,1,4,1,0,6,1818,873,2966,140,100,9,0,73,9,139,0,0,5,2,1140,813,2940,12,14,2,0,303,299,522,6,0,0,0,0,0,0,0,0,0,1,4,0,839,1,1,0,4,2390,1638,5459,47,189,10,20,17394,16706,58089,112,299,0,7,2860,6775,4482,8130,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52426082.04480000000,34528.83851160000
WARD 1,1,2002,,69092,27328,5156,0,19042,17035,1780,55,4279,3064,490,571,0,11,16,5,13,9,0,33,3973,821,6876,213,60,0,0,521,38,948,39,1,10,4,1717,985,4524,47,11,1,1,475,444,1002,14,0,0,0,53,9,97,2,0,0,2,41,3,1527,11,0,0,7,2871,1532,6253,70,115,1,69,16321,15210,47865,186,458,1,54,5182,9576,4412,6233,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52409178.32910000000,39935.71323980000
WARD 4,4,2002,,72285,28456,4856,0,18421,16535,3210,84,2541,4205,310,1550,3,8,6,1,0,3,0,6,2407,355,3564,100,28,0,3,1353,67,2217,163,0,31,6,3146,1599,8476,50,4,4,0,303,289,568,7,0,0,0,82,4,142,2,0,0,2,16,2,347,3,0,0,2,4072,1755,10083,127,4,0,19,16315,14350,46888,189,11,1,21,6216,9345,5058,6333,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39560960.36730000000,30198.25988900000
WARD 5,5,2002,,62164,18763,5256,0,14415,12715,2075,0,838,2420,276,427,1,0,2,2,0,7,0,5,729,139,1176,37,67,0,0,349,29,795,62,0,16,1,2040,1419,6508,34,0,0,0,276,272,497,0,0,0,0,0,0,0,0,0,0,0,4,1,111,7,1,0,4,2336,1063,6232,62,18,0,2,12599,11492,46845,87,27,0,12,1879,4601,3544,6526,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22865753.31710000000,22045.42155240000
WARD 7,7,2002,,60731,30300,2664,0,14511,14366,1421,229,10263,1620,0,2292,7,47,15,7,0,33,0,40,9699,1766,14269,310,213,1,6,1998,104,3194,231,5,52,1,1347,667,3148,52,20,1,0,0,0,0,0,0,0,0,221,16,360,6,0,0,4,78,6,2607,21,6,0,2,1572,832,3051,44,2,0,18,14026,11120,34102,266,50,6,109,11191,10878,3452,3148,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373373.47420000000,33206.56595050000
WARD 6,6,2002,,62912,26148,4721,0,18607,14319,2384,46,4999,3855,3,531,0,0,2,8,0,1,0,13,4527,1741,7475,377,78,4,1,458,29,822,64,0,8,8,2216,1383,5339,60,97,3,0,1,1,2,2,0,0,0,46,1,116,0,0,0,0,8,0,682,1,1,1,10,3705,2596,7822,78,60,2,58,13637,12856,40654,131,491,2,11,5722,8829,4006,5487,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47397676.78120000000,31347.14898850000
WARD 9,9,2002,,55840,24247,3949,0,14088,13170,1914,12,4152,2626,359,1932,0,49,12,8,0,13,0,8,3878,1018,6247,152,114,0,3,1646,103,2767,229,1,53,1,1853,956,5333,56,3,1,1,347,320,677,11,0,0,0,12,9,20,0,0,0,7,58,25,1036,16,0,1,4,2422,1141,5918,143,57,0,38,12757,10516,33842,357,15,3,82,6337,8291,3878,3890,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84235163.51320000000,48145.77337310000
WARD 10,10,2002,,58424,19873,5073,0,12952,11202,1916,27,1462,3226,821,1206,0,2,6,1,3,1,0,1,1382,269,2501,73,6,0,1,998,66,2141,147,0,60,2,1874,1053,6158,39,1,0,0,807,611,1869,14,0,0,0,19,5,49,2,6,6,3,9,2,285,1,0,0,1,3103,1432,9166,122,0,0,6,11085,9514,36255,108,2,1,13,2783,5902,3996,5278,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21197843.25050000000,22164.76729870000
WARD 8,8,2002,,63843,38884,2092,0,11191,7307,829,147,26303,2131,0,2021,31,80,13,5,0,17,0,218,24529,4525,36928,1088,462,6,19,1738,83,2619,173,6,85,2,796,311,1867,21,10,0,0,0,0,0,0,0,0,0,139,8,230,8,0,0,0,130,7,1528,15,1,0,13,2019,917,4046,44,55,0,57,7027,5340,16625,187,35,1,146,17904,13522,2898,1863,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14940634.52350000000,22999.42359600000
