LABEL,WARD_NUM,CNSS_YR,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,FOIP_IND,SHAPE_AREA,SHAPE_LEN
WARD 5,5,1999,70456,21133,6713,37656,15768,6361,5720,14089,2653,0,780,2925,276,402,1,0,1,1,0,5,0,741,5,1351,39,0,305,32,750,97,0,2618,1719,8628,35,0,274,274,498,2,0,3,1,37,5,0,2792,1169,7834,133,0,13825,12568,51358,264,35610,34842,2732,6130,3069,3124,5509,6730,4912,1933,1065,406,2516,5799,2987,2795,5665,6782,4676,1778,1291,553,5248,11929,6056,5919,11174,13512,9588,3711,2356,959,,24992238.45380000000,21543.20887710000
WARD 10,10,1999,58102,19051,5646,30646,12491,6152,5594,11114,1928,27,1249,3114,521,1088,0,1,6,1,1,1,0,1231,46,2397,45,0,882,74,1888,206,0,1887,1068,6356,41,0,512,373,1274,9,0,8,1,278,2,0,3027,1333,9279,87,0,10989,9596,36630,125,29942,28160,2233,4422,2194,2401,5424,5933,3638,2043,1201,453,2174,4281,2002,2108,4982,5141,3401,1966,1362,743,4407,8703,4196,4509,10406,11074,7039,4009,2563,1196,,21237063.91150000000,22103.74385080000
WARD 1,1,1999,68399,27020,4929,34954,18173,7362,6640,16882,1613,136,4263,2953,482,627,0,13,22,3,17,9,0,3961,461,6294,438,0,548,34,1004,79,0,1552,833,4250,61,0,472,410,1048,10,0,47,5,1271,17,0,2783,1277,6202,170,0,16403,15153,48330,479,33846,34553,1947,4550,2446,3063,5110,6270,4689,2720,2119,932,1899,4371,2337,2907,5034,6385,4663,2901,2556,1500,3846,8921,4783,5970,10144,12655,9352,5621,4675,2432,,56566695.22840000000,42131.14416010000
WARD 13,13,1999,55868,19996,3550,30056,15962,6110,5167,12871,1445,0,1796,3828,1,53,0,0,1,1,0,0,0,1666,375,2619,130,0,37,5,73,16,0,1393,1025,3447,52,0,1,0,2,0,0,2,1,258,0,0,3722,2361,7881,106,0,12786,12195,41588,85,27654,28214,1370,4555,2472,1897,2963,4802,4964,2562,1433,636,1331,4197,2267,1814,3110,5508,5124,2419,1545,899,2701,8752,4739,3711,6073,10310,10088,4981,2978,1535,,28943967.93080000000,30301.90443120000
WARD 9,9,1999,55276,20870,5089,30186,14275,7181,6918,13711,1662,12,1947,1950,360,1178,2,28,8,2,1,9,0,1858,263,3153,101,0,960,91,1769,218,0,1614,914,5010,48,0,348,327,738,12,0,29,15,291,21,0,1873,728,5012,77,0,13503,11937,39303,208,28490,26786,1964,4064,1753,1936,5043,6446,3512,1808,1373,591,1943,3825,1575,1670,4863,5657,3130,1798,1442,883,3907,7889,3328,3606,9906,12103,6642,3606,2815,1474,,93739649.66090000000,44882.04122010000
WARD 6,6,1999,59042,25260,4606,30803,16562,5301,6070,13384,2370,1,4744,3437,6,1108,0,0,114,92,3,1,0,4273,1271,6992,472,0,918,52,1557,190,0,2284,1283,5722,86,0,2,2,5,4,0,186,0,621,24,0,3149,2076,6813,288,0,12998,11878,37332,386,28598,30444,1784,3899,1705,1881,4379,6049,4096,1846,1829,1130,1847,3715,1648,1915,4789,6408,3841,2118,2279,1884,3631,7614,3353,3796,9168,12457,7937,3964,4108,3014,,48243540.62420000000,30512.22470190000
WARD 4,4,1999,47332,22317,2961,26188,11533,4849,6344,11883,1932,104,3591,2122,183,2359,4,8,25,101,3,2,0,3460,305,5242,235,0,1946,119,3090,413,0,1841,766,4645,91,0,180,172,315,3,0,118,4,1043,25,0,1962,714,5062,160,0,11667,9453,27935,216,23551,23781,1188,2168,1086,2015,5159,4992,2636,1426,1664,1217,1181,2215,1032,1945,4681,4404,2407,1660,2105,2151,2369,4383,2118,3960,9840,9396,5043,3086,3769,3368,,24158517.26980000000,24298.48296900000
WARD 14,14,1999,71925,23798,7080,38544,21003,8335,5996,20623,851,0,429,1648,216,15,0,0,14,1,1,0,0,313,102,464,116,0,11,3,17,4,0,806,724,2005,45,0,197,178,432,19,0,13,1,194,3,0,1474,923,3412,174,0,19839,19072,65401,784,36140,35785,2771,7259,2885,1842,4751,7736,5241,2186,1099,370,2683,6691,2596,1742,5367,8078,4891,2068,1114,555,5454,13950,5481,3584,10118,15814,10132,4254,2213,925,,120492572.26900000000,71198.55820280000
WARD 8,8,1999,45734,27403,1567,30048,6467,2090,6098,4495,307,141,20063,804,0,1437,13,45,83,3,0,12,0,19282,2787,29533,922,0,1231,60,1841,206,0,293,111,642,14,0,0,0,0,0,0,115,7,1990,41,0,714,353,1315,90,0,4296,3149,10413,199,24103,21631,593,1170,780,2785,7758,5101,2815,1281,1066,754,672,1048,940,3004,6340,3707,2268,1226,1282,1144,1265,2218,1720,5789,14098,8808,5083,2507,2348,1898,,9884854.66321000000,16613.61561600000
WARD 12,12,1999,60210,23079,4659,33482,17138,7024,6409,15346,1032,0,3997,2434,141,121,0,0,3,1,1,3,0,3559,631,6107,438,0,103,7,184,18,0,1019,626,2799,13,0,138,133,284,3,0,5,1,140,3,0,2397,1322,5931,37,0,15167,14418,44765,179,29954,30256,1894,4138,2058,1978,4534,6019,4254,2516,1823,740,1752,4117,1927,1927,4510,5924,4231,2719,1981,1168,3646,8255,3985,3905,9044,11943,8485,5235,3804,1908,,42814465.40680000000,45104.47319220000
