LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 3,3,2006,,91425,31703,10514,53110,25152,24635,1793,18,2306,2390,14,530,0,3,1,2,0,11,0,11,2245,1349,3603,44,0,6,0,436,26,842,33,0,61,10,1666,1098,4761,40,77,0,1,10,4,19,1,1,1,0,17,1,33,1,0,0,0,11,0,231,6,0,0,11,2222,1315,5627,75,82,0,64,23320,21359,76309,269,974,8,17,4074,8896,6170,8944,1843,46048,45377,4314,7138,2726,3074,9260,9090,5616,2708,1416,706,4100,6764,2602,3148,9998,8244,5212,2780,1576,953,8414,13902,5328,6222,19258,17334,10828,5488,2992,1659,124734922.13400000000,62045.44501540000
WARD 2,2,2006,,76791,26169,5025,41218,22475,19410,1206,1,2336,2801,309,101,0,0,0,2,3,0,0,5,2287,1303,3736,43,0,1,0,89,12,173,4,0,8,0,1186,843,2932,14,6,0,0,300,296,504,9,0,0,0,1,0,3,0,0,0,0,5,0,1148,0,0,0,1,2753,1899,6273,47,0,0,13,19050,18122,62022,190,154,3,5,3511,7840,5094,8353,873,38235,38556,1924,5455,3451,3189,4245,6294,6985,3796,1902,994,1958,5339,3241,2804,4549,6803,6841,3581,2018,1422,3882,10794,6692,5993,8794,13097,13826,7377,3920,2416,52464879.74880000000,34416.44054090000
WARD 4,4,2006,,72746,28286,5217,42232,19777,17897,2879,86,1884,4188,126,1219,0,3,3,0,0,1,0,4,1799,355,2686,78,0,3,2,976,35,1522,95,3,143,3,2788,1504,7222,73,11,4,0,125,119,230,1,0,0,0,81,6,129,4,0,0,1,6,1,20,0,0,0,3,4082,1925,9746,103,0,0,7,17642,15832,51191,226,12,10,7,5769,9133,5261,6588,748,36377,36369,2010,4798,2654,2870,5324,6619,5951,2928,1924,1299,2032,4602,2500,2713,5307,6571,5780,2960,2167,1737,4042,9400,5154,5583,10631,13190,11731,5888,4091,3036,39175957.10720000000,33842.09380130000
WARD 1,1,2006,,85303,34828,7139,47457,25430,22421,2077,65,5020,4081,503,608,2,10,14,5,13,9,0,22,4699,1469,7637,159,140,0,0,521,39,898,47,1,39,8,1892,1121,4618,64,113,0,0,483,446,988,8,0,12,0,53,8,85,11,0,0,3,44,0,1471,4,1,1,5,3851,2451,7882,130,90,5,55,21268,19896,61724,311,774,13,53,7036,11978,5616,7495,686,42079,43224,2811,4875,2959,3542,6806,7123,6448,3882,2227,1406,2935,4776,2908,3419,7244,7093,6465,3848,2402,2134,5746,9651,5867,6961,14050,14216,12913,7730,4629,3540,53293413.94630000000,44161.90263500000
WARD 5,5,2006,,60784,19139,4738,34215,14376,12720,2077,0,989,2458,277,605,2,0,1,2,0,8,0,2,968,328,1522,18,0,1,1,479,25,1035,42,0,83,1,2038,1361,6064,37,0,1,0,271,267,475,6,0,0,0,0,0,0,0,0,0,0,8,1,306,5,0,0,3,2417,1177,6325,37,0,1,1,12551,11217,45057,163,1,4,13,2444,5142,3672,5720,1754,30556,30228,1799,4505,2504,2675,4370,4843,4857,2897,1411,695,1837,4362,2318,2529,4334,4764,4770,2814,1457,1043,3636,8867,4822,5204,8704,9607,9627,5711,2868,1738,22865665.13190000000,22045.88059970000
WARD 7,7,2006,,61520,31502,2656,35765,15073,14170,1795,240,11126,1708,0,2356,6,50,8,8,1,34,0,78,10139,2465,14947,485,100,324,5,1952,72,3046,108,8,283,1,1679,957,3915,44,70,1,0,0,0,0,0,0,0,0,235,19,361,5,0,0,5,73,8,3061,26,0,3,2,1652,972,3075,32,22,0,27,13620,10580,33115,357,153,13,107,11565,10853,3534,3168,230,31522,29998,1021,2027,1534,3583,6144,5308,4858,2909,1993,2145,1091,2015,1432,3330,5442,4502,4294,2559,2269,3064,2112,4042,2966,6913,11586,9810,9152,5468,4262,5209,24373302.72210000000,33197.45193230000
WARD 9,9,2006,,62051,29717,3904,37765,16649,15162,2523,37,5641,3142,546,2568,3,58,14,9,1,13,0,19,5275,1748,7982,162,182,3,8,2066,116,3275,218,1,275,6,2416,1228,6391,67,26,8,1,509,488,906,7,0,29,0,32,4,62,1,4,4,7,73,19,1520,11,0,7,8,2871,1527,6358,95,57,111,67,14465,11519,35557,413,48,169,98,9224,10242,4188,3515,538,31758,30293,1489,2953,1679,2284,5855,6216,5417,2799,1645,1421,1658,2858,1507,2285,5457,5421,4517,2537,1917,2136,3147,5811,3186,4569,11312,11637,9934,5336,3562,3557,88886676.72630000000,53131.08013090000
WARD 6,6,2006,,77329,33011,6385,41420,24121,18869,2775,46,6501,4232,2,578,0,0,2,6,0,0,0,16,5058,2446,7961,483,943,1,3,490,38,819,31,3,51,6,2639,1789,5980,36,82,12,0,1,0,2,1,0,0,0,46,1,132,0,0,0,0,8,0,663,0,0,0,6,4050,2927,8280,74,101,1,24,17899,16920,53492,216,724,6,8,7257,10305,5010,6940,679,37759,39570,2615,5140,2522,2216,5045,6896,6433,3181,2097,1614,2597,4985,2342,2276,5830,7394,6248,3136,2623,2139,5212,10125,4864,4492,10875,14290,12681,6317,4720,3753,47397672.01350000000,31343.26359540000
WARD 10,10,2006,,56726,20895,4704,32117,13030,11188,1938,26,2067,3323,823,1507,1,11,5,1,3,2,0,4,2023,557,3564,40,0,0,0,1116,53,2131,105,0,286,1,1864,1029,5651,70,0,3,1,811,608,1817,11,0,0,0,26,9,60,0,0,0,0,20,9,354,3,0,0,3,3212,1549,9091,107,0,1,7,10950,9216,34058,227,0,4,23,3610,6578,3978,4800,1056,29436,27290,1865,3797,1930,2391,4459,5445,4620,2644,1619,666,1756,3614,1805,2154,4246,4726,3894,2586,1625,884,3621,7411,3735,4545,8705,10171,8514,5230,3244,1550,21197881.38380000000,22163.89886310000
WARD 8,8,2006,,65873,41494,2164,46897,13488,7057,1068,188,28891,2262,0,1874,27,87,14,7,2,17,0,211,26616,6547,40331,839,1029,196,19,1512,83,2251,139,1,203,2,950,500,2102,51,59,6,0,0,0,0,0,0,0,1,170,16,276,10,6,6,6,89,12,1237,12,2,45,21,2131,1412,4075,55,55,0,67,6534,4918,15601,324,82,50,154,19096,13688,3171,1894,153,34523,31350,901,1397,1062,3326,10317,7369,5079,2534,1492,1046,875,1422,1070,3945,9278,5482,3904,2198,1611,1565,1776,2819,2132,7271,19595,12851,8983,4732,3103,2611,14940745.21910000000,22991.49390940000
