LABEL,WARD_NUM,ALDERMAN,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 6,6,RICHARD POOTMANS,2012,,79627,31138,7049,0,0,24403,0,0,18636,2283,47,5006,4740,0,283,0,0,1,141,1,0,0,16,4704,2480,7492,162,120,4,2,232,10,407,22,0,27,3,2231,1692,4944,35,9,5,0,0,0,0,0,0,0,0,47,0,113,0,0,0,2,7,0,447,0,134,0,7,4501,3371,9382,189,40,3,43,17992,16850,56842,283,303,15,143,6457,9625,4963,7855,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40707000.78,28043.12055
WARD 2,2,GORD LOWE,2012,,75010,26333,6678,0,0,21913,0,0,20351,908,48,2062,2543,309,106,0,0,1,1,4,0,0,5,1762,1151,2978,68,227,0,0,96,9,162,7,0,3,22,857,738,1906,16,13,0,0,301,295,497,8,0,0,0,47,46,99,1,0,0,0,6,0,1240,0,0,0,5,2372,1607,5447,55,110,1,60,19562,18067,62681,252,447,30,6,3328,7834,5091,7789,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69004670.34,40405.5573
WARD 4,4,GAEL MACLEOD,2012,,84949,32883,5812,0,0,23269,0,0,21575,2836,55,2392,4624,126,1266,0,4,3,1,0,1,0,6,2217,631,3448,109,1,59,2,1004,53,1692,180,0,80,3,2728,1492,7049,99,3,3,0,126,115,250,0,0,0,0,51,3,88,4,0,0,0,5,0,138,4,0,0,2,4486,2290,10603,132,1,3,10,21218,18685,61681,322,8,17,9,6363,10801,6152,7571,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44431111.55,38368.05482
WARD 8,8,JOHN MAR,2012,,81020,50010,3761,0,0,16979,0,0,9062,2176,208,33957,2357,0,2108,14,82,13,9,2,22,0,194,30824,8341,47186,1655,788,496,11,1672,84,2643,282,4,139,6,1959,1101,4528,126,78,7,0,0,0,0,0,0,0,1,191,27,302,16,0,0,14,94,12,1548,11,0,23,4,2102,1026,4326,124,46,81,56,8464,6388,20487,402,107,33,142,22057,16179,4020,2831,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20971165.91,29345.32248
WARD 1,1,DALE HODGES,2012,,84707,33767,6872,0,0,23810,0,0,21066,2117,61,5383,3804,505,777,6,10,10,6,13,9,0,37,5150,1335,8820,186,7,3,0,640,46,1133,67,0,70,0,2021,1185,4836,65,28,3,2,478,438,947,20,0,5,0,57,11,84,4,0,0,1,45,1,1667,4,0,4,3,3653,2032,7625,144,3,1,26,20631,18762,59595,325,67,17,54,7248,11771,5485,7536,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58851485.91,55287.53472
WARD 12,12,SHANE KEATING,2012,,78832,30085,9478,0,0,24680,0,0,23391,1524,13,2009,3037,7,29,0,0,71,2,0,2,0,5,1553,1069,2647,43,407,1,0,20,1,33,2,0,7,12,1408,1196,3262,30,74,0,0,6,2,17,1,0,0,0,13,7,31,0,0,0,0,62,4,369,8,0,5,27,2434,1843,4900,102,473,1,107,22294,20558,67573,346,626,18,75,3862,9566,5627,7984,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124581204.4,56231.00162
WARD 5,5,RAY JONES,2012,,78766,26126,6846,0,0,16808,0,0,16421,2868,1,1420,3424,302,1666,2,1,1,3,1,16,0,1,1313,339,2368,106,0,0,2,1298,131,3145,197,2,167,0,2772,1683,8426,91,0,5,0,299,286,484,3,0,0,0,1,1,2,0,0,0,0,14,2,376,10,0,0,2,3296,1400,9291,125,0,1,5,16052,12966,54674,323,7,34,24,3521,7251,4995,7145,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34562082.49,26996.89658
WARD 7,7,DRUH FARRELL,2012,,78676,39993,4220,0,0,18916,0,0,17472,3011,299,13609,2639,2,2818,4,87,13,8,2,29,0,52,12057,3061,18037,809,445,246,10,2235,100,3588,377,8,188,2,2734,1558,6647,164,96,15,2,0,0,0,0,0,0,0,289,15,407,6,4,4,5,95,22,3298,27,0,16,4,2527,1267,5273,73,32,3,49,16655,12893,41426,637,104,27,143,13466,13731,4594,4484,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30854699.15,36443.47861
WARD 14,14,PETER DEMONG,2012,,72262,27062,5040,0,0,22237,0,0,20514,1552,17,2197,2649,3,117,2,0,2,5,0,4,0,8,2093,955,3186,96,0,0,0,95,7,181,11,0,11,5,1498,1194,3616,25,23,1,0,3,2,4,0,0,0,0,17,0,42,0,0,0,0,10,2,693,2,1,0,7,2480,1483,5489,95,67,0,27,20043,18594,59051,263,176,5,13,4416,9313,4878,6966,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68796103.6,45902.52484
WARD 9,9,GIAN-CARLO CARRA,2012,,73806,35849,4405,0,0,19966,0,0,17809,2811,33,8862,3227,468,2515,3,73,20,9,2,17,0,39,7990,2299,12881,342,481,10,7,2003,138,3135,334,0,171,3,2652,1497,6651,114,35,7,0,413,377,683,21,0,34,0,31,9,64,2,0,0,17,91,14,2114,15,0,1,9,3066,1923,6665,98,14,40,57,17148,13709,41613,467,83,54,124,11313,12489,4882,4221,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84167914.78,55960.72213
