CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OBJECTID,SHAPE_AREA,SHAPE_LEN
Residential,1,RCK,ROSSCARROCK,2003,,3343,1576,207,0,465,452,417,0,356,96,0,255,0,0,0,0,0,0,0,0,337,10,590,19,0,0,0,222,11,399,29,1,3,2,395,136,1062,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,7,240,2,0,0,2,431,301,1052,16,3,0,0,435,551,276,189,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1062226.70446000000,4400.01113442000
Residential,1,RED,RED CARPET,2003,,1541,916,83,0,531,0,0,0,399,0,517,0,0,0,0,0,0,0,0,0,214,211,372,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,320,1169,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,329,117,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,556460.83952400000,3605.66952617000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,2003,,387,165,22,0,152,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,152,387,3,0,0,0,41,63,23,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,352694.64401300000,2630.18301137000
Residential,1,CHR,CHRISTIE PARK,2003,,2309,728,120,0,695,476,94,0,0,156,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,93,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,200,0,0,0,0,150,140,268,6,0,0,0,475,462,1662,1,0,0,2,107,225,111,258,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,809168.45368200000,4744.03336414000
Residential,1,FLN,FOREST LAWN,2003,,7912,3275,675,0,1200,1414,306,6,231,725,52,534,0,2,3,0,2,0,0,0,205,3,388,20,6,0,6,426,27,829,78,0,24,0,298,103,921,8,0,0,0,30,19,47,22,0,0,0,3,3,9,3,0,0,2,5,2,17,0,0,0,0,670,55,1964,54,0,1,2,1348,988,3737,59,2,3,7,647,1026,589,575,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2316962.67354000000,6520.72444002000
Residential,1,ING,INGLEWOOD,2003,,3174,1887,159,0,1022,820,113,0,416,341,0,164,0,27,4,0,1,1,0,2,269,59,320,17,128,0,0,135,18,199,25,0,4,0,111,59,238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,17,78,3,1,2,3,329,260,678,8,1,0,6,776,609,1661,32,5,1,33,663,645,196,133,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2497500.04153000000,9649.76019144000
Residential,1,CON,CONNAUGHT,2003,,12045,8047,226,0,1990,80,8,4,7600,275,0,58,8,11,0,1,0,2,0,51,7223,1757,11135,315,0,11,4,48,1,83,6,0,0,0,7,3,14,1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,20,1,214,2,0,0,3,265,211,450,7,0,0,8,62,17,143,10,0,0,22,4066,3044,369,140,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1213989.21669000000,4746.41832224000
Residential,1,VIC,VICTORIA PARK,2003,,5185,3253,102,0,669,119,7,1,2923,54,0,91,13,35,1,1,0,8,0,22,2737,604,4123,163,0,1,1,81,6,103,9,0,0,1,5,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47,2,617,10,0,0,6,43,18,85,5,0,0,10,101,38,247,8,0,0,58,1756,960,212,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1730601.03481000000,6363.39648941000
Residential,1,SIG,SIGNAL HILL,2003,,13643,5156,1206,0,4776,3324,392,0,1018,417,0,4,0,0,0,1,0,0,0,4,931,852,1290,33,50,0,0,4,1,7,0,0,0,3,376,362,721,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,410,347,757,5,2,0,2,3269,3214,10820,27,26,0,1,1038,1581,788,1442,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,5556768.74994000000,10669.35914820000
Residential,1,GDL,GLENDALE,2003,,2785,1106,149,0,906,960,0,0,108,24,0,14,0,0,0,0,0,0,0,0,105,0,164,3,0,0,0,13,4,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,32,0,0,0,0,945,878,2563,15,0,0,0,256,397,142,260,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1363685.72385000000,5283.95935222000
Residential,1,KIL,KILLARNEY/GLENGARRY,2003,,6488,3469,353,0,1708,1556,317,11,540,521,0,522,0,0,2,0,0,0,0,3,515,144,767,21,1,0,3,416,27,640,72,1,30,1,293,113,687,12,11,0,0,0,0,0,0,0,0,0,9,2,16,2,0,0,0,2,1,2,0,0,0,0,501,315,1002,12,8,0,7,1490,1106,3374,54,5,0,2,1154,1296,492,254,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,1843507.06316000000,5571.07684892000
Residential,1,BNK,BANKVIEW,2003,,5327,3440,167,0,824,546,69,40,2379,156,0,246,0,4,0,0,0,0,0,2,2242,364,3438,135,0,0,3,215,15,327,26,1,1,0,63,19,123,6,0,0,0,0,0,0,0,0,0,0,33,2,47,7,0,0,0,4,0,7,0,0,0,0,150,88,281,6,0,0,1,526,336,1104,17,2,0,4,1621,1246,277,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,686657.16904800000,3414.74785849000
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,2003,,106,62,1,0,60,0,0,0,0,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,105,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1538900.27687000000,7472.28204328000
