OBJECTID;CODIGO;CENTRO;DIRECCION;DISTRITO;TX_DISTRIT;ARCOS;CAPACIDAD;MODELO;TITULAR;ESTADO;OBSERVACIO;FOTO;FECHA_FOTO;FUENTE_FOT;FUENTE;ID_INFORMO;ID_OBRAS;CODIGO_GEN;ELIMINADO;enplanos
1067;PBI_11049;"Escuela Oficial de Idiomas ""Carabanchel""";Portalegre, 52;11;CARABANCHEL;5,00000000000;5;8;;;;PBI_11049.jpg;;Pedalibre;PEDALIBRE;0;0;1;0;1
1068;PBI_06045;"JMD ""Tetuﬂn""";Vi±a Virgen;06;TETUAN;6,00000000000;12;1;AYUNTAMIENTO MADRID;;;PBI_06045.jpg;31/01/2011;Central de Movilidad;PEDALIBRE;0;0;1;10;1
1070;PBI_04034;Castellæ;Castellæ, 14;04;SALAMANCA;3,00000000000;6;2;AYUNTAMIENTO MADRID;1;Faltan los 3 arcos;PBI_04034.jpg;02/01/2011;Central de Movilidad;PEDALIBRE;0;0;1;-2;-1
1071;PBI_10051;"Metro ""Casa de Campo""";Paseo de la Venta;10;LATINA;6,00000000000;12;1;AYUNTAMIENTO MADRID;;;PBI_10051.jpg;18/09/2010;Central de Movilidad;PEDALIBRE;0;0;1;0;1
1072;PBI_04035;Lagasca;Lagasca, 30;04;SALAMANCA;3,00000000000;6;2;AYUNTAMIENTO MADRID;1;Falta 1 arco y los otros 2 estﬂn doblados;PBI_04035.jpg;02/01/2011;Central de Movilidad;PEDALIBRE;0;0;1;0;1
1073;PBI_04036;Claudio Coello;Claudio Coello, 28;04;SALAMANCA;3,00000000000;6;2;AYUNTAMIENTO MADRID;;;PBI_04036.jpg;02/01/2011;Central de Movilidad;PEDALIBRE;0;0;1;0;1
1075;PBI_11051;"Parque ""Sur""";V›a Lusitana - Plaza de Coimbra;11;CARABANCHEL;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_11051.jpg;07/10/2010;Central de Movilidad;Policia;0;0;1;0;1
1082;PBI_13059;"CEIP ""Madrid Sur""";Viridiana;13;PUENTE DE VALLECAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_13059.jpg;28/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1083;PBI_13060;Biblioteca UPM;Campur Sur;13;PUENTE DE VALLECAS;5,00000000000;10;3;;;;PBI_13060.jpg;29/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1084;PBI_18045;"Centro Comercial ""La Gavia""";Adolfo Bioy Casares, 2;18;VILLA DE VALLECAS;7,00000000000;7;8;;;;PBI_18045.jpg;28/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1085;PBI_18046;"Centro Comercial ""La Gavia""";Adolfo Bioy Casares, 2;18;VILLA DE VALLECAS;7,00000000000;7;8;;;;PBI_18046.jpg;29/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1217;PBI_11064;Instalaciones Deportivas en Avenida de los Poblados;Av. Poblados - V›a Lusitana;11;CARABANCHEL;6,00000000000;6;8;;;;PBI_11064.jpg;29/01/2011;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1086;PBI_18047;"Centro Comercial ""La Gavia""";Adolfo Bioy Casares, 2;18;VILLA DE VALLECAS;7,00000000000;7;8;;;;PBI_18047.jpg;29/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1088;PBI_18048;"Centro Comercial ""La Gavia""";Adolfo Bioy Casares, 2;18;VILLA DE VALLECAS;7,00000000000;7;8;;;;PBI_18048.jpg;29/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1090;PBI_18049;"Centro Juvenil ""Cerro de Vacas""";Real de Arganda y Sierra de Torcal;18;VILLA DE VALLECAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_18049.jpg;29/08/2010;Central de Movilidad;DG PLANIFICACION;0;714;1;0;1
1092;PBI_18050;Parque;Parque;18;VILLA DE VALLECAS;45,00000000000;45;5;;;;PBI_18050.jpg;29/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1096;PBI_15047;"Instalaciones Deportivas ""Concepcion Arenal""";Jos⁄ del Hierro;15;CIUDAD LINEAL;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_15047.jpg;31/08/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1104;PBI_21034;Alameda de Osuna;Noray;21;BARAJAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_21034.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1105;PBI_20057;Editorial Anaya;Juan Ignacio Luca de Tena;20;SAN BLAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;1;Faltan los 5 arcos;PBI_20057.jpg;03/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;-2;-1
1107;PBI_16071;"Parque ""Juan Pablo II""";Av. las Piceas;16;HORTALEZA;6,00000000000;6;8;;;;PBI_16071.jpg;03/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1109;PBI_16072;"Centro Deportivo Municipal ""Luis Aragon⁄s"" (lateral derecho)";El Provencio 20;16;HORTALEZA;5,00000000000;5;6;AYUNTAMIENTO MADRID;;;PBI_16072.jpg;03/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1110;PBI_16073;"Centro Deportivo Municipal ""Luis Aragon⁄s"" (lateral izquierdo)";El Provencio 20;16;HORTALEZA;5,00000000000;5;6;AYUNTAMIENTO MADRID;;;PBI_16073.jpg;03/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1112;PBI_20058;"Parque ""Paraiso""";Av. Arcentales;20;SAN BLAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;1;Faltan los 5 arcos;PBI_20058.jpg;03/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;-2;-1
1113;PBI_21035;"Instalaciæn Deportiva Municipal ""Villa de Madrid""";Los Brezos, 1;21;BARAJAS;10,00000000000;20;3;;;;PBI_21035.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1114;PBI_21036;"Instalaciæn Deportiva Municipal ""Villa de Madrid""";Los Brezos, 1;21;BARAJAS;9,00000000000;9;8;;;;PBI_21036.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1115;PBI_20059;"Centro Comercial ""Plenilunio""";Aracne, 3 y Pirra;20;SAN BLAS;8,00000000000;16;3;;;;PBI_20059.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1116;PBI_20060;Interior del parque;;20;SAN BLAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;1;Arcos sueltos 2;PBI_20060.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1117;PBI_20061;Anillo Verde Ciclista;Plaza de Grecia;20;SAN BLAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;;Retirado. Ya no estﬂ;PBI_20061.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;-2;1
1119;PBI_20062;"JMD ""San Blas""";Av. Arcentales, 28;20;SAN BLAS;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_20062.jpg;19/10/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1120;PBI_20063;"Polideportivo ""Pepu Hernﬂndez""";Av. Niza, s/n y Alpes;20;SAN BLAS;7,00000000000;7;8;;;;PBI_20063.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1122;PBI_20064;"Colegio ""Juan Vald⁄s""";Av. Canillejas;20;SAN BLAS;6,00000000000;6;8;;;;PBI_20064.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1124;PBI_20065;Escuela oficial de Idiomas;Conserveros, 4;20;SAN BLAS;6,00000000000;6;8;;;;PBI_20065.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1125;PBI_20066;"Centro Comercial ""Las Rosas""";Aquitania, 3;20;SAN BLAS;6,00000000000;6;8;;;;PBI_20066.jpg;04/09/2010;Central de Movilidad;CENTRAL DE MOVILIDAD;0;0;1;0;1
1;PBI_17001;Instalaciones Deportivas;Hermandad de Donantes de Sangre, 21;17;VILLAVERDE;10,00000000000;10;8;;;;PBI_17001.jpg;12/09/2010;Central de Movilidad;INFORMOMADRID;1;0;0;0;1
2;PBI_03001;Cuesta de Moyano;Paseo Prado, 2;03;RETIRO;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_03001.jpg;06/01/2011;Central de Movilidad;INFORMOMADRID;2;100;0;0;1
3;PBI_01001;La Casa Encendida;Ronda de Valencia, 2;01;CENTRO;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_01001.jpg;09/11/2010;Central de Movilidad;INFORMOMADRID;3;43;0;0;1
4;PBI_02001;Gta. Santa Mar›a de la Cabeza;Doctor Vallejo Nﬂjera, 2;02;ARGANZUELA;5,00000000000;10;1;AYUNTAMIENTO MADRID;;;PBI_02001.jpg;06/10/2010;Central de Movilidad;INFORMOMADRID;4;64;0;0;1
