DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
01/08/2015;16/08/2015;BICICLETA PUBLICA;6.957;1.252;5.705;49;1.203;5.705;9;0;0
01/08/2015;16/08/2015;SEÑALIZACION ;35;27;8;24;3;8;1;0;0
01/08/2015;16/08/2015;SER;915;783;132;150;633;131;102;1;0
01/08/2015;16/08/2015;TOTAL;7.907;2.062;5.845;223;1.839;5.844;112;1;0
17/08/2015;23/08/2015;BICICLETA PUBLICA;2.888;1.632;1.256;28;1.604;1.256;4;0;0
17/08/2015;23/08/2015;SEÑALIZACION ;17;14;3;14;0;3;0;0;0
17/08/2015;23/08/2015;SER;564;440;124;154;286;124;56;0;0
17/08/2015;23/08/2015;TOTAL;3.469;2.086;1.383;196;1.890;1.383;60;0;0
24/08/2015;30/08/2015;BICICLETA PUBLICA;3.629;168;3.461;107;61;3.461;42;0;0
24/08/2015;30/08/2015;SEÑALIZACION ;49;39;10;39;0;10;1;0;6
24/08/2015;30/08/2015;SER;515;507;8;162;345;8;41;0;0
24/08/2015;30/08/2015;TOTAL;4.193;714;3.479;308;406;3.479;84;0;6
31/08/2015;06/09/2015;BICICLETA PUBLICA;4.211;1.953;2.258;185;1.768;2.258;31;0;1
31/08/2015;06/09/2015;SEÑALIZACION ;64;58;6;56;2;6;3;0;0
31/08/2015;06/09/2015;SER;926;921;5;299;622;5;127;0;0
31/08/2015;06/09/2015;TOTAL;5.201;2.932;2.269;540;2.392;2.269;161;0;1
07/09/2015;13/09/2015;BICICLETA PUBLICA;4.872;3.617;1.255;1.306;2.311;1.255;35;0;1
07/09/2015;13/09/2015;SEÑALIZACION ;100;96;4;96;0;4;4;0;3
07/09/2015;13/09/2015;SER;853;849;4;170;679;4;95;0;0
07/09/2015;13/09/2015;TOTAL;5.825;4.562;1.263;1.572;2.990;1.263;134;0;4
14/09/2015;20/09/2015;BICICLETA PUBLICA;4.525;2.764;1.761;1.323;1.441;1.761;65;0;1
14/09/2015;20/09/2015;SEÑALIZACION ;83;74;9;74;0;8;1;1;2
14/09/2015;20/09/2015;SER;1.005;997;8;222;775;8;98;0;1
14/09/2015;20/09/2015;TOTAL;5.613;3.835;1.778;1.619;2.216;1.777;164;1;4
21/09/2015;27/09/2015;BICICLETA PUBLICA;4.941;4.015;926;2.018;1.997;926;36;0;0
21/09/2015;27/09/2015;SEÑALIZACION ;77;65;12;65;0;12;1;0;3
21/09/2015;27/09/2015;SER;1.003;985;18;224;761;18;95;0;1
21/09/2015;27/09/2015;TOTAL;6.021;5.065;956;2.307;2.758;956;132;0;4
28/09/2015;04/10/2015;BICICLETA PUBLICA;4.201;2.360;1.841;963;1.397;1.841;16;0;0
28/09/2015;04/10/2015;SEÑALIZACION ;82;71;11;70;1;10;4;1;4
28/09/2015;04/10/2015;SER;926;852;74;194;658;74;114;0;0
28/09/2015;04/10/2015;TOTAL;5.209;3.283;1.926;1.227;2.056;1.925;134;1;4
05/10/2015;11/10/2015;BICICLETA PUBLICA;3.907;207;3.700;195;12;3.698;38;2;0
05/10/2015;11/10/2015;SEÑALIZACION ;69;56;13;56;0;13;1;0;1
05/10/2015;11/10/2015;SER;995;251;744;70;181;743;59;1;3
05/10/2015;11/10/2015;TOTAL;4.971;514;4.457;321;193;4.454;98;3;4
12/10/2015;18/10/2015;BICICLETA PUBLICA;3.428;2.007;1.421;346;1.661;1.421;63;0;0
12/10/2015;18/10/2015;SEÑALIZACION ;81;81;0;81;0;0;0;0;2
12/10/2015;18/10/2015;SER;856;713;143;246;467;143;97;0;0
12/10/2015;18/10/2015;TOTAL;4.365;2.801;1.564;673;2.128;1.564;160;0;2
19/10/2015;25/10/2015;BICICLETA PUBLICA;3.611;1.805;1.806;55;1.750;1.806;27;0;0
19/10/2015;25/10/2015;SEÑALIZACION ;83;79;4;79;0;4;0;0;3
19/10/2015;25/10/2015;SER;1.182;865;317;280;585;317;127;0;0
19/10/2015;25/10/2015;TOTAL;4.876;2.749;2.127;414;2.335;2.127;154;0;3
26/10/2015;01/11/2015;BICICLETA PUBLICA;3.162;1.404;1.758;75;1.329;1.758;30;0;2
26/10/2015;01/11/2015;SEÑALIZACION ;66;60;6;60;0;6;1;0;0
26/10/2015;01/11/2015;SER;965;750;215;175;575;214;85;1;0
26/10/2015;01/11/2015;TOTAL;4.193;2.214;1.979;310;1.904;1.978;116;1;2
02/11/2015;08/11/2015;BICICLETA PUBLICA;3.047;245;2.802;55;190;2.799;55;3;0
02/11/2015;08/11/2015;SEÑALIZACION ;82;79;3;79;0;3;8;0;3
02/11/2015;08/11/2015;SER;1.413;1.081;332;280;801;332;134;0;0
02/11/2015;08/11/2015;TOTAL;4.542;1.405;3.137;414;991;3.134;197;3;3
09/11/2015;15/11/2015;BICICLETA PUBLICA;3.393;2.424;969;52;2.372;968;29;1;0
09/11/2015;15/11/2015;SEÑALIZACION ;58;54;4;54;0;4;1;0;3
09/11/2015;15/11/2015;SER;685;673;12;244;429;11;82;1;1
09/11/2015;15/11/2015;TOTAL;4.136;3.151;985;350;2.801;983;112;2;4
16/11/2015;22/11/2015;BICICLETA PUBLICA;2.970;2.942;28;9;2.933;25;7;3;0
16/11/2015;22/11/2015;SEÑALIZACION ;53;51;2;51;0;1;4;1;1
16/11/2015;22/11/2015;SER;974;967;7;238;729;5;108;2;1
16/11/2015;22/11/2015;TOTAL;3.997;3.960;37;298;3.662;31;119;6;2
23/11/2015;29/11/2015;BICICLETA PUBLICA;2.564;2.433;131;81;2.352;130;73;1;0
23/11/2015;29/11/2015;SEÑALIZACION ;62;54;8;54;0;8;3;0;2
23/11/2015;29/11/2015;SER;721;707;14;174;533;14;76;0;1
23/11/2015;29/11/2015;TOTAL;3.347;3.194;153;309;2.885;152;152;1;3
30/11/2015;06/12/2015;BICICLETA PUBLICA;2.065;2.032;33;38;1.994;32;38;1;0
30/11/2015;06/12/2015;SEÑALIZACION ;69;60;9;60;0;9;5;0;0
30/11/2015;06/12/2015;SER;297;137;160;26;111;160;22;0;0
30/11/2015;06/12/2015;TOTAL;2.431;2.229;202;124;2.105;201;65;1;0
07/12/2015;13/12/2015;BICICLETA PUBLICA;2.426;2.410;16;100;2.310;16;87;0;0
07/12/2015;13/12/2015;SEÑALIZACION ;50;46;4;43;3;4;2;0;2
07/12/2015;13/12/2015;SER;550;547;3;211;336;3;81;0;1
07/12/2015;13/12/2015;TOTAL;3.026;3.003;23;354;2.649;23;170;0;3
14/12/2015;20/12/2015;BICICLETA PUBLICA;2.435;942;1493;107;835;1.491;93;2;0
14/12/2015;20/12/2015;SEÑALIZACION ;72;63;9;63;0;9;0;0;6
14/12/2015;20/12/2015;SER;827;695;132;311;384;129;118;3;2
14/12/2015;20/12/2015;TOTAL;3.334;1.700;1634;481;1.219;1.629;211;5;8
21/12/2015;27/12/2015;BICICLETA PUBLICA;1.688;1.003;685;71;932;685;66;0;0
21/12/2015;27/12/2015;SEÑALIZACION ;36;36;0;36;0;0;2;0;1
21/12/2015;27/12/2015;SER;699;696;3;398;298;3;84;0;0
21/12/2015;27/12/2015;TOTAL;2.423;1.735;688;505;1.230;688;152;0;1
28/12/2015;03/01/2016;BICICLETA PUBLICA;1.289;1.279;10;65;1.214;10;57;0;0
28/12/2015;03/01/2016;SEÑALIZACION ;32;32;0;32;0;0;0;0;0
28/12/2015;03/01/2016;SER;699;697;2;386;311;2;67;0;0
28/12/2015;03/01/2016;TOTAL;2.020;2.008;12;483;1.525;12;124;0;0
04/01/2016;10/01/2016;BICICLETA PUBLICA;1.283;1.279;4;48;1.231;4;45;0;0
04/01/2016;10/01/2016;SEÑALIZACION ;68;65;3;65;0;2;5;1;0
04/01/2016;10/01/2016;SER;749;727;22;332;395;22;118;0;0
04/01/2016;10/01/2016;TOTAL;2.100;2.071;29;445;1.626;28;168;1;0
11/01/2016;17/01/2016;BICICLETA PUBLICA;1.524;1.512;12;49;1.463;12;49;0;0
11/01/2016;17/01/2016;SEÑALIZACION ;84;78;6;78;0;5;3;1;2
11/01/2016;17/01/2016;SER;988;878;110;277;601;108;98;2;0
11/01/2016;17/01/2016;TOTAL;2.596;2.468;128;404;2.064;125;150;3;2
18/01/2016;24/01/2016;BICICLETA PUBLICA;1.710;1.699;11;70;1.629;11;67;0;0
18/01/2016;24/01/2016;SEÑALIZACION ;88;74;14;74;0;14;0;0;2
18/01/2016;24/01/2016;SER;1.498;1.408;90;456;952;89;113;1;1
18/01/2016;24/01/2016;TOTAL;3.296;3.181;115;600;2.581;114;180;1;3
25/01/2016;31/01/2016;BICICLETA PUBLICA;1.643;1.631;12;97;1.534;12;90;0;0
25/01/2016;31/01/2016;SEÑALIZACION ;99;93;6;93;0;5;7;1;2
25/01/2016;31/01/2016;SER;1.182;689;493;280;409;493;53;0;0
25/01/2016;31/01/2016;TOTAL;2.924;2.413;511;470;1.943;510;150;1;2
01/02/2016;07/02/2016;BICICLETA PUBLICA;1.752;1.739;13;74;1.665;13;67;0;0
01/02/2016;07/02/2016;SEÑALIZACION ;106;91;15;91;0;11;3;4;1
01/02/2016;07/02/2016;SER;944;618;326;201;417;326;55;0;1
01/02/2016;07/02/2016;TOTAL;2.802;2.448;354;366;2.082;350;125;4;2
08/02/2016;14/02/2016;BICICLETA PUBLICA;1.253;1.235;18;73;1.162;18;73;0;0
08/02/2016;14/02/2016;SEÑALIZACION ;124;109;15;109;0;12;7;3;4
08/02/2016;14/02/2016;SER;1.148;915;233;370;545;233;76;0;0
08/02/2016;14/02/2016;TOTAL;2.525;2.259;266;552;1.707;263;156;3;4
15/02/2016;21/02/2016;BICICLETA PUBLICA;1.355;1.324;31;44;1.280;29;44;2;1
15/02/2016;21/02/2016;SEÑALIZACION ;118;85;33;84;1;33;9;0;2
15/02/2016;21/02/2016;SER;1.086;133;953;54;79;949;35;4;0
15/02/2016;21/02/2016;TOTAL;2.559;1.542;1.017;182;1.360;1.011;88;6;3
22/02/2016;28/02/2016;BICICLETA PUBLICA;1.299;1.277;22;51;1.226;22;48;0;1
22/02/2016;28/02/2016;SEÑALIZACION ;87;79;8;78;1;8;7;0;2
22/02/2016;28/02/2016;SER;963;562;401;207;355;400;51;1;1
22/02/2016;28/02/2016;TOTAL;2.349;1.918;431;336;1.582;430;106;1;4
29/02/2016;06/03/2016;BICICLETA PUBLICA;1.444;1.430;14;71;1.359;14;67;0;0
29/02/2016;06/03/2016;SEÑALIZACION ;113;90;23;87;3;18;1;5;5
29/02/2016;06/03/2016;SER;1.154;577;577;185;392;575;44;2;2
29/02/2016;06/03/2016;TOTAL;2.711;2.097;614;343;1.754;607;112;7;7
07/03/2016;13/03/2016;BICICLETA PUBLICA;1.245;1.148;97;72;1.076;97;66;0;0
07/03/2016;13/03/2016;SEÑALIZACION ;97;87;10;86;1;9;6;1;2
07/03/2016;13/03/2016;SER;886;334;552;141;193;552;45;0;0
07/03/2016;13/03/2016;TOTAL;2.228;1.569;659;299;1.270;658;117;1;2
14/03/2016;20/03/2016;BICICLETA PUBLICA;1.266;1.260;6;78;1.182;6;72;0;0
14/03/2016;20/03/2016;SEÑALIZACION ;97;74;23;73;1;22;9;1;2
14/03/2016;20/03/2016;SER;889;454;435;211;243;435;65;0;0
14/03/2016;20/03/2016;TOTAL;2.252;1.788;464;362;1.426;463;146;1;2
21/03/2016;27/03/2016;BICICLETA PUBLICA;695;695;0;43;652;0;34;0;0
21/03/2016;27/03/2016;SEÑALIZACION ;29;27;2;27;0;2;2;0;0
21/03/2016;27/03/2016;SER;539;464;75;184;280;75;55;0;0
21/03/2016;27/03/2016;TOTAL;1.263;1.186;77;254;932;77;91;0;0
28/03/2016;03/04/2016;BICICLETA PUBLICA;1.178;1.169;9;112;1.057;9;96;0;0
28/03/2016;03/04/2016;SEÑALIZACION ;89;77;12;75;2;10;5;2;1
28/03/2016;03/04/2016;SER;1.012;671;341;222;449;341;79;0;0
28/03/2016;03/04/2016;TOTAL;2.279;1.917;362;409;1.508;360;180;2;1
04/04/2016;10/04/2016;BICICLETA PUBLICA;1.228;1.221;7;108;1.113;7;83;0;0
04/04/2016;10/04/2016;SEÑALIZACION ;97;89;8;88;1;8;2;0;6
04/04/2016;10/04/2016;SER;924;400;524;213;187;523;66;1;1
04/04/2016;10/04/2016;TOTAL;2.249;1.710;539;409;1.301;538;151;1;7
10/04/2016;17/04/2016;BICICLETA PUBLICA;963;954;9;70;884;9;62;0;1
10/04/2016;17/04/2016;SEÑALIZACION ;77;70;7;70;0;5;3;2;3
10/04/2016;17/04/2016;SER;876;614;262;242;372;262;71;0;0
10/04/2016;17/04/2016;TOTAL;1.916;1.638;278;382;1.256;276;136;2;4
18/04/2016;24/04/2016;BICICLETA PUBLICA;1.128;1.117;11;89;1.028;9;87;2;0
18/04/2016;24/04/2016;SEÑALIZACION ;111;103;8;103;0;7;1;1;4
18/04/2016;24/04/2016;SER;1.093;668;425;282;386;425;83;0;1
18/04/2016;24/04/2016;TOTAL;2.332;1.888;444;474;1.414;441;171;3;5
25/04/2016;01/05/2016;BICICLETA PUBLICA;1.251;1.232;19;40;1.192;19;38;0;0
25/04/2016;01/05/2016;SEÑALIZACION ;112;102;10;102;0;10;6;0;5
25/04/2016;01/05/2016;SER;851;427;424;207;220;424;78;0;0
25/04/2016;01/05/2016;TOTAL;2.214;1.761;453;349;1.412;453;122;0;5
02/05/2016;08/05/2016;BICICLETA PUBLICA;1.099;1.093;6;49;1.044;6;44;0;0
02/05/2016;08/05/2016;SEÑALIZACION ;86;77;9;77;0;8;3;1;3
02/05/2016;08/05/2016;SER;823;808;15;305;503;15;99;0;0
02/05/2016;08/05/2016;TOTAL;2.008;1.978;30;431;1.547;29;146;1;3
09/05/2016;15/05/2016;BICICLETA PUBLICA;964;957;7;62;895;7;55;0;0
09/05/2016;15/05/2016;SEÑALIZACION ;83;78;5;77;1;5;3;0;2
09/05/2016;15/05/2016;SER;946;577;369;196;381;369;78;0;0
09/05/2016;15/05/2016;TOTAL;1.993;1.612;381;335;1.277;381;136;0;2
16/05/2016;22/05/2016;BICICLETA PUBLICA;1.594;1.579;15;138;1.441;15;130;0;0
16/05/2016;22/05/2016;SEÑALIZACION ;77;71;6;71;0;6;3;0;3
16/05/2016;22/05/2016;SER;769;626;143;204;422;143;84;0;0
16/05/2016;22/05/2016;TOTAL;2.440;2.276;164;413;1.863;164;217;0;3
23/05/2016;29/05/2016;BICICLETA PUBLICA;1.482;1.464;18;106;1.358;18;96;0;0
23/05/2016;29/05/2016;SEÑALIZACION ;85;78;7;77;1;7;2;0;3
23/05/2016;29/05/2016;SER;980;556;424;210;346;424;57;0;0
23/05/2016;29/05/2016;TOTAL;2.547;2.098;449;393;1.705;449;155;0;3
30/05/2016;05/06/2016;BICICLETA PUBLICA;1.402;1.378;24;109;1.269;24;102;0;0
30/05/2016;05/06/2016;SEÑALIZACION ;84;72;12;72;0;11;2;1;4
30/05/2016;05/06/2016;SER;747;324;423;161;163;422;50;1;0
30/05/2016;05/06/2016;TOTAL;2.233;1.774;459;342;1.432;457;154;2;4
06/06/2016;12/06/2016;BICICLETA PUBLICA;1.617;1.606;11;162;1.444;11;154;0;0
06/06/2016;12/06/2016;SEÑALIZACION ;74;73;1;71;2;1;0;0;1
06/06/2016;12/06/2016;SER;999;986;13;252;734;13;64;0;1
06/06/2016;12/06/2016;TOTAL;2.690;2.665;25;485;2.180;25;218;0;2
13/06/2016;19/06/2016;BICICLETA PUBLICA;1.592;1.574;18;152;1.422;17;138;1;1
13/06/2016;19/06/2016;SEÑALIZACION ;87;83;4;83;0;4;0;0;4
13/06/2016;19/06/2016;SER;908;510;398;269;241;396;86;2;1
13/06/2016;19/06/2016;TOTAL;2.587;2.167;420;504;1.663;417;224;3;6
20/06/2016;26/06/2016;BICICLETA PUBLICA;1.812;1.788;24;151;1.637;24;139;0;0
20/06/2016;26/06/2016;SEÑALIZACION ;76;66;10;66;0;10;3;0;3
20/06/2016;26/06/2016;SER;890;792;98;219;573;98;72;0;0
20/06/2016;26/06/2016;TOTAL;2.778;2.646;132;436;2.210;132;214;0;3
27/06/2016;03/07/2016;BICICLETA PUBLICA;1.718;1.706;12;61;1.645;12;59;0;0
27/06/2016;03/07/2016;SEÑALIZACION ;48;34;14;31;3;14;2;0;4
27/06/2016;03/07/2016;SER;962;142;820;132;10;820;121;0;1
27/06/2016;03/07/2016;TOTAL;2.728;1.882;846;224;1.658;846;182;0;5
04/07/2016;10/07/2016;BICICLETA PUBLICA;1.497;1.474;23;106;1.368;23;95;0;0
04/07/2016;10/07/2016;SEÑALIZACION ;77;72;5;70;2;5;0;0;3
04/07/2016;10/07/2016;SER;862;239;623;165;74;623;96;0;0
04/07/2016;10/07/2016;TOTAL;2.436;1.785;651;341;1.444;651;191;0;3
11/07/2016;17/07/2016;BICICLETA PUBLICA;1.739;1.725;14;155;1.570;14;144;0;0
11/07/2016;17/07/2016;SEÑALIZACION ;102;94;8;94;0;8;0;0;7
11/07/2016;17/07/2016;SER;1.140;775;365;264;511;365;96;0;0
11/07/2016;17/07/2016;TOTAL;2.981;2.594;387;513;2.081;387;240;0;7
18/07/2016;24/07/2016;BICICLETA PUBLICA;1.587;1.574;13;163;1.411;13;149;0;0
18/07/2016;24/07/2016;SEÑALIZACION ;90;87;3;87;0;3;0;0;5
18/07/2016;24/07/2016;SER;705;466;239;187;279;238;88;1;0
18/07/2016;24/07/2016;TOTAL;2.382;2.127;255;437;1.690;254;237;1;5
