Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Número de Plazas
115;439181,48;4475218,76;23/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MARQUES DE CERRALBO, PLAZA, DEL;S/N;24
116a;439616,59;4475074,01;23/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;24
116b;439610,68;4475084,23;23/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;24
117;439020,83;4475833,31;26/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ALTAMIRANO, CALLE, DE;24;24
118;441605,27;4472470,69;23/06/2014;02  ARGANZUELA;02-06 PALOS DE MOGUER;JUAN MARTIN EL EMPECINADO, CALLE, DE;16;24
119;441738,36;4472542,79;23/06/2014;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;7;24
120;441058,14;4472722,16;23/06/2014;02  ARGANZUELA;02-06 PALOS DE MOGUER;PALOS DE LA FRONTERA, CALLE, DE;27;24
121;440718,1;4472592,85;23/06/2014;02  ARGANZUELA;02-06 PALOS DE MOGUER;SANTA MARIA DE LA CABEZA, PASEO, DE;58;24
122;440941,06;4475664,68;23/06/2014;07  CHAMBERÍ;07-04 ALMAGRO;SANTA ENGRACIA, CALLE, DE;16;24
123;439482,59;4475800,04;23/06/2014;07  CHAMBERÍ;07-01 GAZTAMBIDE;GUZMAN EL BUENO, CALLE, DE;2;24
124;440683,01;4475810,28;01/07/2015;07  CHAMBERÍ;07-03 TRAFALGAR;MANUEL SILVELA, CALLE, DE;18;24
125;441066,99;4476306,47;01/07/2015;07  CHAMBERÍ;07-04 ALMAGRO;FERNANDEZ DE LA HOZ, CALLE, DE;29;24
126;440480,69;4476228,15;01/07/2015;07  CHAMBERÍ;07-03 TRAFALGAR;GENERAL ALVAREZ DE CASTRO, CALLE, DEL;4;24
127;439915,53;4476159,48;01/07/2015;07  CHAMBERÍ;07-02 ARAPILES;FERNANDO EL CATOLICO, CALLE, DE;19;24
128;439310,29;4476734,2;01/07/2015;07  CHAMBERÍ;07-01 GAZTAMBIDE;CEA BERMUDEZ, CALLE, DE;59;24
129;440776,2;4476658,18;01/07/2015;07  CHAMBERÍ;07-05 RÍOS ROSAS;JOSE ABASCAL, CALLE, DE;33;24
