ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Site name,Address Line 1,Address Line 2,Address Line 3,Postcode,Latitude,Longitude,Site Type,Provder,Ward,ONSRef,Site Status
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,2 Great George Street,Great George Street,,Leeds,LS2 3AD,53.80116,-1.54549,One Stop Centre,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Abbey House Museum,Abbey Walk ,Kirkstall,Leeds,LS5 3EH,53.82225,-1.60728,Museum,Leeds City Council,Kirkstall,http://statistics.data.gov.uk/id/statistical-geography/E05001432,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Allerton Bywater Welfare Hall,30-38 Station Road,Kippax,Wakefield,WF10 2BP,53.7433,-1.35839,Community Centre,Leeds City Council,Kippax and Methley,http://statistics.data.gov.uk/id/statistical-geography/E05001431,Unable to have wifi
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Ardsley & Tingley,213a Bradford Road,Tingley ,Wakefield,WF3 2DL,53.72552,-1.5508,Library,Leeds City Council,Ardsley and Robin Hood,http://statistics.data.gov.uk/id/statistical-geography/E05001413,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Armley,Carr Crofts ,Armley,Leeds,LS12 3HB,53.79513,-1.59181,Leisure Centre,Leeds City Council,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Armley,2 Stockshill,Armley,Leeds,LS12 1UL,53.79719,-1.58821,Library,Leeds City Council,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Armley,2 Stocks Hill,Armley,Leeds,LS12 1UQ,53.79717,-1.58839,One Stop Centre,Leeds City Council,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Armley Lazer Centre,Lenhurst Avenue ,Armley,Leeds,LS12 2RE,53.81021,-1.60628,Activity Centre,Leeds City Council,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Armley Mills Industrial Museum,Canel Road,Armley,Leeds,LS12 2QF,53.8019,-1.58129,Museum,Leeds City Council,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Armley Moor Children's Centre,95 Town Street,Armley,Leeds,LS12 3HD,53.79621,-1.59402,Childrens Centre,Leeds City Council,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,LIVE
