ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Site name,Address Line 1,Address Line 2,Address Line 3,Postcode,Latitude,Longitude,Site Type,Provder,Ward,ONSRef,Site Status
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Beeston,"Units 5-6, District Centre",Town Street,Leeds,LS11 8PN,53.77253,-1.56672,Library,Leeds City Council,Beeston and Holbeck,http://statistics.data.gov.uk/id/statistical-geography/E05001415,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Boston Spa,High Street,Wetherby,Leeds,LS23 6BH,53.90529,-1.34636,Library,Leeds City Council,Wetherby,http://statistics.data.gov.uk/id/statistical-geography/E05001443,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Boston Spa Childrens Centre,Deepdale Lane,Wetherby,Leeds,LS23 6EH,53.9091,-1.36091,Childrens Centre,Leeds City Council,Wetherby,http://statistics.data.gov.uk/id/statistical-geography/E05001443,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Bramley,Hough Lane,Bramley,Leeds,LS13 3ND,53.81049,-1.63009,Library,Leeds City Council,Bramley and Stanningley,http://statistics.data.gov.uk/id/statistical-geography/E05001416,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Bramley Children's Centre,Fairfield Street,Bramley,Leeds,LS13 3DT,53.80833,-1.6406,Childrens Centre,Leeds City Council,Bramley and Stanningley,http://statistics.data.gov.uk/id/statistical-geography/E05001416,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Bramley Children's Centre under 3's,Fairfield Street,Bramley,Leeds,LS13 3DT,53.80833,-1.6406,Childrens Centre,Leeds City Council,Bramley and Stanningley,http://statistics.data.gov.uk/id/statistical-geography/E05001416,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Bridge End Telephone Box,Bridge End,,Leeds,LS1 7HG,53.79415,-1.54193,Blue Telephone Box,AQL,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Briggate Street,Briggate,,Leeds,LS1 6LS,53.7968,-1.5424,Open Air,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Burley,Cardigan Road,Burley,Leeds,LS6 1QL,53.80793,-1.57505,Library,Leeds City Council,Hyde Park and Woodhouse,http://statistics.data.gov.uk/id/statistical-geography/E05001429,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Burley Park Children's Centre,Saint Matthias Street,Burley,Leeds,LS4 2DZ,53.80607,-1.57935,Childrens Centre,Leeds City Council,Kirkstall,http://statistics.data.gov.uk/id/statistical-geography/E05001432,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Calverley,Thornhill Street,Calverley,Leeds,LS28 5PD,53.82924,-1.68717,Library,Leeds City Council,Calverley and Farsley,http://statistics.data.gov.uk/id/statistical-geography/E05001418,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Calverley Mechanics Institute,Thornhill Street,Pudsey,Leeds,LS28 5NQ,53.82902,-1.6872,Community Centre,Leeds City Council,Calverley and Farsley,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Unable to have wifi
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Carriagworks,The Electric Press,3 Millenium Square,Leeds,LS2 3AD,53.80118,-1.54817,Activity Centre,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Central Library,The Headrow,Calverley Street,Leeds,LS1 3AB,53.80024,-1.54872,Library,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Chapel Allerton,106 Harrogate Road,Chapel Allerton,Leeds,LS7 4LZ,53.82867,-1.53747,Library,Leeds City Council,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Chapel Allerton Children's Centre,Blake Grove ,Chapel Allerton,Leeds,LS7 3LT,53.82558,-1.53605,Childrens Centre,Leeds City Council,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Chapeltown,The Reginald Centre,263 Chapeltown Road,Leeds,LS7 3EX,53.81776,-1.5319,Library,Leeds City Council,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Chapeltown Children's Centre,62 Leopold Street,Chapeltown,Leeds,LS7 4AW,53.81225,-1.5315,Childrens Centre,Leeds City Council,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,City Centre Art Gallery,The Headrow,Calverley Street,Leeds,LS1 3AA,53.8002,-1.54811,Art Gallery,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Compton Road,The Compton Centre,Harehills Lane,Leeds,LS9 7BG,53.80908,-1.50968,Library,Leeds City Council,Gipton and Harehills,http://statistics.data.gov.uk/id/statistical-geography/E05001424,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Cottingley Children's Centre/Springwell CC,Cottingley Drive,Cottingley,Leeds,LS11 0JP,53.7682,-1.58176,Childrens Centre,Leeds City Council,Beeston and Holbeck,http://statistics.data.gov.uk/id/statistical-geography/E05001415,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Cross Gates,Farm Road,Cross Gates,Leeds,LS15 7LB,53.80747,-1.45305,Library,Leeds City Council,Killingbeck and Seacroft,http://statistics.data.gov.uk/id/statistical-geography/E05001430,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Dewsbury Road,190 Dewsbury Road,Hunslet,Leeds,LS11 6PF,53.77918,-1.54522,Library,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Dewsbury Road,190 Dewsbury Road,Hunslet,Leeds,LS11 6PF,53.77918,-1.54522,One Stop Centre,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Farsley,Old Road,Farsley,Leeds,LS28 5DH,53.81022,-1.67297,Library,Leeds City Council,Calverley and Farsley,http://statistics.data.gov.uk/id/statistical-geography/E05001418,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Fearnville,Oakwood Lane,Fearnville,Leeds,LS8 3LF,53.81488,-1.48858,Leisure Centre,Leeds City Council,Gipton and Harehills,http://statistics.data.gov.uk/id/statistical-geography/E05001424,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Garforth,1-5 Main Street,Garforth ,Leeds,LS25 1DU,53.79203,-1.38791,Library,Leeds City Council,Garforth and Swillington,http://statistics.data.gov.uk/id/statistical-geography/E05001423,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Garforth,Lidgett Lane ,Garforth ,Leeds,LS25 1EH,53.7919,-1.38814,One Stop Centre,Leeds City Council,Garforth and Swillington,http://statistics.data.gov.uk/id/statistical-geography/E05001423,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Garforth,Ninelands Lane,Garforth ,Leeds,LS25 1NX,53.79127,-1.3758,Leisure Centre,Leeds City Council,Garforth and Swillington,http://statistics.data.gov.uk/id/statistical-geography/E05001423,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Gildersome,Town Street,Gildersome,Leeds,LS27 7AB,53.75821,-1.62883,Library,Leeds City Council,Morley North,http://statistics.data.gov.uk/id/statistical-geography/E05001435,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Gipton North Children's Centre,Thorn Walk,Gipton ,Leeds,LS8 3LP,53.8144,-1.49802,Childrens Centre,Leeds City Council,Gipton and Harehills,http://statistics.data.gov.uk/id/statistical-geography/E05001424,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Gipton South Children's Centre,Coldcotes Grove,Gipton ,Leeds,LS9 6QJ,53.80705,-1.49064,Childrens Centre,Leeds City Council,Gipton and Harehills,http://statistics.data.gov.uk/id/statistical-geography/E05001424,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Guiseley,Otley Road,Guisley,Leeds,LS20 8AH,53.87309,-1.71038,Library,Leeds City Council,Guiseley and Rawdon,http://statistics.data.gov.uk/id/statistical-geography/E05001425,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Halton,273 Seby Road,Halton ,Leeds,LS15 7JR,53.79652,-1.46889,Library,Leeds City Council,Temple Newsam,http://statistics.data.gov.uk/id/statistical-geography/E05001441,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Harehills Children's Centre,Cowper Terrace,Harehills,Leeds,LS9 7BA,53.80904,-1.51048,Childrens Centre,Leeds City Council,Gipton and Harehills,http://statistics.data.gov.uk/id/statistical-geography/E05001424,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Hawksworth Wood Children's Centre,Broadway,Hawksworth,Leeds,LS5 3PS,53.8314,-1.6166,Childrens Centre,Leeds City Council,Kirkstall,http://statistics.data.gov.uk/id/statistical-geography/E05001432,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Headingley,North Lane,Headingley,Leeds,LS6 3HG,53.82104,-1.57833,Library,Leeds City Council,Headingley,http://statistics.data.gov.uk/id/statistical-geography/E05001427,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Herd Farm Activity Centre,Eccup Reservoir,Harrogate Road,Leeds,LS17 7RJ,53.8749,-1.52959,Activity Centre,Leeds City Council,Alwoodley,http://statistics.data.gov.uk/id/statistical-geography/E05001412,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Holt Park,Holtdale Approach,Holt Park,Leeds,LS16 7RX,53.85479,-1.60954,Leisure Centre,Leeds City Council,Adel and Wharfedale,http://statistics.data.gov.uk/id/statistical-geography/E05001411,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Holt Park,Ralph Thoresby High School,Holtdale Approach,Leeds,LS16 7RX,53.85479,-1.60954,Library,Leeds City Council,Adel and Wharfedale,http://statistics.data.gov.uk/id/statistical-geography/E05001411,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Horsforth,Town Street,Horsforth,Leeds,LS18 5BL,53.83986,-1.63766,Library,Leeds City Council,Horsforth,http://statistics.data.gov.uk/id/statistical-geography/E05001428,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Hunslet,Waterloo Road,Hunslet,Leeds,LS10 2NS,53.7795,-1.52756,Library,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Hunslet Children's Centre,Co Hunslet St Marys Primary School,Church Street,Leeds,LS10 2QY,53.77872,-1.52767,Childrens Centre,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,John Charles,Middleton Grove ,Middleton Park,Leeds,LS11 5DJ,53.76456,-1.54283,Leisure Centre,Leeds City Council,Middleton Park,http://statistics.data.gov.uk/id/statistical-geography/E05001433,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,John Smeaton,Smeaton Approach off Barwick Road,Crossgates,Leeds,LS15 8TA,53.81327,-1.43408,Leisure Centre,Leeds City Council,Cross Gates and Whinmoor,http://statistics.data.gov.uk/id/statistical-geography/E05001421,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Kentmere Children's Centre,Kentmere Avenue,Seacroft,Leeds,LS14 1BN,53.8282,-1.47107,Childrens Centre,Leeds City Council,Killingbeck and Seacroft,http://statistics.data.gov.uk/id/statistical-geography/E05001430,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Kippax,Station Road,Kippax,Leeds,LS25 7LQ,53.76381,-1.37979,Leisure Centre,Leeds City Council,Kippax and Methley,http://statistics.data.gov.uk/id/statistical-geography/E05001431,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Kippax,Westfield Lane,Kippax,Leeds,LS25 7LY,53.76758,-1.37098,Library,Leeds City Council,Kippax and Methley,http://statistics.data.gov.uk/id/statistical-geography/E05001431,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Kirkstall,Kirkstall Lane,Kirkstall,Leeds,LS5 3BE,53.81624,-1.60154,Leisure Centre,Leeds City Council,Kirkstall,http://statistics.data.gov.uk/id/statistical-geography/E05001432,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Leeds City Museum,Millenium Square ,,Leeds,LS2 8BH,53.8014,-1.54874,Museum,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Leeds Town Hall,The Headrow,,Leeds,LS1 3AD,53.8003,-1.5497,Community Centre,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Lineham Farm,Swan lane,Bramhope,Leeds,LS16 8AZ,53.88157,-1.57429,Activity Centre,Leeds City Council,Alwoodley,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Unable to have wifi
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Little London Children's Centre,169a Meanwood Road,Meanwood,Leeds,LS7 1SR,53.80861,-1.54016,Childrens Centre,Leeds City Council,Hyde Park and Woodhouse,http://statistics.data.gov.uk/id/statistical-geography/E05001429,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Little London Community Centre,Oatland Avenue,Little London,Leeds,LS7 1SP,53.80824,-1.54102,Community Centre,Leeds City Council,Hyde Park and Woodhouse,http://statistics.data.gov.uk/id/statistical-geography/E05001429,Unable to have wifi 
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Lofthouse Children's Centre,Longthorpe Lane,Lofthouse,Wakefield,WF3 3PS,53.73216,-1.51092,Childrens Centre,Leeds City Council,Ardsley and Robin Hood,http://statistics.data.gov.uk/id/statistical-geography/E05001413,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Lotherton Hall,Aberford,Harewood,Leeds,LS25 3EB,53.81845,-1.31842,Museum,Leeds City Council,Harewood,http://statistics.data.gov.uk/id/statistical-geography/E05001426,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Meadowfield Children's Centre ,Halton Moore Avenue,Halton ,Leeds,LS9 0JY,53.79437,-1.49045,Childrens Centre,Leeds City Council,Temple Newsam,http://statistics.data.gov.uk/id/statistical-geography/E05001441,Unable to have wifi
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Meanwood Children's Centre,Potternewton View,Meanwood,Leeds,LS7 2DW,53.82418,-1.54755,Childrens Centre,Leeds City Council,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Methley,Saville Road,Methley,Leeds,LS26 9HS,53.73903,-1.39742,Library,Leeds City Council,Kippax and Methley,http://statistics.data.gov.uk/id/statistical-geography/E05001431,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Middleton,Ring Road,Middleton,Leeds,LS10 4AX,53.74721,-1.53752,Leisure Centre,Leeds City Council,Middleton Park,http://statistics.data.gov.uk/id/statistical-geography/E05001433,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Middleton,Saint Georges Centre,St Georges Road,Leeds,LS10 4UZ,53.74775,-1.53253,Library,Leeds City Council,Middleton Park,http://statistics.data.gov.uk/id/statistical-geography/E05001433,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Middleton Children's Centre Over 3's,Middleton Primary School,Middleton Park Avenue,Leeds,LS10 4HU,53.74293,-1.54776,Childrens Centre,Leeds City Council,Middleton Park,http://statistics.data.gov.uk/id/statistical-geography/E05001433,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Middleton Children's Centre Play & Learn,100 Middleton Park Avenue,Middleton,Leeds,LS10 4HY,53.7412,-1.54814,Childrens Centre,Leeds City Council,Middleton Park,http://statistics.data.gov.uk/id/statistical-geography/E05001433,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Millenium Square,Great George Street,,Leeds,LS2 3AD,53.8016,-1.54832,Open Air,Leeds City Council,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Moor Allerton,Moor Allerton Centre,Moor Allerton,Leeds,LS17 5NY,53.84576,-1.54968,Library,Leeds City Council,Alwoodley,http://statistics.data.gov.uk/id/statistical-geography/E05001412,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Morley,Queensway,Morley,Leeds,LS27 9LG,53.74624,-1.60595,Leisure Centre,Leeds City Council,Morley South,http://statistics.data.gov.uk/id/statistical-geography/E05001436,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Morley,Commercial Street,Morley,Leeds,LS27 8HZ,53.74669,-1.60118,Library,Leeds City Council,Morley South,http://statistics.data.gov.uk/id/statistical-geography/E05001436,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Morley,Morley Town Hall,Queen Street,Leeds,LS27 9DY,53.74565,-1.60202,One Stop Centre,Leeds City Council,Morley South,http://statistics.data.gov.uk/id/statistical-geography/E05001436,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Morley Town Hall  (4 rooms @),Queen Street,Morley,Leeds,LS27 9DY,53.74565,-1.60202,Community Centre,Leeds City Council,Morley South,http://statistics.data.gov.uk/id/statistical-geography/E05001436,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,North Seacroft,"Unit 8, Seacroft Green Shopping Centre",Seacroft,Leeds,LS14 6JD,53.8224,-1.46073,One Stop Centre,Leeds City Council,Killingbeck and Seacroft,http://statistics.data.gov.uk/id/statistical-geography/E05001430,LIVE
16/07/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7691,Wireless Technology,Nowell Mount Centre,Nowell Mount,Harehills,Leeds,LS9 6JJ,53.80269,-1.50418,Community Centre,Leeds City Council,Burmantofts and Richmond Hill,http://statistics.data.gov.uk/id/statistical-geography/E05001417,LIVE
