service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
INVFES85,0,0,0,0,0,0,1,20160110,20160630
INVLAB85,1,1,1,1,0,0,0,20160107,20160630
INVSAB85,0,0,0,0,0,1,0,20160109,20160630
INVVIE85,0,0,0,0,1,0,0,20160108,20160630
