LABEL,WARD_NUM,CNSS_YR,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,FOIP_IND,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,SHAPE_AREA,SHAPE_LEN
WARD 3,3,2001,68093,23570,8173,41450,38507,18588,8060,7184,18451,1400,12,1339,2026,16,308,0,3,2,1,0,12,4,1129,378,1974,154,0,270,22,571,31,3,1338,816,4015,25,0,12,7,26,4,0,6,1,68,11,1,1865,982,4933,103,67,17739,16382,56506,301,34471,33622,3340,5336,2112,2416,7738,7100,3636,1599,889,305,3140,5103,2055,2271,7897,6622,3454,1596,1030,454,6480,10439,4167,4687,15635,13722,7090,3195,1919,759,,2634,6847,4768,6975,1135,129040501.06200000000,62188.28800350000
WARD 2,2,2001,67583,22903,5107,43123,34936,19181,6357,5002,17116,1155,0,1816,2429,309,73,0,0,0,1,4,0,9,1713,764,2793,85,0,63,6,108,9,2,1116,792,2858,25,0,300,294,503,9,0,5,0,850,0,1,2362,1582,5433,46,45,16469,15743,55038,249,33630,33953,2005,5386,3136,2524,3935,6247,5918,2363,1448,668,1877,5326,2761,2318,4210,6843,5734,2349,1555,980,3882,10712,5897,4842,8145,13090,11652,4712,3003,1648,,2694,6512,4250,7767,805,52426082.67260000000,34528.63635790000
WARD 1,1,2001,65193,25805,4833,43609,33880,17648,7699,6767,15837,1740,56,4180,2895,478,563,0,13,11,6,17,9,12,3846,649,6654,119,1,490,33,908,41,7,1661,963,4376,58,2,461,428,970,15,4,41,4,1432,10,7,2679,1353,5907,78,64,15289,14218,44946,278,32057,33136,1933,4186,2325,2950,4819,5667,4894,2604,1741,938,1897,4091,2261,3103,4927,5836,4722,2711,2057,1531,3830,8277,4586,6053,9746,11503,9616,5315,3798,2469,,4899,8949,4181,5880,558,51683806.26600000000,39384.00608450000
WARD 5,5,2001,61398,18439,5249,36510,33425,14180,5258,4918,12619,2078,0,719,2370,276,369,1,0,1,1,0,5,1,607,26,968,111,0,296,19,642,46,1,2047,1429,6534,24,0,270,269,479,6,0,3,1,89,5,8,2274,978,6217,86,5,12467,11458,46469,112,30887,30511,1998,4953,2828,2808,4592,5465,4762,1996,1076,409,2073,4813,2642,2504,4539,5569,4606,1910,1211,644,4071,9766,5470,5312,9131,11034,9368,3906,2287,1053,,1769,4351,3557,6523,1764,22865665.20770000000,22045.88050170000
WARD 7,7,2001,59150,29948,2658,42119,31384,14367,5023,6383,14388,1345,223,10004,1607,0,2276,10,42,16,5,0,32,85,9807,1688,14431,302,13,1902,84,2959,279,2,1277,601,2934,51,0,0,0,0,0,0,75,7,2080,28,2,1534,806,2952,49,25,13970,11181,33794,324,29639,29511,1074,2214,1422,2965,6126,5601,4254,2199,2126,1658,1029,2148,1353,2926,5748,4988,3734,2119,2579,2887,2103,4362,2775,5891,11874,10589,7988,4318,4705,4545,,11148,10632,3511,3025,249,24374717.85110000000,33133.22564790000
WARD 6,6,2001,59350,24885,4452,40379,30893,17366,5768,5981,13430,2221,45,4941,3710,3,525,0,0,2,7,0,1,53,4508,1653,7557,183,1,436,23,777,59,7,2100,1291,5074,60,0,2,2,5,1,0,7,0,666,3,11,3520,2431,7402,124,66,12738,11966,37869,211,28825,30525,1792,4037,1927,1873,4071,5643,4402,2083,1796,1201,1697,3878,1748,1869,4303,6208,4367,2253,2215,1987,3489,7915,3675,3742,8374,11851,8769,4336,4011,3188,,5510,8444,3692,5136,529,48123179.12330000000,31324.61803850000
WARD 9,9,2001,55389,23994,4123,37573,30497,13828,6999,7789,13162,1904,20,4041,2503,359,1919,2,50,11,9,2,12,26,3703,867,5967,305,8,1578,119,2689,241,3,1812,941,5309,70,1,338,314,668,20,2,55,15,1027,17,11,2239,953,5543,167,31,12813,10619,34186,274,28409,26980,1586,3343,1607,2125,5389,6195,3820,1870,1491,983,1669,3242,1445,1976,5051,5124,3315,1881,1648,1629,3255,6585,3052,4101,10440,11319,7135,3751,3139,2612,,6145,8032,3780,3966,615,84097556.27390000000,48121.36723720000
WARD 8,8,2001,62920,38709,2116,44151,40110,10088,3425,7607,7335,798,152,26266,1941,0,1982,29,81,13,95,0,17,233,24184,3610,36084,1025,16,1692,64,2529,202,1,762,281,1792,23,0,0,0,0,0,1,218,5,2085,16,10,1860,822,3812,44,45,7016,5306,16618,195,33121,29799,864,1473,1063,3861,10145,6834,4338,2016,1433,1094,841,1441,1203,3923,8543,4990,3534,1822,1739,1763,1705,2914,2266,7784,18688,11824,7872,3838,3172,2857,,17985,12813,2874,1875,185,14939436.99130000000,22889.76741560000
WARD 11,11,2001,64563,27794,3622,46753,34022,17621,6680,6375,14871,2115,173,6473,3441,0,674,6,21,8,9,0,3,74,6098,1236,9080,223,2,580,23,924,73,0,2008,1104,5012,76,0,0,0,0,0,0,34,5,1412,11,0,3295,2125,6877,94,22,14516,13128,41258,220,31431,33132,1415,3900,2254,2396,4482,5293,4837,2857,2324,1673,1381,3780,2084,2238,4321,5543,4918,3053,2743,3071,2796,7680,4338,4634,8803,10836,9755,5910,5067,4744,,7335,9784,3783,5147,482,37708739.09730000000,31464.46065070000
WARD 12,12,2001,65371,24482,5958,44552,36672,20000,8434,6793,18835,346,23,3383,1660,147,68,0,0,15,1,0,4,10,3138,803,5266,255,0,57,9,99,4,0,340,292,718,6,1,144,133,306,2,0,17,1,151,3,6,1519,1133,3377,28,49,18470,17629,55454,143,32628,32743,2293,5006,2057,1790,4930,7032,4785,2362,1634,739,2331,4732,1920,1675,5313,7045,4346,2468,1820,1093,4624,9738,3977,3465,10243,14077,9131,4830,3454,1832,,3918,8119,4513,6562,573,102453933.29600000000,59334.72781530000
WARD 14,14,2001,56069,18287,4087,36754,30223,15664,7695,5432,14472,1171,67,799,1735,0,37,0,0,1,4,0,1,4,718,287,1109,74,0,33,2,58,4,2,1141,892,3118,20,0,0,0,0,0,0,3,0,214,0,9,1679,862,4109,47,18,14289,13621,47461,104,28056,28013,1565,5238,2766,1809,2662,5207,5011,2304,1056,438,1463,4933,2535,1569,2909,5848,4838,2138,1077,703,3028,10171,5301,3378,5571,11055,9849,4442,2133,1141,,1812,5118,3474,6748,711,33956239.91130000000,27606.23564760000
WARD 4,4,2001,72419,28328,5216,49239,39379,18375,7694,7902,16540,3195,81,2519,4194,310,1468,3,8,6,1,0,3,1,2501,323,3727,97,4,1236,58,2047,180,6,3134,1605,8476,48,0,302,288,575,7,2,16,2,350,3,2,4072,1748,10290,115,23,16285,14351,46954,202,35961,36458,2022,4969,2430,2783,5858,7173,5016,2477,2032,1201,1990,4835,2302,2673,5701,7163,4895,2584,2488,1827,4012,9804,4732,5456,11559,14336,9911,5061,4520,3028,,6098,9173,5098,6414,763,39588576.11710000000,30262.97709530000
WARD 10,10,2001,58432,19747,5195,36287,31054,12906,6017,5799,11191,1912,22,1455,3225,811,1119,0,2,5,1,3,1,3,1399,248,2567,41,0,910,60,1943,116,3,1867,1050,6082,37,0,789,597,1868,21,1,8,0,272,3,2,3133,1403,9249,77,8,11065,9548,36451,108,30270,28162,2029,4330,2201,2538,5228,6002,3927,2210,1282,523,1989,4094,2060,2150,4749,5149,3601,2134,1417,819,4018,8424,4261,4688,9977,11151,7528,4344,2699,1342,,2712,5769,3980,5433,1277,21197883.50140000000,22164.09227890000
