COMMUNITY9,COMMUNIT_1,CLASS,CLASS_CODE,COMM_CODE,NAME,ID,CNSS_YR,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,FOIP_IND,OBJECTID,SHAPE_AREA,SHAPE_LEN
130,129,Residential,1,EAU,EAU CLAIRE,130,1999,1112,918,53,618,392,1,0,0,893,23,0,0,0,0,2,0,0,1,0,670,382,1070,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,20,10,30,3,0,1,0,2,0,561,551,18,26,10,19,86,101,148,88,51,14,28,14,7,27,100,79,110,74,72,40,46,40,17,46,186,180,258,162,123,54,356,283,36,16,2,,129,516128.40307600000,3222.41055404000
132,131,Residential,1,APP,APPLEWOOD PARK,132,1999,4927,1381,635,2735,1252,1304,22,0,0,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,22,19,74,0,0,0,0,0,0,0,0,0,0,0,0,53,0,191,0,0,1288,1233,4659,10,2514,2413,251,396,201,155,488,545,294,121,47,16,250,400,150,153,518,510,243,111,56,22,501,796,351,308,1006,1055,537,232,103,38,71,303,292,543,155,,131,1566408.52850000000,5555.24056841000
133,132,Residential,1,SPR,SPRUCE CLIFF,133,1999,3064,1431,271,1362,448,324,84,0,849,124,0,49,0,0,1,0,0,1,3,740,115,1296,105,1,38,3,59,6,0,82,31,224,2,0,0,0,0,0,0,2,0,246,0,0,115,22,463,9,3,316,277,776,3,1397,1667,110,191,63,120,255,269,150,84,66,89,99,168,92,115,278,237,167,110,129,272,209,359,155,235,533,506,317,194,195,361,508,396,180,172,37,,132,1081195.87532000000,4697.20003339000
135,134,Residential,1,PEN,PENBROOKE MEADOWS,135,1999,9424,2915,944,4879,2001,1613,382,1,77,681,0,165,0,0,0,0,0,0,0,61,1,151,17,0,125,15,286,18,0,375,231,1346,7,0,0,0,0,0,0,0,0,0,0,0,658,378,2145,23,1,1586,1376,5496,26,4893,4531,378,732,357,405,915,970,558,330,195,53,373,685,366,364,792,820,533,326,205,67,751,1417,723,769,1707,1790,1091,656,400,120,275,740,586,932,272,,134,2045530.64722000000,5891.18692864000
137,136,Residential,1,FHT,FOREST HEIGHTS,137,1999,6802,2085,627,3330,1432,930,479,0,30,572,0,77,0,0,1,0,0,0,0,30,0,39,0,0,66,6,151,4,0,472,296,1656,7,0,0,0,0,0,0,1,0,239,0,0,564,308,1671,8,1,921,822,3046,7,3432,3370,262,501,267,244,559,716,394,208,188,93,249,477,228,233,603,540,350,246,221,223,511,978,495,477,1162,1256,744,454,409,316,256,579,414,627,178,,136,1502394.71010000000,5191.93703611000
139,138,Residential,1,WGT,WESTGATE,139,1999,3422,1359,216,1720,975,922,56,0,165,192,0,25,0,0,0,0,0,0,2,154,18,266,9,0,17,1,30,7,0,56,27,144,0,0,0,0,0,0,0,0,0,0,0,0,192,57,512,0,0,918,872,2470,3,1625,1797,63,226,116,96,201,338,205,123,169,88,90,220,104,102,210,356,242,167,186,120,153,446,220,198,411,694,447,290,355,208,275,510,218,311,23,,138,1150955.37980000000,4551.65739338000
143,142,Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,143,1999,6490,4750,97,4094,192,5,0,0,4700,20,0,1,0,13,56,0,2,10,63,4227,178,6168,164,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,0,282,12,0,18,14,30,2,1,4,0,8,0,3683,2807,38,42,49,469,1225,764,472,282,220,122,33,38,70,375,870,474,304,217,250,176,71,80,119,844,2095,1238,776,499,470,298,2668,1311,205,72,6,,142,1328196.32605000000,5320.32679637000
144,143,Residential,1,RCK,ROSSCARROCK,144,1999,3375,1550,223,1859,455,451,405,0,370,91,0,235,0,0,0,0,0,0,0,364,4,637,6,0,202,7,353,23,0,391,135,1070,12,0,0,0,0,0,0,0,0,0,0,0,88,5,222,3,2,438,304,1093,8,1663,1712,83,179,91,196,346,362,175,74,98,59,96,191,103,194,335,337,174,93,107,82,179,370,194,390,681,699,349,167,205,141,457,513,281,212,20,,143,1062185.38742000000,4400.46149522000
146,145,Residential,1,RED,RED CARPET,146,1999,1269,517,82,698,369,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,369,1269,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,615,34,68,45,28,110,136,105,63,52,13,30,76,28,39,106,118,78,64,59,17,64,144,73,67,216,254,183,127,111,30,93,209,110,85,11,,145,556481.53217500000,3605.85461473000
147,146,Residential,1,SSW,SCARBORO/ SUNALTA WEST,147,1999,420,164,36,197,159,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,159,420,0,205,215,18,17,12,5,16,38,41,14,23,21,12,21,14,10,17,48,29,12,30,22,30,38,26,15,33,86,70,26,53,43,34,63,30,31,6,,146,352729.12930100000,2632.34079648000
148,147,Residential,1,CHR,CHRISTIE PARK,148,1999,2193,830,188,1013,695,476,94,0,0,155,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,92,182,0,0,0,0,0,0,0,87,0,91,18,0,146,146,258,9,0,472,457,1662,3,1059,1134,71,213,73,47,57,221,208,86,50,33,63,197,66,42,74,273,194,82,56,87,134,410,139,89,131,494,402,168,106,120,185,245,89,256,24,,147,814916.97575000000,4749.80002464000
150,149,Residential,1,ING,INGLEWOOD,150,1999,2949,1545,175,1825,808,802,112,0,272,175,0,188,1,19,2,0,0,1,0,240,51,298,14,1,153,20,242,16,0,110,58,244,1,0,0,0,0,0,0,13,7,72,1,0,141,72,373,3,3,767,600,1720,24,1558,1391,65,118,58,91,373,399,206,116,85,47,65,130,46,109,321,308,165,86,81,80,130,248,104,200,694,707,371,202,166,127,537,529,192,145,21,,149,2497530.42252000000,9655.59508327000
151,150,Residential,1,CON,CONNAUGHT,151,1999,12507,7879,373,8617,1330,100,6,0,7503,199,0,83,10,20,1,1,0,3,20,7119,1197,11615,249,4,64,0,101,3,0,6,3,13,0,0,0,0,0,0,0,24,3,273,2,2,192,111,325,4,10,77,16,180,2,6610,5897,124,220,208,826,2246,1334,734,342,293,283,167,201,204,887,1810,925,607,352,404,340,291,421,412,1713,4056,2259,1341,694,697,623,3885,2712,589,278,18,,150,1213888.94837000000,4746.94779306000
152,151,Residential,1,VIC,VICTORIA PARK,152,1999,5545,3077,124,2819,457,152,9,47,2622,55,0,153,1,1,67,0,0,7,20,2544,420,3816,72,2,135,0,185,7,0,8,2,14,1,0,0,0,0,0,0,54,1,1179,5,6,14,0,53,0,10,121,34,298,10,3179,2366,49,165,162,405,919,644,387,181,172,95,57,134,247,354,586,348,223,112,148,157,106,299,409,759,1505,992,610,293,320,252,1755,797,207,89,28,,151,1730558.60726000000,6364.76832624000
155,154,Residential,1,SIG,SIGNAL HILL,155,1999,10423,4074,1080,5186,3634,2628,257,0,847,344,0,2,0,0,0,1,0,0,2,768,710,1094,23,0,1,0,2,0,1,244,238,486,2,0,0,0,0,0,0,0,0,0,0,0,298,222,585,2,15,2527,2464,8256,33,4983,5440,427,689,301,230,566,1114,779,368,311,198,454,699,323,206,709,1217,721,390,407,314,881,1388,624,436,1275,2331,1500,758,718,512,737,1317,603,1072,109,,154,5549001.35657000000,10625.64958150000
157,156,Residential,1,GDL,GLENDALE,157,1999,2866,1100,200,1324,911,960,0,0,108,24,0,8,0,0,0,0,0,0,0,108,0,165,0,1,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,40,0,0,952,888,2650,5,1430,1436,81,212,100,81,160,298,200,84,133,81,74,202,83,69,147,300,184,111,156,110,155,414,183,150,307,598,384,195,289,191,243,383,166,263,35,,156,1363694.57065000000,5283.55304776000
160,159,Residential,1,BNK,BANKVIEW,160,1999,5173,3346,212,3824,612,545,63,1,2354,156,0,230,0,6,0,0,0,0,3,2239,179,3406,98,3,196,13,318,22,0,61,16,120,2,0,0,0,0,0,0,4,1,5,0,0,141,75,237,15,2,524,328,1087,13,2719,2454,87,72,64,389,1052,607,252,98,72,26,91,79,79,456,897,424,207,90,71,60,178,151,143,845,1949,1031,459,188,143,86,1637,1181,240,105,2,,159,686622.67282600000,3414.58152341000
161,160,Residual Sub Area,4,09E,09E,161,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,160,9662552.07672000000,13122.35319850000
162,161,Industrial,2,FLI,FOREST LAWN INDUSTRIAL,162,1999,117,62,4,64,60,0,0,0,0,0,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,115,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,74,43,2,7,0,3,10,14,13,12,10,3,1,6,0,3,9,6,6,8,4,0,3,13,0,6,19,20,19,20,14,3,22,28,6,5,0,,161,1539029.35315000000,7472.83326905000
163,162,Residential,1,LMR,LOWER MOUNT ROYAL,163,1999,3110,2162,26,2377,308,94,16,0,1907,82,0,73,0,0,0,1,0,0,10,1840,191,2530,42,1,58,3,77,3,0,14,12,34,2,0,0,0,0,0,0,1,0,121,0,0,82,66,167,0,2,88,36,181,3,1631,1479,16,9,22,185,695,321,168,85,79,51,8,10,38,258,552,212,142,93,90,76,24,19,60,443,1247,533,310,178,169,127,1302,673,88,19,1,,162,282635.68147500000,2856.44783383000
164,163,Residential,1,CLI,CLIFF BUNGALOW,164,1999,2028,1346,40,1448,218,178,12,0,954,18,0,185,0,2,0,1,0,0,3,929,126,1350,12,0,171,7,244,6,0,12,1,16,0,0,0,0,0,0,0,3,1,56,0,0,18,6,30,0,3,164,77,332,6,983,1045,18,16,17,83,415,219,93,61,48,13,19,24,15,146,385,192,99,57,71,37,37,40,32,229,800,411,192,118,119,50,719,495,63,19,1,,163,362781.48900100000,2943.94359876000
166,165,Industrial,2,AYB,ALYTH/BONNYBROOK,166,1999,27,17,2,15,8,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,10,8,23,4,15,12,1,0,1,0,3,5,4,0,0,1,1,2,0,0,3,3,2,0,0,1,2,2,1,0,6,8,6,0,0,2,3,5,2,2,0,,165,3907658.41384000000,11199.86001220000
167,166,Residential,1,SOV,SOUTHVIEW,167,1999,2246,885,206,956,507,586,24,0,158,46,0,79,0,0,0,1,0,0,1,150,1,362,7,0,64,3,114,3,0,24,9,67,0,0,0,0,0,0,0,1,0,57,0,0,45,1,138,1,0,576,493,1508,9,1162,1084,85,140,64,67,166,238,143,94,102,63,72,127,59,76,140,189,117,96,108,100,157,267,123,143,306,427,260,190,210,163,175,328,162,173,22,,166,1591841.32522000000,5837.96174757000
171,170,Residential,1,GBK,GLENBROOK,171,1999,7038,3029,552,3891,1585,920,649,0,625,707,0,135,0,0,0,0,0,0,1,580,122,947,43,0,121,5,229,7,2,630,253,1748,12,0,0,0,0,0,0,0,0,0,0,0,694,398,1618,13,0,908,807,2496,9,3403,3635,226,476,233,313,648,697,366,170,189,85,229,429,183,335,725,718,376,231,249,160,455,905,416,648,1373,1415,742,401,438,245,782,1080,482,528,61,,170,1947218.72132000000,5963.40699143000
173,172,Residential,1,SOC,SOUTH CALGARY,173,1999,3476,1847,165,2448,679,755,84,93,565,178,0,170,0,10,2,0,0,0,0,638,67,1056,16,2,147,12,220,12,0,83,33,197,1,0,0,0,0,0,0,12,0,84,0,0,166,41,312,11,1,731,526,1607,16,1839,1637,64,99,67,246,581,412,210,70,43,47,79,102,67,226,450,309,186,74,69,75,143,201,134,472,1031,721,396,144,112,122,696,711,237,119,14,,172,885464.38847500000,4859.48837149000
174,173,Industrial,2,HIF,HIGHFIELD,174,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,173,2736421.36945000000,7657.73574132000
134,133,Residential,1,STR,STRATHCONA PARK,134,1999,5586,1875,549,2748,1671,1483,181,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,161,424,3,0,0,0,0,0,0,0,0,0,0,0,202,137,413,3,6,1427,1373,4749,8,2788,2798,207,611,218,108,219,597,509,165,107,47,204,520,183,89,276,737,462,131,130,66,411,1131,401,197,495,1334,971,296,237,113,154,574,355,667,56,,133,2735106.24713000000,9076.76255029000
