Year,Month,Lane KMs Completed - North,Lane KMs Completed - South,Lane KMs Completed - Central,Total Hectares of blvds mowed,Planned Hectares of blvds mowed, # potholes repaired
2015,6,96,0,0,1043,0,1230
2015,7,278,394,13,1043,0,2405
2015,8,270,291,12,1043,0,1850
2015,9,63,237,0,1043,0,1993
2015,10,189,0,0,1043,5215,789
2016,5,221.5,10,0,1043,0,874
2016,6,513.9,253.3,0,1043,0,1230
2016,7,320.65,123.2,6.07,1043,0,1523
2016,8,564.43,255.7,11.18,1043,0,1883
