CLASS,CLASS_CODE,COMM_CODE,NAME,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OBJECTID,SHAPE_AREA,SHAPE_LEN
Residual Sub Area,4,06B,06B,2002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,720718.24225000000,3989.06458460000
Residential,1,MOP,MOUNT PLEASANT,2002,,4879,2432,297,0,1371,1639,218,3,62,86,0,421,0,2,1,0,0,0,0,0,62,0,95,0,0,0,0,358,16,515,51,1,11,0,201,98,466,9,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,1,5,1,0,0,0,86,68,128,0,0,0,0,1602,1188,3667,33,4,0,3,794,921,305,264,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1864783.51720000000,5993.04940022000
Industrial,2,SAW,SOUTH AIRWAYS,2002,Y,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1891624.85173000000,8021.63594177000
Residential,1,CAP,CAPITOL HILL,2002,,4067,2120,155,0,777,957,339,5,433,20,0,364,0,0,0,1,0,1,0,0,421,0,616,12,0,0,0,328,18,529,34,1,1,0,330,138,783,9,0,0,0,0,0,0,0,0,0,0,5,2,12,0,0,0,0,1,0,56,1,0,0,0,20,4,41,0,0,0,1,941,615,2030,11,2,2,2,793,804,277,158,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1418468.05905000000,6600.25679831000
Residential,1,HIL,HILLHURST,2002,,5345,2767,305,0,1077,1075,132,89,1182,99,0,175,2,8,3,1,0,1,0,1,1153,180,1964,28,0,0,1,156,8,256,15,0,3,0,124,90,296,5,3,0,0,0,0,0,0,0,0,0,88,4,119,1,0,0,1,7,2,84,2,5,0,0,98,34,194,1,0,0,3,1036,759,2432,27,9,0,15,964,1129,273,284,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2068745.04162000000,6748.87945391000
Residential,1,PKD,PARKDALE,2002,,1790,1071,88,0,457,554,56,20,275,9,0,155,0,0,1,1,0,0,0,0,97,43,120,3,175,0,0,132,4,202,23,0,0,0,51,30,114,2,3,0,0,0,0,0,0,0,0,0,19,0,29,1,0,0,0,1,0,74,0,1,0,0,9,0,18,0,0,0,1,535,380,1233,12,6,0,2,308,323,112,96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1050282.91698000000,5241.72430908000
Residential,1,POI,POINT MCKAY,2002,,1362,846,31,0,656,0,24,0,312,510,0,0,0,0,0,0,0,0,0,3,288,230,431,21,0,0,0,0,0,0,0,0,0,0,23,21,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,405,885,7,0,0,0,0,0,0,0,0,0,0,365,370,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,383979.31790000000,2504.70488966000
Industrial,2,MLI,MAYLAND,2002,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1227169.43778000000,5751.40021357000
Residential,1,BRD,BRIDGELAND/RIVERSIDE,2002,,4837,2413,252,0,859,938,72,1,963,145,0,275,0,9,2,6,0,2,0,0,940,171,1466,23,0,0,0,236,17,369,36,0,3,0,71,23,154,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,13,1,751,4,0,1,0,138,30,195,7,0,0,4,899,617,1901,35,0,0,19,1081,812,244,143,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,3051293.09225000000,8398.21997176000
Residential,1,APP,APPLEWOOD PARK,2002,,5407,1455,582,0,1307,1369,21,0,0,53,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,35,0,0,0,0,21,18,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,178,5,0,0,0,1365,1288,5125,4,0,0,0,80,299,276,601,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1566408.52850000000,5555.24056841000
