LABEL,WARD_NUM,ALDERMAN,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 8,8,JOHN MAR,2013,,81883,50918,3253,43436,0,16859,0,0,8993,2321,216,34794,2417,0,2039,13,79,13,9,2,22,0,541,31222,8172,47847,1660,1268,103,15,1618,99,2491,262,5,139,8,2040,1156,4847,155,113,5,0,0,0,0,0,0,0,1,198,36,310,17,0,0,6,94,11,1390,34,0,4,8,2149,1037,4402,117,70,73,43,8388,6348,20596,417,119,26,138,22253,16089,4110,2956,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20957524.59,29499.16247
WARD 1,1,DALE HODGES,2013,,85771,34039,6168,52529,0,23802,0,0,21205,2149,63,5497,3810,499,765,6,8,9,6,13,9,0,16,5193,1323,9001,171,117,0,2,642,60,1138,76,1,44,2,2052,1187,4868,66,24,5,1,480,416,945,16,0,2,0,58,10,90,5,0,0,1,43,1,1712,7,0,0,1,3636,1999,7565,166,6,1,20,20751,18806,60452,332,94,8,51,7341,11541,5502,7757,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58704326.2,55609.16679
WARD 4,4,GAEL MACLEOD,2013,,85683,33009,5158,53792,0,22908,0,0,21578,2842,55,2483,4624,126,1292,0,4,3,1,0,1,0,8,2211,632,3482,166,91,7,8,1016,77,1804,141,1,126,4,2767,1453,7217,59,6,6,0,123,111,231,3,0,0,0,51,3,101,4,0,0,2,6,0,145,0,0,1,5,4490,2197,10907,126,1,2,8,21191,18435,61796,339,19,21,9,6125,10952,6102,7661,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44431128.38,38367.88449
WARD 12,12,SHANE KEATING,2013,,86390,32827,9853,51996,0,26510,0,0,24913,1660,13,2477,3630,11,37,0,0,81,3,0,2,0,14,1812,1206,3078,98,552,1,0,35,5,66,1,0,1,19,1542,1272,3664,28,71,0,3,8,2,14,0,0,0,0,13,6,30,0,0,0,1,72,5,382,11,2,0,35,3067,2249,6282,148,380,0,95,23723,21765,72874,308,775,12,86,4256,10146,6088,8852,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124581210.3,56230.60524
WARD 7,7,DRUH FARRELL,2013,,79470,40034,3719,45473,0,18626,0,0,17417,3136,303,13653,2629,2,2755,4,82,14,8,2,29,0,265,12315,2931,18135,661,198,214,11,2234,89,3536,259,6,245,5,2886,1643,7118,116,121,8,2,0,0,0,0,0,0,0,294,18,423,8,0,0,8,101,27,3402,26,0,4,5,2514,1215,5286,94,15,1,67,16617,12703,41570,538,173,22,139,13932,13361,4680,4577,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30868363.09,36597.31573
WARD 2,2,GORD LOWE,2013,,78341,27731,6193,45226,0,22770,0,0,21255,988,119,2260,2682,309,112,0,0,1,1,4,0,0,7,1935,1139,3325,117,201,0,0,99,17,185,8,0,5,8,898,769,1992,31,51,0,0,300,295,486,8,0,1,1,54,49,118,4,60,60,0,6,0,1255,0,0,0,10,2526,1685,5804,46,98,2,74,20386,18816,65176,309,474,12,6,3589,8240,5238,8067,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69004818.6,40405.14031
WARD 14,14,PETER DEMONG,2013,,74491,27765,4879,49405,0,22682,0,0,20856,1611,18,2315,2816,4,131,3,0,2,5,0,4,0,19,2115,936,3252,64,117,0,0,115,10,188,8,0,8,11,1547,1242,3793,32,21,0,1,3,3,5,0,0,0,0,18,1,52,0,0,0,0,13,2,943,1,0,0,8,2675,1637,5977,49,83,1,54,20385,18851,60281,269,142,6,14,4458,9590,4948,7117,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68796101.66,45902.49603
WARD 3,3,JIM STEVENSON,2013,,87914,28184,9375,43144,0,21877,0,0,20348,1469,96,3131,2383,5,741,0,1,1,2,2,5,0,9,2824,1720,5123,150,147,1,3,611,40,1676,90,0,37,13,1380,1110,3746,21,55,0,1,3,2,5,0,0,1,0,95,32,189,0,0,0,2,5,1,205,4,0,0,8,1971,1336,4831,52,351,1,50,19688,17636,72139,289,314,7,11,3419,6388,5042,9257,2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119325470.2,59438.93016
WARD 5,5,RAY JONES,2013,,94430,30173,7656,48306,0,19419,0,0,19933,2920,1,1421,3572,301,2001,2,1,1,3,1,16,0,1,1378,332,2554,42,0,0,23,1538,173,3721,211,1,228,0,2846,1664,8732,71,1,2,0,296,281,523,5,0,0,0,1,1,2,0,0,0,1,15,2,408,8,0,0,6,3450,1428,9886,98,0,18,7,19557,15538,68604,350,5,14,24,3961,7887,5595,8763,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37269937.33,29850.88038
WARD 9,9,GIAN-CARLO CARRA,2013,,74760,35916,3754,44731,0,19754,0,0,17766,2868,36,8939,3216,463,2504,3,72,19,9,4,17,0,60,8156,2295,13151,429,287,7,29,1990,124,3034,310,6,169,3,2726,1484,6939,97,37,5,0,408,371,691,12,0,43,0,34,13,64,2,0,0,13,95,13,2151,13,0,3,12,3080,1903,6714,85,10,29,49,17146,13551,42016,442,98,31,124,11512,12312,4883,4318,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84167906.98,55960.72312
