LABEL,WARD_NUM,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,EMPLYD_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
WARD 3,3,2005,,83082,29275,9725,0,23145,22608,1696,13,2191,2238,14,497,0,3,2,2,0,11,0,5,1993,1139,3194,116,77,0,0,426,36,860,54,0,17,2,1566,1017,4492,98,29,1,1,10,4,18,3,0,0,0,12,1,24,1,0,0,0,9,1,205,9,0,0,4,2008,1145,5142,126,100,0,75,21532,19802,69147,446,553,2,18,3737,8428,5708,8133,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124734922.26600000000,62045.44508440000
WARD 2,2,2005,,75513,25827,5176,0,22182,19082,1198,0,2336,2802,309,95,0,0,0,2,3,0,0,4,2262,1299,3667,70,0,0,0,87,10,159,6,0,2,2,1159,833,2835,27,9,1,0,302,295,517,7,0,0,0,0,0,0,0,0,0,0,5,0,1085,0,0,0,0,2723,1908,6126,79,0,0,21,18697,17837,61124,172,188,4,5,3414,7755,4929,8281,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52464879.73020000000,34416.44054090000
WARD 4,4,2005,,72393,28243,5418,0,19771,17903,2868,67,1904,4192,126,1176,0,3,3,0,0,1,0,5,1777,341,2639,122,0,0,5,948,50,1532,182,0,41,3,2752,1511,7139,108,4,1,0,126,119,234,0,0,0,0,58,5,102,9,0,0,0,6,1,17,0,0,1,4,3979,1895,9450,209,0,0,9,17573,15849,51280,311,5,5,7,5502,9106,5214,6688,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39175957.23710000000,33842.09372240000
WARD 1,1,2005,,80097,33061,6568,0,23655,21072,1932,60,4887,3964,502,591,2,10,14,5,13,9,0,17,4292,1181,7085,300,277,1,0,502,48,883,68,0,21,11,1805,1079,4428,96,19,1,0,461,432,956,34,0,7,0,51,7,77,1,8,8,0,45,0,1449,8,0,0,14,3612,2243,7449,178,160,0,80,19991,18665,57770,397,600,4,53,6354,11516,5295,6989,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53293660.31060000000,44154.32010050000
WARD 5,5,2005,,59814,19095,5008,0,14408,12719,2078,0,989,2458,277,561,2,0,1,2,0,8,0,1,963,331,1521,25,0,0,2,454,25,939,101,0,4,1,2004,1357,5999,73,0,0,0,270,265,488,6,0,1,0,0,0,0,0,0,0,0,5,1,251,7,1,0,3,2360,1166,6252,95,0,0,2,12465,11263,44364,251,0,1,13,2318,5110,3662,5846,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22865665.13780000000,22045.88059970000
WARD 7,7,2005,,60632,31308,2669,0,14883,14219,1709,241,11013,1676,0,2341,7,50,11,8,0,33,0,223,10137,2354,15016,578,67,8,4,1922,65,2949,361,2,52,2,1540,854,3555,106,60,1,0,0,0,0,0,0,0,0,234,21,362,7,0,0,2,80,6,2841,27,0,0,3,1583,919,2983,87,3,0,32,13608,10664,32926,483,94,2,109,11404,10961,3437,3080,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373302.86970000000,33197.45215810000
WARD 9,9,2005,,60677,29321,3986,0,16257,15191,2472,33,5245,3140,546,2600,3,53,14,10,1,13,0,9,4581,1346,6980,346,308,1,5,2033,124,3294,463,1,98,4,2313,1192,6245,127,23,5,0,513,496,938,33,0,0,0,32,10,56,1,0,0,2,74,25,1465,17,1,0,4,2715,1446,6140,326,74,21,50,14398,11618,35559,690,44,9,94,8454,9967,4091,3644,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88886676.39280000000,53131.08060170000
WARD 6,6,2005,,73882,31417,5976,0,22953,17919,2687,46,6024,4154,2,575,0,0,3,7,0,0,0,17,4876,2147,7749,513,613,5,2,477,42,841,81,1,14,7,2545,1751,5813,97,35,3,0,1,0,2,1,0,0,0,44,1,117,2,0,0,2,8,0,675,0,0,0,8,3969,2887,8137,121,56,0,44,17069,16125,50548,325,480,1,10,6894,10190,4744,6546,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47397671.63550000000,31343.25943820000
WARD 10,10,2005,,56231,20877,4744,0,13025,11191,1938,26,2115,3323,824,1437,1,11,5,1,3,2,0,3,1950,555,3509,114,48,0,2,1107,62,2171,267,0,61,0,1840,1042,5539,97,0,1,1,797,596,1771,26,0,0,0,22,8,42,4,0,0,0,21,8,328,2,0,0,2,3053,1511,8842,239,29,0,7,10934,9243,34029,245,3,2,23,3365,6577,3940,4820,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21197881.14580000000,22163.89889980000
WARD 8,8,2005,,63649,40639,2170,0,12759,7154,971,175,28046,2229,0,1908,31,86,14,8,0,17,0,235,25067,5799,37780,1828,913,3,17,1538,80,2352,298,10,45,4,861,407,1955,63,42,1,0,0,0,0,0,0,0,1,153,9,251,17,4,4,1,97,15,1214,57,1,0,18,2101,1347,4110,98,11,1,56,6720,5102,15987,306,66,6,156,18210,13224,3063,1889,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14940745.25090000000,22991.49417680000
WARD 11,11,2005,,64667,29592,3503,0,19124,14822,2254,200,7735,3864,0,674,2,16,10,9,0,6,0,95,6882,2207,10288,415,343,0,5,558,27,902,85,0,26,6,2130,1281,5038,82,35,1,0,0,0,0,0,0,0,0,192,10,334,4,4,4,1,37,4,1317,5,0,0,4,3605,2435,7336,168,87,0,24,14312,13160,39452,384,99,3,43,8331,10293,3911,4791,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37708740.61170000000,31464.46046730000
WARD 12,12,2005,,76141,30134,6616,0,24399,23061,587,71,3930,2232,143,86,0,0,17,3,0,4,0,58,3445,1061,5604,295,131,1,0,75,10,127,11,0,0,8,504,447,1046,21,54,0,0,139,127,262,4,0,0,1,62,53,98,8,0,0,0,18,1,465,6,0,0,5,2009,1608,4191,73,145,0,98,22111,21092,64348,334,518,0,24,5143,10126,5302,7176,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102347960.98800000000,59463.00325940000
WARD 14,14,2005,,57267,19663,3885,0,16818,15367,1210,0,1291,1745,0,43,0,0,1,4,0,2,0,1,1224,698,1846,66,0,0,0,38,4,69,5,0,0,0,1187,939,2999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,584,2,0,0,0,1662,857,3915,83,0,0,12,15077,14319,47854,187,91,0,7,2412,6065,3758,6384,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33952811.45320000000,27789.79844770000
WARD 13,13,2005,,71953,27282,5699,0,22442,19772,1196,33,2706,3415,4,149,1,0,2,2,1,1,0,10,2369,1535,3950,197,130,0,0,138,12,249,11,0,0,14,1066,754,2495,41,75,0,0,3,1,6,1,0,0,0,30,19,38,3,0,0,1,5,1,200,1,0,0,5,3169,2019,6877,152,89,0,70,19088,18101,58138,205,408,1,7,4090,8751,5296,7062,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59300137.61960000000,42055.12448400000
