IssuedYear,IssuedDate,Issued Within 21 Days,Completed Online,Permit Count,Issued Within 21 Days YTD,Completed Online YTD,Permit Count YTD
2008,2008-03-20,14,0,14,641,0,672
2008,2008-03-24,10,0,11,651,0,683
2008,2008-03-25,20,0,20,671,0,703
2008,2008-03-26,18,0,18,689,0,721
2008,2008-03-27,16,0,17,705,0,738
2008,2008-03-28,17,0,18,722,0,756
2008,2008-03-31,5,0,6,727,0,762
2008,2008-04-01,20,0,20,747,0,782
2008,2008-04-02,18,0,18,765,0,800
2008,2008-04-03,15,0,15,780,0,815
2008,2008-04-04,3,0,7,783,0,822
2008,2008-04-07,11,0,11,794,0,833
2008,2008-04-08,2,0,2,796,0,835
2008,2008-04-10,8,0,9,804,0,844
2008,2008-04-11,9,0,10,813,0,854
2008,2008-04-14,11,0,12,824,0,866
2008,2008-04-15,18,0,21,842,0,887
2008,2008-04-16,19,0,21,861,0,908
2008,2008-04-17,17,0,18,878,0,926
2008,2008-04-18,9,0,11,887,0,937
2008,2008-04-21,17,0,17,904,0,954
2008,2008-04-22,15,0,16,919,0,970
2008,2008-04-23,10,0,11,929,0,981
2008,2008-04-24,9,0,12,938,0,993
2008,2008-04-25,16,0,18,954,0,1011
2008,2008-04-28,17,0,19,971,0,1030
2008,2008-04-29,21,0,27,992,0,1057
2008,2008-04-30,26,0,33,1018,0,1090
2008,2008-05-01,17,0,18,1035,0,1108
2008,2008-05-02,6,0,8,1041,0,1116
2008,2008-05-05,18,0,20,1059,0,1136
2008,2008-05-06,28,0,33,1087,0,1169
2008,2008-05-07,19,0,19,1106,0,1188
2008,2008-05-08,14,0,14,1120,0,1202
2008,2008-05-09,19,0,21,1139,0,1223
2008,2008-05-12,19,0,22,1158,0,1245
2008,2008-05-13,22,0,24,1180,0,1269
2008,2008-05-14,31,0,34,1211,0,1303
2008,2008-05-15,19,0,25,1230,0,1328
2008,2008-05-16,13,0,16,1243,0,1344
2008,2008-05-20,18,0,20,1261,0,1364
2008,2008-05-21,17,0,18,1278,0,1382
2008,2008-05-22,16,0,16,1294,0,1398
2008,2008-05-23,15,0,16,1309,0,1414
2008,2008-05-26,13,0,13,1322,0,1427
2008,2008-05-27,13,0,18,1335,0,1445
2008,2008-05-28,5,0,5,1340,0,1450
2008,2008-05-29,2,0,2,1342,0,1452
2008,2008-06-02,5,0,6,1347,0,1458
2008,2008-06-03,6,0,10,1353,0,1468
2008,2008-06-04,7,0,19,1360,0,1487
2008,2008-06-05,16,0,23,1376,0,1510
2008,2008-06-06,5,0,16,1381,0,1526
2008,2008-06-09,6,0,11,1387,0,1537
2008,2008-06-10,19,0,21,1406,0,1558
2008,2008-06-11,19,0,23,1425,0,1581
2008,2008-06-12,16,0,23,1441,0,1604
2008,2008-06-13,11,0,11,1452,0,1615
2008,2008-06-16,9,0,16,1461,0,1631
2008,2008-06-17,22,0,30,1483,0,1661
2008,2008-06-18,17,0,25,1500,0,1686
2008,2008-06-19,22,0,33,1522,0,1719
2008,2008-06-20,24,0,30,1546,0,1749
2008,2008-06-23,11,0,15,1557,0,1764
2008,2008-06-24,20,0,27,1577,0,1791
2008,2008-06-25,25,0,30,1602,0,1821
2008,2008-06-26,24,0,31,1626,0,1852
2008,2008-06-27,15,0,18,1641,0,1870
2008,2008-06-30,9,0,10,1650,0,1880
2008,2008-07-02,23,0,27,1673,0,1907
2008,2008-07-03,18,0,21,1691,0,1928
2008,2008-07-04,15,0,16,1706,0,1944
2008,2008-07-07,20,0,23,1726,0,1967
2008,2008-07-08,19,0,19,1745,0,1986
2008,2008-07-09,19,0,23,1764,0,2009
2008,2008-07-10,10,0,11,1774,0,2020
2008,2008-07-11,11,0,12,1785,0,2032
2008,2008-07-14,10,0,13,1795,0,2045
2008,2008-07-15,17,0,20,1812,0,2065
2008,2008-07-16,12,0,14,1824,0,2079
2008,2008-07-17,15,0,20,1839,0,2099
2008,2008-07-18,9,0,11,1848,0,2110
2008,2008-07-21,5,0,9,1853,0,2119
2008,2008-07-22,24,0,24,1877,0,2143
2008,2008-07-23,5,0,5,1882,0,2148
2008,2008-07-24,8,0,9,1890,0,2157
2008,2008-07-25,5,0,5,1895,0,2162
2008,2008-07-28,13,0,14,1908,0,2176
2008,2008-07-29,24,0,24,1932,0,2200
2008,2008-07-30,15,0,15,1947,0,2215
2008,2008-07-31,19,0,21,1966,0,2236
2008,2008-08-01,2,0,2,1968,0,2238
2008,2008-08-05,18,0,19,1986,0,2257
2008,2008-08-06,25,0,25,2011,0,2282
2008,2008-08-07,15,0,15,2026,0,2297
2008,2008-08-08,13,0,13,2039,0,2310
2008,2008-08-11,14,0,14,2053,0,2324
2008,2008-08-12,15,0,24,2068,0,2348
2008,2008-08-13,16,0,17,2084,0,2365
2008,2008-08-14,9,0,15,2093,0,2380
2008,2008-08-15,9,0,11,2102,0,2391
2008,2008-08-18,12,0,13,2114,0,2404
2008,2008-08-19,19,0,21,2133,0,2425
2008,2008-08-20,15,0,19,2148,0,2444
2008,2008-08-21,14,0,16,2162,0,2460
2008,2008-08-22,7,0,9,2169,0,2469
2008,2008-08-25,13,0,14,2182,0,2483
2008,2008-08-26,17,0,18,2199,0,2501
2008,2008-08-27,15,0,15,2214,0,2516
