NAME,CUSTOMERS,CLASS,COMM_CODE,SECTOR,SRG,COMM_STRUC
BEDDINGTON HEIGHTS,80,Residential,BED,NORTH,BUILT-OUT,1960s/1970s
PATTERSON,30,Residential,PAT,WEST,BUILT-OUT,1980s/1990s
SOUTH CALGARY,26,Residential,SOC,CENTRE,BUILT-OUT,INNER CITY
RIDEAU PARK,10,Residential,RID,CENTRE,BUILT-OUT,INNER CITY
SIGNAL HILL,177,Residential,SIG,WEST,BUILT-OUT,1980s/1990s
CAMBRIAN HEIGHTS,17,Residential,CAM,CENTRE,BUILT-OUT,1950s
BRITANNIA,10,Residential,BRT,CENTRE,BUILT-OUT,1950s
WEST HILLHURST,38,Residential,WHL,CENTRE,BUILT-OUT,INNER CITY
ROSSCARROCK,60,Residential,RCK,WEST,BUILT-OUT,1950s
KILLARNEY/GLENGARRY,65,Residential,KIL,CENTRE,BUILT-OUT,1950s
02C,0,Residual Sub Area,02C,NORTH,N/A,UNDEVELOPED
10C,0,Residual Sub Area,10C,EAST,N/A,UNDEVELOPED
STONEGATE LANDING,0,Industrial,SGL,NORTHEAST,N/A,EMPLOYMENT
CANYON MEADOWS,65,Residential,CAN,SOUTH,BUILT-OUT,1960s/1970s
FAIRVIEW,217,Residential,FAI,SOUTH,BUILT-OUT,1950s
BEL-AIRE,0,Residential,BEL,CENTRE,BUILT-OUT,1960s/1970s
HAMPTONS,60,Residential,HAM,NORTHWEST,BUILT-OUT,2000s
02L,0,Residual Sub Area,02L,NORTH,N/A,OTHER
EVANSTON,104,Residential,EVN,NORTH,DEVELOPING,BUILDING OUT
PANORAMA HILLS,122,Residential,PAN,NORTH,DEVELOPING,BUILDING OUT
03D,0,Residual Sub Area,03D,NORTH,N/A,OTHER
GLENMORE PARK,0,Major Park,GPK,SOUTH,N/A,PARKS
09D,0,Residual Sub Area,09D,CENTRE,N/A,OTHER
GREENVIEW,20,Residential,GRV,CENTRE,BUILT-OUT,1960s/1970s
GREENVIEW INDUSTRIAL PARK,91,Industrial,GRI,CENTRE,N/A,EMPLOYMENT
SADDLE RIDGE,83,Residential,SAD,NORTHEAST,DEVELOPING,2000s
CITYSCAPE,0,Residential,CSC,NORTHEAST,DEVELOPING,BUILDING OUT
02E,0,Residual Sub Area,02E,NORTHWEST,N/A,OTHER
03S,0,Residual Sub Area,03S,NORTHEAST,N/A,UNDEVELOPED
12J,0,Residual Sub Area,12J,SOUTHEAST,N/A,UNDEVELOPED
14V,0,Residual Sub Area,14V,SOUTH,N/A,UNDEVELOPED
06B,0,Residual Sub Area,06B,WEST,N/A,UNDEVELOPED
10B,0,Residual Sub Area,10B,EAST,N/A,OTHER
13I,0,Residual Sub Area,13I,SOUTH,N/A,UNDEVELOPED
12B,0,Residual Sub Area,12B,SOUTHEAST,N/A,UNDEVELOPED
13G,0,Residual Sub Area,13G,SOUTH,N/A,UNDEVELOPED
13B,0,Residual Sub Area,13B,SOUTH,N/A,UNDEVELOPED
VARSITY,194,Residential,VAR,NORTHWEST,BUILT-OUT,1960s/1970s
COLLINGWOOD,22,Residential,COL,NORTHWEST,BUILT-OUT,1950s
QUEENSLAND,55,Residential,QLD,SOUTH,BUILT-OUT,1960s/1970s
WOODLANDS,38,Residential,WOO,SOUTH,BUILT-OUT,1980s/1990s
OAKRIDGE,50,Residential,OAK,SOUTH,BUILT-OUT,1960s/1970s
MAYFAIR,10,Residential,MAF,CENTRE,BUILT-OUT,1950s
SOUTHWOOD,94,Residential,SOW,SOUTH,BUILT-OUT,1960s/1970s
ROSEDALE,12,Residential,RDL,CENTRE,BUILT-OUT,INNER CITY
KINCORA,21,Residential,KCA,NORTH,DEVELOPING,2000s
APPLEWOOD PARK,44,Residential,APP,EAST,BUILT-OUT,2000s
12H,0,Residual Sub Area,12H,SOUTHEAST,N/A,UNDEVELOPED
09K,0,Residual Sub Area,09K,EAST,N/A,UNDEVELOPED
13C,0,Residual Sub Area,13C,SOUTH,N/A,UNDEVELOPED
02K,0,Residual Sub Area,02K,NORTH,N/A,UNDEVELOPED
12A,0,Residual Sub Area,12A,SOUTHEAST,N/A,OTHER
14U,0,Residual Sub Area,14U,SOUTH,N/A,OTHER
09N,0,Residual Sub Area,09N,SOUTHEAST,N/A,UNDEVELOPED
FOREST HEIGHTS,56,Residential,FHT,EAST,BUILT-OUT,1960s/1970s
FRANKLIN,0,Industrial,FRA,NORTHEAST,N/A,EMPLOYMENT
CALGARY INTERNATIONAL AIRPORT,0,Industrial,CIA,NORTHEAST,N/A,OTHER
GOLDEN TRIANGLE,0,Industrial,GTI,EAST,N/A,EMPLOYMENT
SUNALTA,13,Residential,SNA,CENTRE,BUILT-OUT,INNER CITY
BRIDGELAND/RIVERSIDE,463,Residential,BRD,CENTRE,BUILT-OUT,INNER CITY
LAKEVIEW,62,Residential,LKV,WEST,BUILT-OUT,1960s/1970s
VISTA HEIGHTS,21,Residential,VIS,NORTHEAST,BUILT-OUT,1960s/1970s
GLAMORGAN,205,Residential,GLA,WEST,BUILT-OUT,1950s
ELBOYA,12,Residential,EYA,CENTRE,BUILT-OUT,1950s
WINDSOR PARK,63,Residential,WND,CENTRE,BUILT-OUT,1950s
WHITEHORN,199,Residential,WHI,NORTHEAST,BUILT-OUT,1960s/1970s
MCCALL,0,Industrial,MCI,NORTHEAST,N/A,EMPLOYMENT
PEGASUS,0,Industrial,PEG,NORTHEAST,N/A,EMPLOYMENT
SUNRIDGE,11,Industrial,SUN,NORTHEAST,N/A,EMPLOYMENT
DEER RIDGE,45,Residential,DRG,SOUTH,BUILT-OUT,1980s/1990s
SILVERADO,15,Residential,SVO,SOUTH,DEVELOPING,BUILDING OUT
MACEWAN GLEN,47,Residential,MAC,NORTH,BUILT-OUT,1980s/1990s
MOUNT PLEASANT,59,Residential,MOP,CENTRE,BUILT-OUT,INNER CITY
SCARBORO/ SUNALTA WEST,10,Residential,SSW,CENTRE,BUILT-OUT,1950s
LEGACY,0,Residential,LEG,SOUTH,DEVELOPING,BUILDING OUT
ABBEYDALE,48,Residential,ABB,NORTHEAST,BUILT-OUT,2000s
SETON,0,Residential,SET,SOUTHEAST,DEVELOPING,BUILDING OUT
CHINOOK PARK,98,Residential,CHK,SOUTH,BUILT-OUT,1950s
MEADOWLARK PARK,13,Residential,MEA,CENTRE,BUILT-OUT,1950s
FOREST LAWN,320,Residential,FLN,EAST,BUILT-OUT,1950s
WILLOW PARK,51,Residential,WIL,SOUTH,BUILT-OUT,1960s/1970s
PARKDALE,167,Residential,PKD,CENTRE,BUILT-OUT,1950s
ROSEMONT,14,Residential,RMT,CENTRE,BUILT-OUT,1950s
MAPLE RIDGE,25,Residential,MPL,SOUTH,BUILT-OUT,1960s/1970s
AUBURN BAY,29,Residential,AUB,SOUTHEAST,DEVELOPING,BUILDING OUT
CHAPARRAL,44,Residential,CHA,SOUTH,DEVELOPING,BUILDING OUT
BRENTWOOD,83,Residential,BRE,NORTHWEST,BUILT-OUT,1960s/1970s
SCARBORO,10,Residential,SCA,CENTRE,BUILT-OUT,INNER CITY
POINT MCKAY,12,Residential,POI,CENTRE,BUILT-OUT,1960s/1970s
RUTLAND PARK,144,Residential,RUT,WEST,BUILT-OUT,1950s
WALDEN,82,Residential,WAL,SOUTH,DEVELOPING,BUILDING OUT
RAMSAY,21,Residential,RAM,CENTRE,BUILT-OUT,INNER CITY
MARLBOROUGH,114,Residential,MRL,NORTHEAST,BUILT-OUT,1960s/1970s
WEST SPRINGS,23,Residential,WSP,WEST,DEVELOPING,BUILDING OUT
MANCHESTER,55,Residential,MAN,CENTRE,BUILT-OUT,EMPLOYMENT
CFB - LINCOLN PARK PMQ,140,Residential,CFL,WEST,BUILT-OUT,BUILDING OUT
NEW BRIGHTON,41,Residential,NEB,SOUTHEAST,DEVELOPING,BUILDING OUT
MAYLAND HEIGHTS,99,Residential,MAL,NORTHEAST,BUILT-OUT,1960s/1970s
CLIFF BUNGALOW,10,Residential,CLI,CENTRE,BUILT-OUT,INNER CITY
RIVERBEND,79,Residential,RIV,SOUTHEAST,BUILT-OUT,1980s/1990s
CHINATOWN,51,Residential,CHN,CENTRE,BUILT-OUT,CENTRE CITY
TEMPLE,108,Residential,TEM,NORTHEAST,BUILT-OUT,1960s/1970s
BRAESIDE,52,Residential,BRA,SOUTH,BUILT-OUT,1960s/1970s
MONTGOMERY,200,Residential,MON,NORTHWEST,BUILT-OUT,1950s
HARVEST HILLS,73,Residential,HAR,NORTH,BUILT-OUT,1980s/1990s
OGDEN,116,Residential,OGD,SOUTHEAST,BUILT-OUT,1950s
KELVIN GROVE,293,Residential,KEL,SOUTH,BUILT-OUT,1960s/1970s
PENBROOKE MEADOWS,121,Residential,PEN,EAST,BUILT-OUT,1960s/1970s
SHAWNEE SLOPES,26,Residential,SHS,SOUTH,BUILT-OUT,1980s/1990s
MARLBOROUGH PARK,99,Residential,MPK,NORTHEAST,BUILT-OUT,1960s/1970s
MAHOGANY,10,Residential,MAH,SOUTHEAST,DEVELOPING,BUILDING OUT
NORTH HAVEN,35,Residential,NHV,NORTH,BUILT-OUT,1960s/1970s
ASPEN WOODS,28,Residential,ASP,WEST,DEVELOPING,BUILDING OUT
ROXBORO,0,Residential,ROX,CENTRE,BUILT-OUT,INNER CITY
FALCONRIDGE,82,Residential,FAL,NORTHEAST,BUILT-OUT,1980s/1990s
SHAWNESSY,103,Residential,SHN,SOUTH,BUILT-OUT,1980s/1990s
RICHMOND,36,Residential,RIC,CENTRE,BUILT-OUT,1950s
BRIDLEWOOD,51,Residential,BRI,SOUTH,BUILT-OUT,2000s
UNIVERSITY HEIGHTS,27,Residential,UNI,NORTHWEST,BUILT-OUT,1960s/1970s
RANCHLANDS,54,Residential,RAN,NORTHWEST,BUILT-OUT,1960s/1970s
ROYAL OAK,50,Residential,ROY,NORTHWEST,BUILT-OUT,2000s
ARBOUR LAKE,157,Residential,ARB,NORTHWEST,BUILT-OUT,2000s
CITADEL,62,Residential,CIT,NORTHWEST,BUILT-OUT,1980s/1990s
SPRUCE CLIFF,310,Residential,SPR,WEST,BUILT-OUT,1950s
PARKLAND,32,Residential,PKL,SOUTH,BUILT-OUT,1960s/1970s
CASTLERIDGE,64,Residential,CAS,NORTHEAST,BUILT-OUT,1980s/1990s
KINGSLAND,70,Residential,KIN,SOUTH,BUILT-OUT,1950s
DALHOUSIE,94,Residential,DAL,NORTHWEST,BUILT-OUT,1960s/1970s
PALLISER,60,Residential,PAL,SOUTH,BUILT-OUT,1960s/1970s
ALBERT PARK/RADISSON HEIGHTS,131,Residential,ALB,EAST,BUILT-OUT,1950s
ROYAL VISTA,0,Industrial,RYV,NORTHWEST,N/A,EMPLOYMENT
NORTH GLENMORE PARK,39,Residential,NGM,WEST,BUILT-OUT,1950s
ALTADORE,86,Residential,ALT,CENTRE,BUILT-OUT,INNER CITY
QUEENS PARK VILLAGE,0,Residential,QPK,CENTRE,BUILT-OUT,1950s
CHARLESWOOD,43,Residential,CHW,NORTHWEST,BUILT-OUT,1950s
CEDARBRAE,79,Residential,CED,SOUTH,BUILT-OUT,1960s/1970s
PUMP HILL,155,Residential,PUM,SOUTH,BUILT-OUT,1960s/1970s
COUGAR RIDGE,14,Residential,CGR,WEST,DEVELOPING,2000s
HILLHURST,162,Residential,HIL,CENTRE,BUILT-OUT,INNER CITY
GLENDALE,32,Residential,GDL,WEST,BUILT-OUT,1950s
WOODBINE,59,Residential,WBN,SOUTH,BUILT-OUT,1980s/1990s
DOWNTOWN WEST END,29,Residential,DNW,CENTRE,BUILT-OUT,CENTRE CITY
MCKENZIE TOWNE,180,Residential,MCT,SOUTHEAST,DEVELOPING,BUILDING OUT
HIDDEN VALLEY,70,Residential,HID,NORTH,BUILT-OUT,1980s/1990s
TARADALE,113,Residential,TAR,NORTHEAST,DEVELOPING,2000s
RUNDLE,118,Residential,RUN,NORTHEAST,BUILT-OUT,1960s/1970s
ERIN WOODS,52,Residential,ERI,EAST,BUILT-OUT,1980s/1990s
PINERIDGE,201,Residential,PIN,NORTHEAST,BUILT-OUT,1960s/1970s
HIGHWOOD,29,Residential,HIW,CENTRE,BUILT-OUT,1950s
EVERGREEN,123,Residential,EVE,SOUTH,DEVELOPING,BUILDING OUT
BANFF TRAIL,17,Residential,BNF,CENTRE,BUILT-OUT,1950s
PARKHILL,10,Residential,PKH,CENTRE,BUILT-OUT,1950s
TUSCANY,89,Residential,TUS,NORTHWEST,BUILT-OUT,2000s
SILVER SPRINGS,65,Residential,SIL,NORTHWEST,BUILT-OUT,1960s/1970s
HAWKWOOD,89,Residential,HAW,NORTHWEST,BUILT-OUT,1980s/1990s
01C,0,Residual Sub Area,01C,WEST,N/A,UNDEVELOPED
01H,0,Residual Sub Area,01H,WEST,N/A,UNDEVELOPED
01B,0,Residual Sub Area,01B,NORTHWEST,N/A,UNDEVELOPED
01G,0,Residual Sub Area,01G,NORTHWEST,N/A,UNDEVELOPED
CRESTMONT,10,Residential,CRM,WEST,BUILT-OUT,2000s
GREENWOOD/GREENBRIAR,10,Residential,GRE,NORTHWEST,BUILT-OUT,1960s/1970s
BOWNESS,295,Residential,BOW,NORTHWEST,BUILT-OUT,1950s
SCENIC ACRES,135,Residential,SCE,NORTHWEST,BUILT-OUT,2000s
VALLEY RIDGE,57,Residential,VAL,WEST,BUILT-OUT,2000s
