FID,RED,TRAMO,SECTOR,PGOU,ET_ID,SHAPE_Leng,CreationDate,Creator,EditDate,Editor
1, ,0, , ,0,1058.825373,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
2, ,0, , ,1,364.694345,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
3, ,0, , ,2,14.64138,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
4, ,0, , ,3,612.575229,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
5, ,0, , ,4,1173.051405,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
6, ,0, , ,5,8.508819,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
7, ,0, , ,6,16.833015,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
8, ,0, , ,7,7.169379,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
9, ,0, , ,8,181.427363,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
10, ,0, , ,9,9.712878,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
11, ,0, , ,10,186.016154,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
12, ,0, , ,11,11.200446,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
13, ,0, , ,12,285.637431,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
14, ,0, , ,13,7.392564,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
15, ,0, , ,14,11.101802,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
16, ,0, , ,15,7.357309,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
17, ,0, , ,16,117.661549,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
18, ,0, , ,17,11.027692,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
19, ,0, , ,18,140.426723,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
20, ,0, , ,19,8.28553,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
21, ,0, , ,20,446.942247,2014-10-04T21:28:16.304Z,Ayto.Sevilla,2014-10-04T21:28:16.304Z,Ayto.Sevilla
