X,Y,FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor
-5.988933251932231,37.412983041853934,1,1,Glorieta Olimpica,Concejal Alberto Jiménez-Becerril,37.412983,-5.988933,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.965182694135409,37.381664061223965,2,2,Gran Plaza,Calle Marquez de Pickman,37.381664,-5.965183,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.998513784437367,37.405639938796661,3,3,Puerta de la Barqueta,Puente de la Barqueta,37.40564,-5.998514,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.00565898420724,37.410126088757607,4,4,Calle Leonardo Da Vinci,Calle Thomas Alba Edison,37.410126,-6.005659,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.981396386698469,37.36474629901322,5,131,Calle Tabladilla,Calle Cardenal Ilundaín,37.364746,-5.981396,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.984776747112617,37.363670337946033,6,132,Calle Paez de Ribera,Paseo de la Palmera,37.36367,-5.984777,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.001936365669861,37.411022287571818,7,5,Camino de los Descubrimientos,Calle Thomás Alba Edison,37.411022,-6.001936,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.004259408994608,37.374000926161294,8,133,Avenida Santa Fe,Calle Virgen de la Oliva,37.374001,-6.004259,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.002848155683243,37.406676764937927,9,6,Camino de los Descubrimientos,Calle Isaac Newton,37.406677,-6.002848,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.998519174329084,37.374783337087457,10,134,Calle Virgen de Luján,Calle Asunción,37.374783,-5.998519,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.007413393957131,37.407515919980632,11,7,Calle Américo Vespucio,Calle de Jacques Cousteau,37.407516,-6.007413,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.994916031724467,37.374656981131004,12,135,Calle Virgen de Luján,Glorieta las Cigarreras,37.374657,-5.994916,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.997629842197806,37.373225645971061,13,136,Calle Asunción,Calle Virgen de la Antigua,37.373226,-5.99763,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.009403162311457,37.401035058562336,14,8,Calle Leonardo Da Vinci,Calle Gregor Mendel,37.401035,-6.009403,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.985478331349495,37.373745355860521,15,137,Avenida de la Borbolla,Calle Porvenir,37.373745,-5.985478,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.978978121953626,37.375852714003379,16,138,Calle Ramón Carande,Calle San Salvador,37.375852,-5.978978,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-6.004066271208522,37.402926854395027,17,9,Camino de los Descubrimientos,Calle Albert Einstein,37.402927,-6.004066,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.975825035306366,37.375160262066061,18,139,Avenida Diego Martinez Barrio,Avenida General García de la Herranz,37.37516,-5.975825,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.990960749528482,37.409095732285955,19,10,Calle José Diaz,Avenida Concejal Alberto Jiménez-Becerril,37.409096,-5.990961,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.977351272974071,37.372374684641173,20,140,Calle Felipe II,Avenida Diego Martínez Barrio,37.372375,-5.977351,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.993213724261061,37.405846163446171,21,11,Calle Avicena,Calle Avenzoar,37.405846,-5.993214,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.981900341572873,37.37171575409409,22,141,Calle Felipe II,Calle Ramón Carande,37.371716,-5.9819,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.994930404769027,37.403853824053996,23,12,Plaza Duquesa de Alba,Barqueta,37.403854,-5.99493,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
-5.997196854230833,37.371638652416692,24,142,Calle Ramon de Carranza,Calle Asunción,37.371639,-5.997197,2014-10-04T21:21:32.379Z,Ayto.Sevilla,2014-10-04T21:21:32.379Z,Ayto.Sevilla
