CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residual Sub Area,4,13G,13G,SOUTH,N/A,UNDEVELOPED,2011,,11,7,0,0,4,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,1,0,0,0,3,2,0,1,0,6,5,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,1,0,2,1,5,0,1,0,5310757.22478000000,11013.01257600000
Residual Sub Area,4,13B,13B,SOUTH,N/A,UNDEVELOPED,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219966.72679000000,2223.78971625000
Industrial,2,WES,WESTWINDS,NORTHEAST,N/A,EMPLOYMENT,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950608.01970000000,6713.54908030000
Industrial,2,HOR,HORIZON,NORTHEAST,N/A,EMPLOYMENT,2011,,74,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,36,38,1,1,0,0,10,6,13,5,0,0,8,1,0,0,10,4,10,5,0,0,9,2,0,0,20,10,23,10,0,0,2314773.72725000000,6538.68081688000
Industrial,2,GRI,GREENVIEW INDUSTRIAL PARK,NORTH,N/A,EMPLOYMENT,2011,Y,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138741.91305000000,7681.92858281000
Industrial,2,FRA,FRANKLIN,NORTHEAST,N/A,EMPLOYMENT,2011,Y,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464543.54816000000,5267.41926306000
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,1950s,2011,,397,165,37,0,188,137,0,0,162,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,137,391,8,0,0,0,31,61,26,35,3,194,203,14,26,7,9,10,36,38,21,14,19,8,26,13,10,19,44,27,20,11,25,22,52,20,19,29,80,65,41,25,44,352694.64401200000,2630.18301137000
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,BUILT-OUT,1950s,2011,,6543,3644,453,0,4148,1716,0,0,1443,543,40,543,590,0,481,0,0,0,0,0,4,0,5,499,171,729,39,0,0,1,350,16,543,43,0,87,0,478,292,1092,26,34,5,0,0,0,0,0,0,0,0,33,2,54,7,0,0,0,2,0,45,2,0,0,0,553,342,1098,33,4,0,8,1331,893,2982,96,3,5,4,1238,1221,443,317,27,3186,3357,185,245,112,253,735,653,473,292,140,98,190,246,111,264,826,635,484,276,165,160,375,491,223,517,1561,1288,957,568,305,258,1843507.06316000000,5571.07684892000
Residential,1,RIC,RICHMOND,CENTRE,BUILT-OUT,1950s,2011,,4113,2208,299,0,2640,1141,0,0,1128,414,16,348,94,0,208,0,0,0,0,0,0,0,1,288,63,402,12,47,0,0,152,6,233,13,1,42,0,348,242,821,27,39,0,0,0,0,0,0,0,0,0,15,8,31,1,0,0,0,0,0,0,0,0,0,0,86,45,170,8,0,0,2,1070,777,2456,45,10,1,0,689,720,299,237,14,2019,2094,126,134,80,150,413,409,328,233,83,63,117,168,67,194,434,400,322,202,86,104,243,302,147,344,847,809,650,435,169,167,1793961.89046000000,6460.14767739000
Industrial,2,FHI,FOOTHILLS,EAST,N/A,EMPLOYMENT,2011,,326,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,283,43,0,0,0,50,50,50,100,25,8,0,0,0,10,20,13,0,0,0,0,0,0,0,10,70,63,50,100,25,8,0,7644882.10572000000,13205.81037860000
Industrial,2,OSH,OGDEN SHOPS,EAST,N/A,EMPLOYMENT,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219730.17561000000,7725.44701369000
Residential,1,RDL,ROSEDALE,CENTRE,BUILT-OUT,INNER CITY,2011,,1592,638,97,0,794,483,0,0,578,0,0,36,4,0,19,0,0,0,0,1,0,0,0,34,4,40,2,0,0,0,13,2,17,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,4,2,8,0,0,0,0,543,474,1520,30,3,2,1,133,187,97,164,14,812,780,42,107,57,59,59,97,160,160,56,15,29,108,59,47,73,107,154,135,47,21,71,215,116,106,132,204,314,295,103,36,666246.01006500000,3717.75068340000
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,EAST,N/A,EMPLOYMENT,2011,,120,63,3,0,61,52,0,0,0,0,0,0,0,60,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,51,101,3,0,0,0,0,0,0,0,0,0,0,2,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,26,5,3,1,79,41,1,2,2,4,16,13,22,12,7,0,2,0,1,2,12,5,9,6,4,0,3,2,3,6,28,18,31,18,11,0,1538900.27687000000,7472.28204328000
Industrial,2,FVI,FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT,2011,Y,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279220.63737000000,7842.92162444000
Residential,1,EPK,ELBOW PARK,CENTRE,BUILT-OUT,INNER CITY,2011,,3408,1220,242,0,1419,1018,0,0,1206,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,1,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1109,1016,3394,70,22,4,0,124,368,187,397,44,1719,1689,81,313,170,105,66,233,322,245,112,72,83,289,152,90,68,279,329,221,108,70,164,602,322,195,134,512,651,466,220,142,1786488.95815000000,7301.11865043000
Residential,1,OAK,OAKRIDGE,SOUTH,BUILT-OUT,1960s/1970s,2011,,5719,2292,300,0,2468,2007,0,0,1706,144,0,35,402,0,5,0,0,0,0,0,0,0,0,33,28,54,2,0,0,0,4,0,6,1,0,0,0,137,92,255,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,289,772,12,0,1,0,1677,1598,4632,29,0,0,0,416,901,375,518,30,2856,2863,126,312,207,214,237,333,456,490,349,132,112,308,163,200,253,364,517,484,337,125,238,620,370,414,490,697,973,974,686,257,2419705.08540000000,6362.79283624000
