CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residual Sub Area,4,12J,12J,SOUTHEAST,N/A,UNDEVELOPED,2011,,50,23,2,0,26,11,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,50,5,0,0,0,2,6,4,4,1,23,27,0,5,1,0,2,2,9,1,1,2,1,5,1,2,2,4,9,1,0,2,1,10,2,2,4,6,18,2,1,4,17257558.45600000000,18102.28993210000
Industrial,2,SKW,SKYLINE WEST,NORTH,N/A,EMPLOYMENT,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825984.78430700000,4686.71479355000
Residential,1,UMR,UPPER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,2011,,2536,1071,152,0,1246,736,0,0,800,10,0,235,13,0,12,0,0,1,0,0,0,0,0,220,47,307,15,0,0,0,10,0,15,0,0,2,0,9,7,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,5,17,0,0,0,2,741,677,2175,33,16,8,1,244,347,125,246,26,1278,1258,65,170,93,96,121,157,255,197,74,50,48,156,112,77,103,196,252,179,78,57,113,326,205,173,224,353,507,376,152,107,1275581.54629000000,5092.20785212000
Residential,1,CAN,CANYON MEADOWS,SOUTH,BUILT-OUT,1960s/1970s,2011,,7895,3191,452,0,4496,2567,0,0,1957,153,0,333,711,0,37,0,0,0,0,0,0,0,0,320,202,590,13,0,0,0,33,1,55,4,0,0,0,146,75,379,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,513,1392,39,0,0,0,1931,1776,5479,23,2,1,0,593,1278,550,597,84,3902,3993,196,370,301,309,596,519,658,510,306,137,170,396,251,291,556,579,717,540,328,165,366,766,552,600,1152,1098,1375,1050,634,302,3056442.49067000000,8266.35484227000
Residential,1,CHN,CHINATOWN,CENTRE,BUILT-OUT,CENTRE CITY,2011,,1269,1456,33,0,510,190,0,0,0,0,0,1434,21,0,0,1,0,0,0,0,0,0,5,800,190,1257,232,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,1,450,270,58,20,3,543,726,16,16,9,20,81,77,67,64,54,139,13,12,14,21,93,72,74,61,93,273,29,28,23,41,174,149,141,125,147,412,247558.48301900000,2670.20464203000
Residential,1,PKL,PARKLAND,SOUTH,BUILT-OUT,1960s/1970s,2011,,3772,1447,197,0,1950,1356,0,0,1353,10,0,70,14,0,0,0,0,0,0,0,0,0,0,68,59,100,2,0,0,0,0,0,0,0,0,0,0,9,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,20,0,0,0,0,1329,1276,3636,24,0,0,0,166,654,228,350,22,1892,1880,79,226,142,104,115,205,343,358,224,96,70,228,107,79,117,249,355,372,208,95,149,454,249,183,232,454,698,730,432,191,1800348.22627000000,6892.01052526000
Residential,1,CPF,COPPERFIELD,SOUTHEAST,DEVELOPING,BUILDING OUT,2011,,7162,2741,1171,0,4451,2280,0,0,2372,49,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,44,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,255,174,525,10,53,0,11,2253,2062,6528,50,52,6,0,320,938,554,682,63,3684,3478,531,479,118,140,1142,826,283,120,34,11,454,447,101,178,1183,703,240,121,31,20,985,926,219,318,2325,1529,523,241,65,31,4414774.73644000000,10002.05604010000
Industrial,2,NAW,NORTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,2011,,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,11,9,0,0,0,0,0,4,5,2,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,7,5,2,0,0,1209898.42603000000,5098.83875306000
Industrial,2,SUN,SUNRIDGE,NORTHEAST,N/A,EMPLOYMENT,2011,,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,22,18,0,0,0,0,4,0,4,2,0,12,0,0,0,4,3,3,1,0,0,7,0,0,0,4,7,3,5,2,0,19,2261630.17601000000,6030.65685615000
Residual Sub Area,4,01E,01E,WEST,N/A,UNDEVELOPED,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570293.72527300000,3422.12632767000
Major Park,3,GPK,GLENMORE PARK,WEST,N/A,PARKS,2011,Y,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10160144.29070000000,21846.79802000000
Industrial,2,AYB,ALYTH/BONNYBROOK,CENTRE,N/A,EMPLOYMENT,2011,,17,14,0,0,5,2,0,0,11,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,1,0,0,0,0,0,0,0,6,4,2,6,1,0,0,3,3,2,0,0,1,15,2,0,0,0,0,4,6,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,6,4,1,2,0,3814053.55078000000,11383.36591110000
Residential,1,ING,INGLEWOOD,CENTRE,BUILT-OUT,INNER CITY,2011,,3473,2137,203,0,2283,1102,0,0,846,122,4,621,342,0,169,1,26,4,0,1,1,0,7,552,222,729,60,0,2,0,109,9,159,34,1,25,0,115,51,279,6,0,1,0,0,0,0,0,0,0,0,4,0,14,0,0,0,9,22,10,86,2,0,0,1,329,245,612,10,0,2,7,773,565,1594,52,8,6,33,901,678,185,125,15,1747,1726,93,104,44,80,383,390,307,237,75,34,82,106,47,94,414,353,286,212,83,49,175,210,91,174,797,743,593,449,158,83,2497500.04154000000,9649.76019144000
Residential,1,WLD,WILDWOOD,WEST,BUILT-OUT,1950s,2011,,2582,1056,221,0,1230,896,0,0,1026,16,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,2,0,1,0,16,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,988,889,2529,33,5,0,1,216,364,187,233,15,1287,1295,83,145,94,69,107,206,257,152,78,96,86,157,63,46,126,201,253,148,95,120,169,302,157,115,233,407,510,300,173,216,2566063.48252000000,8641.18888147000
Industrial,2,MCI,MCCALL,NORTHEAST,N/A,EMPLOYMENT,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389001.40287000000,6756.47594457000
Residual Sub Area,4,14U,14U,SOUTH,N/A,OTHER,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865968.20333000000,8939.48321538000
Industrial,2,DBC,DEERFOOT BUSINESS CENTRE,NORTHEAST,N/A,EMPLOYMENT,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952597.58700000000,7806.68940348000
Residential,1,WOO,WOODLANDS,SOUTH,BUILT-OUT,1980s/1990s,2011,,6201,2403,442,0,3161,1745,0,0,1531,120,0,163,579,0,9,0,0,0,0,1,0,0,2,153,0,265,8,0,0,0,6,1,8,1,0,2,0,117,95,301,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,63,0,0,0,1,555,249,1237,23,0,0,0,1504,1399,4327,27,0,0,1,401,907,449,526,53,3099,3102,197,392,249,260,344,337,495,487,221,117,159,331,233,216,366,398,543,539,197,120,356,723,482,476,710,735,1038,1026,418,237,2800205.42496000000,8321.65029847000
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,BUILT-OUT,1960s/1970s,2011,,11456,4343,842,0,6355,3090,0,0,2602,922,7,37,639,0,136,0,0,0,0,0,0,0,0,34,8,59,3,0,0,0,96,13,170,24,0,16,1,876,566,2353,45,0,0,0,0,0,0,0,0,0,0,7,4,17,0,0,0,0,0,0,0,0,0,0,0,605,326,1502,34,0,0,0,2534,2173,7355,64,0,4,0,720,1381,922,977,152,5706,5750,336,644,412,452,907,832,975,682,325,141,332,638,391,404,959,806,1031,726,286,177,668,1282,803,856,1866,1638,2006,1408,611,318,3203986.99345000000,9407.09514385000
Residential,1,CLI,CLIFF BUNGALOW,CENTRE,BUILT-OUT,INNER CITY,2011,,1912,1376,36,0,1171,339,0,0,170,15,0,942,71,0,176,0,0,0,0,1,1,0,4,879,230,1228,58,0,1,0,157,4,198,10,0,9,0,14,4,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,0,0,0,0,62,21,96,1,8,0,2,155,80,324,12,1,0,2,785,396,58,27,3,980,932,18,16,13,81,388,227,100,76,47,14,13,25,19,140,382,157,76,60,47,13,31,41,32,221,770,384,176,136,94,27,362754.48771600000,2944.18028240000
Major Park,3,NPK,NOSE HILL PARK,NORTHWEST,N/A,PARKS,2011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11605487.48880000000,13861.67315710000
Residential,1,CGR,COUGAR RIDGE,WEST,DEVELOPING,2000s,2011,,5813,1898,957,0,2940,1683,0,0,1667,92,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,74,254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,84,262,1,0,0,0,1645,1525,5297,19,2,1,0,205,467,461,674,67,2890,2923,426,459,164,101,430,755,356,130,52,17,370,487,143,86,551,772,329,130,47,8,796,946,307,187,981,1527,685,260,99,25,2219138.02119000000,7942.59854416000
Residual Sub Area,4,12C,12C,SOUTHEAST,N/A,UNDEVELOPED,2011,,128,44,4,0,74,38,0,0,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,126,2,0,0,0,3,18,6,12,3,64,64,0,8,3,5,6,7,21,12,1,1,2,9,4,3,4,13,16,8,4,1,2,17,7,8,10,20,37,20,5,2,7470828.60792000000,12615.56111660000
