NAME,Longitude,Latitude,URL,LINE
Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),-73.99027199929638 ,40.686728331297715,http://www.mta.info,F-G
Court St & Montague St At Sw Corner,-73.9906780008789 ,40.69372533216928,http://www.mta.info,2-3-4-5-N-R
Court St & Montague St At Sw Corner,-73.99059199905471 ,40.693642331621014,http://www.mta.info,2-3-4-5-N-R
Clinton St & Montague St At Nw Corner,-73.99253735666481 ,40.69439311951264,http://www.mta.info,2-3-4-5-N-R
Flatbush Ave & Empire Blvd At Sw Corner,-73.96224891505983 ,40.66272735822238,http://www.mta.info,B-Q-S
4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),-73.983394168523 ,40.67716435313647,http://www.mta.info,D-N-R
4th Ave & Union St At Se Corner (To Manhattan Only),-73.98308231239687 ,40.67705163581421,http://www.mta.info,D-N-R
4th Ave & Union St At Se Corner (To Manhattan Only),-73.98298999681003 ,40.67719509056718,http://www.mta.info,D-N-R
Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),-73.9752089996586 ,40.680699332136946,http://www.mta.info,2-3-4
Lawrence St & Willoughby St At Ne Corner,-73.98621464349429 ,40.69204411365131,http://www.mta.info,N-R
Lawrence St & Willoughby St At Se Corner,-73.98611377104055 ,40.6922584160693,http://www.mta.info,N-R
Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),-73.98527100196489 ,40.69044933281501,http://www.mta.info,2-3
Bridge St & Fulton St At Ne Corner (To Manhattan Only),-73.9852550009138 ,40.69089533430105,http://www.mta.info,2-3
Duffield St & Fulton St At Nw Corner (To Manhattan Only),-73.98455099823623 ,40.69044233310529,http://www.mta.info,2-3
Duffield St & Fulton St At Ne Corner (To Manhattan Only),-73.98434700115578 ,40.69040733460593,http://www.mta.info,2-3
Bridge St & Willoughby St At Sw Corner,-73.98536143700538 ,40.692095601967445,http://www.mta.info,N-R
Bridge St & Willoughby St At Ne Corner,-73.98519673719659 ,40.69223493884094,http://www.mta.info,N-R
Flatbush Ave & Fleet St At Ne Corner,-73.98215994526204 ,40.69150880161958,http://www.mta.info,B-D-N-Q-R
4th Ave & Pacific St At Nw Corner,-73.97887100025946 ,40.683925333020454,http://www.mta.info,2-3-4-5-B-D-N-Q-R
Ashland Pl & Hanson Pl At Ne Corner,-73.97774737202991 ,40.68515511399471,http://www.mta.info,2-3-4-5-B-D-N-Q-R
Lawrence St & Willoughby St At Ne Corner,-73.98619067591699 ,40.69235659549948,http://www.mta.info,N-R
Smith St & President St At Nw Corner,-73.9943927504754 ,40.68111653102947,http://www.mta.info,F-G
Washington Ave & Eastern Pkwy At Sw Corner,-73.96437533493416 ,40.67187792248519,http://www.mta.info,2-3-4
Washington Ave & Eastern Pkwy At Nw Corner,-73.96415217753747 ,40.672136406270376,http://www.mta.info,2-3-4
Franklin Ave & Eastern Pkwy At Se Corner,-73.95788689838822 ,40.67034264927402,http://www.mta.info,2-3-4-5-S
Franklin Ave & Eastern Pkwy At Ne Corner,-73.95764559593519 ,40.670741030717416,http://www.mta.info,2-3-4-5-S
Franklin Ave & Fulton St At Sw Corner,-73.95569777997811 ,40.681034916213164,http://www.mta.info,A-C-S
Franklin Ave & Eastern Pkwy At Ne Corner,-73.9577203183142 ,40.670926625235474,http://www.mta.info,2-3-4-5-S
Jay St & York St At Sw Corner,-73.98665300003906 ,40.70132133411788,http://www.mta.info,F
Essex St & Delancey St At Nw Corner,-73.98827785776714 ,40.718753074032335,http://www.mta.info,F-J-M-Z
Flatbush Ave & De Kalb Ave At Se Corner,-73.98136070401206 ,40.68986468780064,http://www.mta.info,B-D-N-Q-R
Beach 90th St & Rockaway Frwy At Se Corner,-73.81401044668934 ,40.58772910999135,http://www.mta.info,A-S
Red Cross Pl & Adams St At Sw Corner,-73.98891297872152 ,40.69916149839492,http://www.mta.info,A-C
Sands St & Adams St At Se Corner,-73.98827070476256 ,40.699258549662,http://www.mta.info,A-C
Court St & Joralemon St At Ne Corner,-73.99060228644079 ,40.69260441214509,http://www.mta.info,2-3-4-5-N-R
144-01 Hillside Avenue,-73.81182900070576 ,40.705340333636265,http://www.mta.info,F
1515 Foster Avenue (Enter From Newkirk Ave Pz),-73.96278299962148 ,40.635042334687114,http://www.mta.info,B-Q
37-01 36 Street (To Manhattan And Brooklyn Only),-73.92764099903127 ,40.75221933259898,http://www.mta.info,E-M-R
4902 12 Avenue,-73.99461199971715 ,40.63637533348671,http://www.mta.info,D
1 Barclay Street (Enter On Park Place),-74.00822400016119 ,40.712612332084895,http://www.mta.info,2-3-A-C-E
486 Clinton Avenue (To Manhattan Only),-73.96711601759309 ,40.68367743863933,http://www.mta.info,A-C
1175 Mc Donald Avenue,-73.97577719571558 ,40.624564197747674,http://www.mta.info,F
135-02 89 Avenue,-73.81629903408636 ,40.70097087901288,http://www.mta.info,E
40-02 75 Street,-73.89071415330048 ,40.74655506070698,http://www.mta.info,7-E-F-M-R
1122 Broadway,-73.92966699808947 ,40.693672332740476,http://www.mta.info,J
729 7 Avenue (Uptown Only),-73.9835669980853 ,40.760297332699835,http://www.mta.info,N-Q-R
421 7 Avenue,-73.99065000102587 ,40.75028333388322,http://www.mta.info,1-2-3
401 7 Avenue,-73.99112999976678 ,40.74965633338882,http://www.mta.info,1-2-3
502 Broadway,-73.9505447051535 ,40.70547143940723,http://www.mta.info,G
2 Ann Street,-74.00842799968676 ,40.710692334472014,http://www.mta.info,2-3-4-5-A-C-J-Z
421 7 Avenue,-73.99085399865109 ,40.75031333412546,http://www.mta.info,1-2-3
92-20 Jamaica Avenue,-73.85243999690633 ,40.693432332520246,http://www.mta.info,J-Z
235 Brook Avenue (To Manhattan Only),-73.91931400054645 ,40.80776733502132,http://www.mta.info,6
101 Avenue I,-73.97603746586208 ,40.62614515290905,http://www.mta.info,F
102 Beverly Road,-73.9792400001875 ,40.64271533364951,http://www.mta.info,F
656 5 Avenue,-73.97614600085106 ,40.76042233409885,http://www.mta.info,E-M
1490 Fulton Street (To Queens Only),-73.94135896287963 ,40.67977789566103,http://www.mta.info,A-C
311 7 Avenue (Uptown Only),-73.99313799889386 ,40.747036333741406,http://www.mta.info,1-2
Nassau Pl & Averill Pl At Sw Corner,-74.23900680299468 ,40.51783269375978,http://www.mta.info,@
75 Richmond Terrace,-74.07671914943002 ,40.644724879567114,http://www.mta.info,@
295 Broadway (To Manhattan Only),-73.95800999849698 ,40.70858933343752,http://www.mta.info,J-M-Z
