NAME,Latitude,Longitude,Address,HOUSENUM,Borough,ZIP,URL
115th Street Library,40.80297988196676,-73.95353074430393 ,West 115th Street,203,Manhattan,10026,http://www.nypl.org/locations/115th-street
125th Street Library,40.80301816141575,-73.9348475633247 ,East 125th Street,224,Manhattan,10035,http://www.nypl.org/locations/125th-street
53rd Street Library,40.76080689474172,-73.97736329270697 ,West 53rd Street,18,Manhattan,10019,http://www.nypl.org/locations/53rd-street
58th Street Library,40.7621860177235,-73.9693817046576 ,East 58th Street,127,Manhattan,10022,http://www.nypl.org/locations/58th-street
67th Street Library,40.764915006253425,-73.95954994584243 ,East 67th Street,328,Manhattan,10065,http://www.nypl.org/locations/67th-street
96th Street Library,40.785959798621555,-73.9518056716208 ,East 96th Street,112,Manhattan,10128,http://www.nypl.org/locations/96th-street
Aguilar,40.79421476546373,-73.94345827853815 ,East 110th Street,174,Manhattan,10029,http://www.nypl.org/locations/aguilar
Allerton,40.866804429026935,-73.86322248483968 ,Barnes Avenue,2740,Bronx,10467,http://www.nypl.org/locations/allerton
Andrew Heiskell Braille and Talking Book,40.74046545561088,-73.99335691118674 ,West 20th Street,40,Manhattan,10011,http://www.nypl.org/locations/heiskell
Battery Park City Library,40.715690873439094,-74.0157487123272 ,North End Avenue,175,Manhattan,10282,http://www.nypl.org/locations/battery-park-city
Baychester,40.87075330808789,-73.82931594567218 ,Asch Loop North,2049,Bronx,10475,http://www.nypl.org/locations/baychester
Belmont Library and Enrico Fermi Cultural Center,40.85434421451861,-73.88788268526544 ,East 186th Street,610,Bronx,10458,http://www.nypl.org/locations/belmont
Bloomingdale,40.79587354648015,-73.96760677135273 ,West 100th Street,150,Manhattan,10025,http://www.nypl.org/locations/bloomingdale
Bronx Library Center,40.86298060519321,-73.89450288645044 ,East Kingsbridge Road,310,Bronx,10458,http://www.nypl.org/locations/bronx-library-center
Castle Hill,40.82662920810023,-73.85017019717382 ,Castle Hill Avenue,947,Bronx,10473,http://www.nypl.org/locations/castle-hill
Chatham Square,40.71333307050747,-73.99648986636721 ,East Broadway,33,Manhattan,10002,http://www.nypl.org/locations/chatham-square
City Island,40.8476919036199,-73.78636658900808 ,City Island Avenue,320,Bronx,10464,http://www.nypl.org/locations/city-island
Clason's Point,40.82999287527917,-73.87502060024048 ,Morrison Avenue,1215,Bronx,10472,http://www.nypl.org/locations/clasons-point
Columbus,40.764934618394804,-73.99122081783712 ,10th Avenue,742,Manhattan,10019,http://www.nypl.org/locations/columbus
Countee Cullen,40.81483582138157,-73.94116092350963 ,West 136th Street,104,Manhattan,10030,http://www.nypl.org/locations/countee-cullen
Dongan Hills,40.59039133599787,-74.1011372893581 ,Richmond Road,1617,Staten Island,10304,http://www.nypl.org/locations/dongan-hills
Eastchester,40.87013970297055,-73.84506427532864 ,East Gun Hill Road,1385,Bronx,10469,http://www.nypl.org/locations/eastchester
Edenwald,40.88889489584642,-73.84083712785493 ,East 233rd Street,1255,Bronx,10466,http://www.nypl.org/locations/edenwald
Epiphany,40.738087120390595,-73.98204888964264 ,East 23rd Street,228,Manhattan,10010,http://www.nypl.org/locations/epiphany
Fort Washington,40.847870041168214,-73.93386591312449 ,West 179th Street,535,Manhattan,10033,http://www.nypl.org/locations/fort-washington
Francis Martin,40.85742189422779,-73.90931635032427 ,University Avenue,2150,Bronx,10453,http://www.nypl.org/locations/francis-martin
George Bruce,40.813768964572695,-73.95705320654999 ,West 125th Street,518,Manhattan,10027,http://www.nypl.org/locations/george-bruce
Grand Central,40.754067875550625,-73.97356771683344 ,East 46th Street,135,Manhattan,10017,http://www.nypl.org/locations/grand-central
Grand Concourse,40.844001911750446,-73.91008714449384 ,East 173rd Street,155,Bronx,10457,http://www.nypl.org/locations/grand-concourse
Great Kills,40.55242326280796,-74.15111164313684 ,Giffords Lane,56,Staten Island,10308,http://www.nypl.org/locations/great-kills
Hamilton Fish Park,40.71978015438276,-73.97942314417445 ,East Houston Street,415,Manhattan,10002,http://www.nypl.org/locations/hamilton-fish-park
Hamilton Grange,40.82567237379984,-73.94803241890192 ,West 145th Street,503,Manhattan,10031,http://www.nypl.org/locations/hamilton-grange
Harlem,40.80616044207548,-73.94331559838257 ,West 124th Street,9,Manhattan,10027,http://www.nypl.org/locations/harlem
High Bridge,40.837960016855035,-73.92355090156951 ,West 168th Street,78,Bronx,10452,http://www.nypl.org/locations/high-bridge
Hudson Park,40.72998291458653,-74.00533101445356 ,Leroy Street,66,Manhattan,10014,http://www.nypl.org/locations/hudson-park
Huguenot Park,40.534078493080344,-74.19322900650182 ,Huguenot Avenue,830,Staten Island,10312,http://www.nypl.org/locations/huguenot-park
Hunts Point,40.818670087188615,-73.89413216580388 ,Southern Boulevard,877,Bronx,10459,http://www.nypl.org/locations/hunts-point
Inwood,40.865748720737024,-73.92586290917251 ,Broadway,4790,Manhattan,10034,http://www.nypl.org/locations/inwood
Jefferson Market,40.73463470830847,-73.99916928513315 ,Avenue of the Americas,425,Manhattan,10011,http://www.nypl.org/locations/jefferson-market
Jerome Park,40.86906986689302,-73.90119235962918 ,Eames Place,118,Bronx,10468,http://www.nypl.org/locations/jerome-park
Kingsbridge,40.88069989038004,-73.90770595199646 ,West 231st Street,291,Bronx,10463,http://www.nypl.org/locations/kingsbridge
Kips Bay,40.74380962013242,-73.97990195853163 ,Third Avenue,446,Manhattan,10016,http://www.nypl.org/locations/kips-bay
Macomb's Bridge,40.82653201339423,-73.93586246250698 ,Adam Clayton Powell Jr. Boulevard,2650,Manhattan,10039,http://www.nypl.org/locations/macombs-bridge
Mariners Harbor,40.63469343184469,-74.16658190502365 ,South Ave,206,Staten Island,10303,http://www.nypl.org/locations/mariners-harbor
Melrose,40.826584558970666,-73.91758393603561 ,Morris Avenue,910,Bronx,10451,http://www.nypl.org/locations/melrose
Mid-Manhattan,40.75189156171031,-73.98169851078917 ,Fifth Avenue,455,Manhattan,10016,http://www.nypl.org/locations/mid-manhattan-library
Morningside Heights,40.80613025800837,-73.96477561597041 ,Broadway,2900,Manhattan,10025,http://www.nypl.org/locations/morningside-heights
Morris Park,40.84802911005552,-73.85695785375374 ,Morris Park Avenue,985,Bronx,10462,http://www.nypl.org/locations/morris-park
Morrisania,40.83126291201479,-73.90179407206183 ,East 169th Street,610,Bronx,10456,http://www.nypl.org/locations/morrisania
Mosholu,40.87437981398938,-73.87838435032448 ,East 205th Street,285,Bronx,10467,http://www.nypl.org/locations/mosholu
Mott Haven,40.81158963775246,-73.92438195200242 ,East 140th Street,321,Bronx,10454,http://www.nypl.org/locations/mott-haven
Muhlenberg,40.74448733065495,-73.9959685690698 ,West 23rd Street,209,Manhattan,10011,http://www.nypl.org/locations/muhlenberg
Mulberry Street Library,40.72413926605543,-73.99568416859454 ,Jersey Street,10,Manhattan,10012,http://www.nypl.org/locations/mulberry-street
New Amsterdam,40.71357685109021,-74.00786921340098 ,Murray Street,9,Manhattan,10007,http://www.nypl.org/locations/new-amsterdam
New Dorp,40.57193184836513,-74.11195814748115 ,New Dorp Lane,309,Staten Island,10306,http://www.nypl.org/locations/new-dorp
"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",40.7735069911927,-73.98454684522841 ,Lincoln Center Plaza,40,Manhattan,10023,http://www.nypl.org/locations/lpa
Ottendorfer,40.72890664078863,-73.98774284104663 ,Second Avenue,135,Manhattan,10003,http://www.nypl.org/locations/ottendorfer
Parkchester,40.83378098529545,-73.85835004816082 ,Westchester Avenue,1985,Bronx,10462,http://www.nypl.org/locations/parkchester
Pelham Bay,40.844317529931516,-73.82790017237492 ,Middletown Road,3060,Bronx,10461,http://www.nypl.org/locations/pelham-bay
Pelham Parkway-Van Nest,40.85487588027384,-73.8641466616336 ,Barnes Avenue,2147,Bronx,10462,http://www.nypl.org/locations/pelham-parkway-van-nest
Port Richmond,40.63758561600359,-74.13110461508398 ,Bennett Street,75,Staten Island,10302,http://www.nypl.org/locations/port-richmond
Richmondtown,40.566530146210184,-74.13853387646311 ,Clarke Avenue,200,Staten Island,10306,http://www.nypl.org/locations/richmondtown
Riverdale,40.90372277707978,-73.90277254280693 ,Mosholu Avenue,5540,Bronx,10471,http://www.nypl.org/locations/riverdale
Riverside,40.77423207861022,-73.98451216196563 ,Amsterdam Avenue,127,Manhattan,10023,http://www.nypl.org/locations/riverside
Roosevelt Island,40.76123275727826,-73.95020567413508 ,Main Street,524,Manhattan,10044,http://www.nypl.org/locations/roosevelt-island
Schomburg Center for Research in Black Culture,40.81464862404033,-73.94094393837611 ,Malcolm X Boulevard,515,Manhattan,10037,http://www.nypl.org/locations/schomburg
"Science, Industry and Business Library (SIBL)",40.74811515837409,-73.98300921762814 ,Madison Avenue,188,Manhattan,10016,http://www.nypl.org/locations/sibl
Sedgwick,40.849444506294475,-73.9174950173068 ,Martin Luther King Jr. Boulevard,1701,Bronx,10453,http://www.nypl.org/locations/sedgwick
Seward Park,40.71440955033492,-73.98850101814436 ,East Broadway,192,Manhattan,10002,http://www.nypl.org/locations/seward-park
Soundview,40.818709352248625,-73.86288995608042 ,Soundview Avenue,660,Bronx,10473,http://www.nypl.org/locations/soundview
South Beach,40.59580257046463,-74.06298045409709 ,Robin Road,21-25,Staten Island,10305,http://www.nypl.org/locations/south-beach
Spuyten Duyvil,40.88628523559925,-73.9146501854584 ,West 235th Street,650,Bronx,10463,http://www.nypl.org/locations/spuyten-duyvil
St. Agnes,40.784834636708375,-73.97745211592564 ,Amsterdam Avenue,444,Manhattan,10024,http://www.nypl.org/locations/st-agnes
St. George Library Center,40.64179934831384,-74.07667836343802 ,Central Avenue,5,Staten Island,10301,http://www.nypl.org/locations/st-george-library-center
Stapleton,40.626256522293644,-74.07786385638836 ,Canal Street,132,Staten Island,10304,http://www.nypl.org/locations/stapleton
Stephen A. Schwarzman Building,40.75320442290988,-73.98223080385785 ,Fifth Avenue at 42nd Street,,Manhattan,10018,http://www.nypl.org/locations/schwarzman
Terence Cardinal Cooke-Cathedral,40.75680235018433,-73.97254082689402 ,Lexington Avenue,560,Manhattan,10022,http://www.nypl.org/locations/cathedral
Throg's Neck,40.82287218481685,-73.8190949368255 ,Cross Bronx Expressway Extension,3025,Bronx,10465,http://www.nypl.org/locations/throgs-neck
Todt Hill-Westerleigh,40.60960200172146,-74.14852127833858 ,Victory Boulevard,2550,Staten Island,10314,http://www.nypl.org/locations/todt-hill-westerleigh
Tompkins Square,40.72728802667872,-73.98042071146763 ,East 10th Street,331,Manhattan,10009,http://www.nypl.org/locations/tompkins-square
Tottenville,40.509531123859375,-74.24410670826178 ,Amboy Road,7430,Staten Island,10307,http://www.nypl.org/locations/tottenville
Tremont,40.84604568736388,-73.89834943816875 ,Washington Avenue,1866,Bronx,10457,http://www.nypl.org/locations/tremont
Van Cortlandt,40.88277969546436,-73.8939211860628 ,Sedgwick Avenue,3874,Bronx,10463,http://www.nypl.org/locations/van-cortlandt
Wakefield,40.891085065406706,-73.85958124409599 ,Lowerre Place,4100,Bronx,10466,http://www.nypl.org/locations/wakefield
Washington Heights,40.834548887305765,-73.93971034945567 ,St. Nicholas Avenue,1000,Manhattan,10032,http://www.nypl.org/locations/washington-heights
Webster,40.770652543462646,-73.95134169404905 ,York Avenue,1465,Manhattan,10021,http://www.nypl.org/locations/webster
West Farms,40.844644453005635,-73.88301210482436 ,Honeywell Avenue,2085,Bronx,10460,http://www.nypl.org/locations/west-farms
West New Brighton,40.63450894226954,-74.11482187344863 ,Castleton Avenue,976,Staten Island,10310,http://www.nypl.org/locations/west-new-brighton
Westchester Square,40.84086754432402,-73.84673061822738 ,Glebe Avenue,2521,Bronx,10461,http://www.nypl.org/locations/westchester-square
Woodlawn Heights,40.90043990975718,-73.86794200000536 ,Katonah Avenue,4355,Bronx,10470,http://www.nypl.org/locations/woodlawn-heights
Woodstock,40.82061890603643,-73.90464799347694 ,East 160th Street,761,Bronx,10456,http://www.nypl.org/locations/woodstock
Yorkville,40.77365564161395,-73.95637252319334 ,East 79th Street,222,Manhattan,10021,http://www.nypl.org/locations/yorkville
Arlington,40.68068925695902,-73.88723723774561 ,Arlington Avenue,203,Brooklyn,11207,http://www.bklynlibrary.org/locations/arlington
Bay Ridge,40.633625713382486,-74.02953835191357 ,Ridge Boulevard,7223,Brooklyn,11209,http://www.bklynlibrary.org/locations/bay-ridge
Bedford,40.68181211172472,-73.95616471363496 ,Franklin Avenue,496,Brooklyn,11238,http://www.bklynlibrary.org/locations/bedford
Borough Park,40.638888838712376,-73.98900318822345 ,43rd Street,1265,Brooklyn,11219,http://www.bklynlibrary.org/locations/borough-park
Brighton Beach <br> (Closed for Renovation,40.57610774698186,-73.9667748761715 ,Brighton First Road,16,Brooklyn,11235,http://www.bklynlibrary.org/locations/brighton-beach
Brooklyn Heights,40.69568255523745,-73.99134798814833 ,Cadman Plaza West,280,Brooklyn,11201,http://www.bklynlibrary.org/locations/brooklyn-heights
Brower Park,40.675370851852314,-73.94856613670774 ,St. Marks Avenue,725,Brooklyn,11216,http://www.bklynlibrary.org/locations/brower-park
Brownsville,40.671526655858436,-73.90860343294449 ,Glenmore Avenue,61,Brooklyn,11212,http://www.bklynlibrary.org/locations/brownsville
Bushwick,40.704559063938675,-73.93961842135727 ,Bushwick Avenue,340,Brooklyn,11206,http://www.bklynlibrary.org/locations/bushwick
Canarsie,40.64220845315574,-73.89952442124468 ,Rockaway Parkway,1580,Brooklyn,11236,http://www.bklynlibrary.org/locations/canarsie
Carroll Gardens,40.683213515337584,-73.99801906031493 ,Clinton Street,396,Brooklyn,11231,http://www.bklynlibrary.org/locations/carroll-gardens
Brooklyn Central Library,40.672343526336505,-73.9682243828713 ,Grand Army Plaza,10,Brooklyn,11238,http://www.bklynlibrary.org/locations/central
Clarendon,40.63574014928098,-73.94763429707129 ,Nostrand Avenue,2035,Brooklyn,11210,http://www.bklynlibrary.org/locations/clarendon
Clinton Hill,40.68737909411427,-73.96603066603613 ,Washington Avenue,380,Brooklyn,11238,http://www.bklynlibrary.org/locations/clinton-hill
Coney Island,40.57663777607667,-73.9860619926265 ,Mermaid Avenue,1901,Brooklyn,11224,http://www.bklynlibrary.org/locations/coney-island
Cortelyou,40.640803547205046,-73.96596507806375 ,Cortelyou Road,1305,Brooklyn,11226,http://www.bklynlibrary.org/locations/cortelyou
Crown Heights,40.661189307734446,-73.9481022990789 ,New York Avenue,560,Brooklyn,11225,http://www.bklynlibrary.org/locations/crown-heights
Cypress Hills,40.67270747286009,-73.8740348780572 ,Sutter Avenue,1197,Brooklyn,11208,http://www.bklynlibrary.org/locations/cypress-hills
DeKalb,40.694816700021924,-73.92839866742115 ,Bushwick Avenue,790,Brooklyn,11221,http://www.bklynlibrary.org/locations/dekalb
Dyker,40.616308136970446,-74.0119885202191 ,13th Avenue,8202,Brooklyn,11228,http://www.bklynlibrary.org/locations/dyker
East Flatbush,40.655710884739364,-73.91494061956683 ,Church Avenue,9612,Brooklyn,11212,http://www.bklynlibrary.org/locations/east-flatbush
Eastern Parkway,40.66848651013449,-73.93365084956477 ,Eastern Parkway,1044,Brooklyn,11213,http://www.bklynlibrary.org/locations/eastern-parkway
Flatbush,40.651925081044595,-73.95824218248399 ,Linden Boulevard,22,Brooklyn,11226,http://www.bklynlibrary.org/locations/flatbush
Flatlands,40.61976819625962,-73.93321325624171 ,Flatbush Avenue,2065,Brooklyn,11234,http://www.bklynlibrary.org/locations/flatlands
Fort Hamilton,40.61637311059178,-74.0313694054087 ,Fourth Avenue,9424,Brooklyn,11209,http://www.bklynlibrary.org/locations/fort-hamilton
Gerritsen Beach,40.59137103427607,-73.9239376273276 ,Gerritsen Avenue,2808,Brooklyn,11229,http://www.bklynlibrary.org/locations/gerritsen-beach
Gravesend,40.590544390004084,-73.9718084463328 ,Avenue X,303,Brooklyn,11223,http://www.bklynlibrary.org/locations/gravesend
Greenpoint,40.72602806688718,-73.95069497514092 ,Norman Avenue,107,Brooklyn,11222,http://www.bklynlibrary.org/locations/greenpoint
Highlawn,40.605693037370436,-73.98624641554409 ,West 13th Street,1664,Brooklyn,11223,http://www.bklynlibrary.org/locations/highlawn
Homecrest,40.5952368631223,-73.96059936964683 ,Coney Island Avenue,2525,Brooklyn,11223,http://www.bklynlibrary.org/locations/homecrest
Jamaica Bay,40.63446013901777,-73.88924363004107 ,Seaview Avenue,9727,Brooklyn,11236,http://www.bklynlibrary.org/locations/jamaica-bay
Kensington,40.63129183260273,-73.97543590517284 ,18th Avenue,4207,Brooklyn,11218,http://www.bklynlibrary.org/locations/kensington
Kings Bay,40.594861515121615,-73.94112492296973 ,Nostrand Avenue,3650,Brooklyn,11229,http://www.bklynlibrary.org/locations/kings-bay
Kings Highway,40.610256667276076,-73.95310584865699 ,Ocean Avenue,2115,Brooklyn,11229,http://www.bklynlibrary.org/locations/kings-highway
Leonard,40.71364488802169,-73.94793571283621 ,Devoe Street,81,Brooklyn,11211,http://www.bklynlibrary.org/locations/leonard
Macon,40.68300490204431,-73.93480547027619 ,Lewis Avenue,361,Brooklyn,11233,http://www.bklynlibrary.org/locations/macon
Mapleton,40.62309139633207,-73.989440154021 ,60th Street,1702,Brooklyn,11204,http://www.bklynlibrary.org/locations/mapleton
Marcy,40.69162308733465,-73.95128349802154 ,DeKalb Avenue,617,Brooklyn,11216,http://www.bklynlibrary.org/locations/marcy
McKinley Park,40.62918753393924,-74.01183730763366 ,Fort Hamilton Parkway,6802,Brooklyn,11219,http://www.bklynlibrary.org/locations/mckinley-park
Midwood,40.62589330718781,-73.96031449280875 ,East 16th Street,975,Brooklyn,11230,http://www.bklynlibrary.org/locations/midwood
Mill Basin,40.61986842104019,-73.91702120710569 ,Ralph Avenue,2385,Brooklyn,11234,http://www.bklynlibrary.org/locations/mill-basin
New Lots,40.665159369730134,-73.88607053682676 ,New Lots Avenue,665,Brooklyn,11207,http://www.bklynlibrary.org/locations/new-lots
"New Utrecht <br> (Temporary Closed, will reopen later this Summer (2016).",40.608009349952326,-74.00337654508532 ,86th Street,1743,Brooklyn,11214,http://www.bklynlibrary.org/locations/new-utrecht
Pacific,40.68346662977525,-73.97858353651877 ,Fourth Avenue,25,Brooklyn,11217,http://www.bklynlibrary.org/locations/pacific
Paerdegat,40.63263699303789,-73.91998488083019 ,East 59th Street,850,Brooklyn,11234,http://www.bklynlibrary.org/locations/paerdegat
Park Slope,40.66823507229803,-73.98345536969875 ,6th Avenue,431,Brooklyn,11215,http://www.bklynlibrary.org/locations/park-slope
Red Hook,40.6752407736475,-74.0103430690854 ,Wolcott Street,7,Brooklyn,11231,http://www.bklynlibrary.org/locations/red-hook
Rugby,40.64861929304924,-73.93035653080916 ,Utica Avenue,1000,Brooklyn,11203,http://www.bklynlibrary.org/locations/rugby
Ryder,40.61587982519312,-73.97596652755537 ,23rd Avenue,5902,Brooklyn,11204,http://www.bklynlibrary.org/locations/ryder
Saratoga,40.68481004767251,-73.91513241598248 ,Thomas S. Boyland Street,8,Brooklyn,11233,http://www.bklynlibrary.org/locations/saratoga
Sheepshead Bay,40.58701342922593,-73.95537377987904 ,East 14th Street,2636,Brooklyn,11235,http://www.bklynlibrary.org/locations/sheepshead-bay
Spring Creek,40.653209761333976,-73.88586614058737 ,Flatlands Avenue,12143,Brooklyn,11207,http://www.bklynlibrary.org/locations/spring-creek
Stone Avenue,40.66449962821875,-73.90524945420668 ,Mother Gaston Boulevard,581,Brooklyn,11212,http://www.bklynlibrary.org/locations/stone-avenue
Sunset Park,40.64591212398883,-74.013630001215 ,4th Avenue,5108,Brooklyn,11220,http://www.bklynlibrary.org/locations/sunset-park
Ulmer Park,40.59268511632151,-73.98862740604375 ,Bath Avenue,2602,Brooklyn,11214,http://www.bklynlibrary.org/locations/ulmer-park
Walt Whitman,40.69448969834957,-73.97773263286963 ,Saint Edwards Street,93,Brooklyn,11205,http://www.bklynlibrary.org/locations/walt-whitman
Washington Irving,40.697495053029975,-73.91220085369726 ,Irving Avenue,360,Brooklyn,11237,http://www.bklynlibrary.org/locations/washington-irving
Williamsburgh,40.70693042467486,-73.9575546134494 ,Division Avenue,240,Brooklyn,11211,http://www.bklynlibrary.org/locations/williamsburgh
Windsor Terrace,40.64875019151304,-73.9767587688368 ,East 5th Street,160,Brooklyn,11218,http://www.bklynlibrary.org/locations/windsor-terrace
Arverne,40.59314678303443,-73.78404002857111 ,Beach 54 Street,312,Queens,11692,http://www.queenslibrary.org/branch/Arverne?filters=ev_loc:92300000
Astoria,40.77237538146876,-73.92874209024014 ,Astoria Boulevard,14-01,Queens,11102,http://www.queenslibrary.org/branch/Astoria?filters=ev_loc:92400000
Auburndale,40.773746255710755,-73.79634178839724 ,Francis Lewis Boulevard,25-55,Queens,11358,http://www.queenslibrary.org/branch/Auburndale?filters=ev_loc:92500000
Baisley Park,40.68031131164878,-73.79167861112357 ,Sutphin Boulevard,117-11,Queens,11436,http://www.queenslibrary.org/branch/Baisley-Park?filters=ev_loc:92600000
Bay Terrace,40.78252384357715,-73.77701089642582 ,Bell Boulevard,18-36,Queens,11360,http://www.queenslibrary.org/branch/Bay-Terrace?filters=ev_loc:96600000
Bayside,40.76012558120687,-73.76836198066813 ,Northern Boulevard,214-20,Queens,11361,http://www.queenslibrary.org/branch/Bayside?filters=ev_loc:91100000
Bellerose,40.7351605518022,-73.71710447116403 ,Hillside Avenue,250-06,Queens,11426,http://www.queenslibrary.org/branch/Bellerose?filters=ev_loc:96400000
Briarwood,40.71003455781208,-73.81945312008847 ,Main Street,85-12,Queens,11435,http://www.queenslibrary.org/branch/Briarwood?filters=ev_loc:92700000
