"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"cod_barrio_local";"id_seccion_censal_local";"desc_seccion_censal_local";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"id_vial_edificio";"clase_vial_edificio";"desc_vial_edificio";"id_ndp_edificio";"id_clase_ndp_edificio";"nom_edificio";"num_edificio";"cal_edificio";"secuencial_local_PC";"id_vial_acceso";"clase_vial_acceso";"desc_vial_acceso";"id_ndp_acceso";"id_clase_ndp_acceso";"nom_acceso";"num_acceso";"cal_acceso";"coordenada_x_agrupacion";"coordenada_y_agrup";"id_agrupacion";"nombre_agrupacion";"id_tipo_agrup";"desc_tipo_agrup";"id_planta_agrupado";"id_local_agrupado";"rotulo"
"10000503";"1";"CENTRO              ";"106";"SOL                 ";"";"";"123";"0";"0";"";"Agrupado";"1";"Abierto";"";"CALLE                   ";"ARENAL                                            ";"11007793";"1";"NUM";"9";"  ";"0";"";"CALLE                   ";"ARENAL                                            ";"11007793";"1";"NUM";"9";"  ";"440200,06";"4474492,53";"99000051";"CENTRO COMERCIAL ARENAL,9 PALACIO GAVIRIA";"13";"Pasaje comercial";"PB";"EX49";"CAFE AND TE (L-10)"
"10000517";"1";"CENTRO              ";"101";"PALACIO             ";"";"";"12";"439874,65";"4473882,25";"";"Puerta Calle";"1";"Abierto";"";"PLAZA                   ";"CEBADA                                            ";"11000742";"1";"NUM";"9";"  ";"10";"";"PLAZA                   ";"CEBADA                                            ";"11000742";"1";"NUM";"9";"  ";"";"";"";"";"";"";"";"";"BAR LA EXTREMEÑA"
"10000687";"1";"CENTRO              ";"103";"CORTES              ";"";"";"69";"440612,46";"4474277,88";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"NUÑEZ DE ARCE                                     ";"11003878";"1";"NUM";"15";"  ";"20";"";"CALLE                   ";"NUÑEZ DE ARCE                                     ";"11003878";"1";"NUM";"15";"  ";"";"";"";"";"";"";"";"";"FRUTOS SECOS"
"10000700";"1";"CENTRO              ";"103";"CORTES              ";"";"";"72";"440798,94";"4474427,61";"";"Puerta Calle";"1";"Abierto";"";"CARRERA                 ";"SAN JERONIMO                                      ";"11003954";"1";"NUM";"32";"  ";"20";"";"CARRERA                 ";"SAN JERONIMO                                      ";"11003954";"1";"NUM";"32";"  ";"";"";"";"";"";"";"";"";"EL TINTERILLO DE MALAGA"
"10000761";"1";"CENTRO              ";"102";"EMBAJADORES         ";"";"";"54";"440790,77";"4473456,48";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"SOMBRERERIA                                       ";"11003023";"1";"NUM";"7";"  ";"20";"";"CALLE                   ";"SOMBRERERIA                                       ";"11003023";"1";"NUM";"7";"  ";"";"";"";"";"";"";"";"";"OBRADOR DE ROSI"
"10000775";"1";"CENTRO              ";"106";"SOL                 ";"";"";"117";"440451,47";"4474814,66";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"GRAN VIA                                          ";"11007327";"1";"NUM";"29";"  ";"20";"";"CALLE                   ";"GRAN VIA                                          ";"11007327";"1";"NUM";"29";"  ";"";"";"";"";"";"";"";"";"LA CASA DEL LIBRO"
"10000807";"1";"CENTRO              ";"103";"CORTES              ";"";"";"61";"441184,51";"4473733,74";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"ATOCHA                                            ";"11003272";"1";"NUM";"115";"  ";"20";"";"CALLE                   ";"ATOCHA                                            ";"11003272";"1";"NUM";"115";"  ";"";"";"";"";"";"";"";"";"PHUKET THAI RESTAURANT"
"10000869";"1";"CENTRO              ";"103";"CORTES              ";"";"";"68";"440924,68";"4474191,06";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"CERVANTES                                         ";"11003763";"1";"NUM";"9";"  ";"20";"";"CALLE                   ";"CERVANTES                                         ";"11003763";"1";"NUM";"9";"  ";"";"";"";"";"";"";"";"";"FABRICA DE CHURROS Y PATATAS FRITAS"
"10000895";"1";"CENTRO              ";"106";"SOL                 ";"";"";"118";"440650,96";"4474756,71";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"CABALLERO DE GRACIA                               ";"11007377";"1";"NUM";"10";"  ";"20";"";"CALLE                   ";"CABALLERO DE GRACIA                               ";"11007377";"1";"NUM";"10";"  ";"";"";"";"";"";"";"";"";"LA GLORIA DE MONTERA"
"10000915";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"84";"441111,04";"4475423,95";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"SANTA TERESA                                      ";"11005043";"1";"NUM";"12";"  ";"30";"";"CALLE                   ";"SANTA TERESA                                      ";"11005043";"1";"NUM";"12";"  ";"";"";"";"";"";"";"";"";"LA BRUJULA"
