SECNAME,ROADCLASS,Shape_Leng,YEAR_VOL,VOLUME
14STNW13,Urban Boulevard,105.3785308,2015,31000
14STNW14,Urban Boulevard,105.850684,2015,27000
14STNW15,Neighbourhood Blvd,395.0892241,2015,16000
14STNW15A,Urban Boulevard,105.9513975,2015,24000
14STNW15B,Urban Boulevard,105.977545,2015,24000
14STNW15C,Urban Boulevard,105.761653,2015,24000
14STNW15D,Urban Boulevard,106.1404641,2015,26000
14STNW15E,Neighbourhood Blvd,76.28787974,2015,19000
14STNW16,Neighbourhood Blvd,426.2534298,2015,19000
14STNW17A,Neighbourhood Blvd,307.3868796,2015,16000
14STNW17B,Neighbourhood Blvd,408.7830232,2015,12000
14STNW17C,Neighbourhood Blvd,429.6506075,2015,13000
14STNW2,Arterial Street,363.4454095,2015,20000
14STNW2A,Arterial Street,331.8843373,2015,21000
14STNW2B,Arterial Street,627.4916095,2015,16000
14STNW3,Arterial Street,868.4823363,2015,19000
14STNW4,Arterial Street,2248.581502,2015,22000
14STNW6,Arterial Street,2522.639708,2015,26000
14STNW7,Arterial Street,686.3686548,2015,30000
14STNW8,Urban Boulevard,660.5957956,2015,40000
14STNW8A,Arterial Street,983.0985761,2015,34000
14STNW8B,Arterial Street,608.7540125,2015,34000
14STNW9,Arterial Street,603.5822847,2015,39000
14STSW1,Skeletal Road,668.3107274,2015,85000
14STSW1A,Skeletal Road,955.9767557,2015,75000
14STSW2,Skeletal Road,815.4586029,2015,76000
14STSW3,Skeletal Road,1191.690852,2015,48000
14STSW4,Skeletal Road,1214.773874,2015,38000
14STSW5,Parkway,1161.092289,2015,13000
162AVSW1,Arterial Street,1633.891654,2015,17000
162AVSW2,Arterial Street,750.1462304,2015,20000
162AVSW2A,Arterial Street,297.963841,2015,34000
162AVSW3,Arterial Street,496.1343209,2015,15000
162AVSW4,Arterial Street,336.2105108,2015,12000
162AVSW5,Arterial Street,455.7475559,2015,11000
162AVSW6,Arterial Street,628.547729,2015,2000
16AV/TCH1,Skeletal Road,1072.868051,2015,52000
16AV/TCH10,Urban Boulevard,286.1436348,2015,50000
16AV/TCH10B,Urban Boulevard,346.3818245,2015,51000
16AV/TCH11,Urban Boulevard,180.9998165,2015,50000
16AV/TCH11B,Urban Boulevard,264.0971237,2015,54000
16AV/TCH12,Urban Boulevard,548.6669244,2015,52000
16AV/TCH13,Urban Boulevard,1548.995135,2015,60000
16AV/TCH14,Skeletal Road,860.3880928,2015,77000
16AV/TCH15,Skeletal Road,827.3892927,2015,75000
16AV/TCH16,Skeletal Road,1969.494228,2015,68000
16AV/TCH17,Skeletal Road,1123.806272,2015,69000
16AV/TCH18,Skeletal Road,1616.209615,2015,57000
16AV/TCH19,Skeletal Road,994.8533477,2015,48000
16AV/TCH1A,Skeletal Road,3063.531106,2015,32000
16AV/TCH2,Skeletal Road,1704.439442,2015,66000
16AV/TCH20,Skeletal Road,627.16238,2015,35000
16AV/TCH3,Skeletal Road,1622.546657,2015,66000
16AV/TCH4,Skeletal Road,1934.804502,2015,39000
16AV/TCH4A,Urban Boulevard,1435.454328,2015,37000
16AV/TCH5,Skeletal Road,1392.584741,2015,33000
16AV/TCH5B,Skeletal Road,524.7187048,2015,34000
16AV/TCH6,Urban Boulevard,1099.251731,2015,54000
16AV/TCH7,Urban Boulevard,867.7094915,2015,50000
16AV/TCH8,Urban Boulevard,638.1229279,2015,49000
16AV/TCH9,Urban Boulevard,934.1883661,2015,51000
17AVESE8,Parkway,983.7838411,2015,26000
17AVESE8A,Arterial Street,625.4967211,2015,19000
17AVESE9,Arterial Street,3265.525523,2015,19000
17AVSE0,Collector,556.1043724,2015,4000
17AVSE1,Arterial Street,987.5980043,2015,68000
17AVSE2,Arterial Street,591.4064564,2015,41000
17AVSE2B,Urban Boulevard,172.8214571,2015,38000
17AVSE3,Urban Boulevard,445.7844245,2015,42000
17AVSE3B,Urban Boulevard,352.7250188,2015,34000
17AVSE4,Urban Boulevard,515.9151712,2015,28000
17AVSE5,Urban Boulevard,416.160555,2015,26000
17AVSE5A,Urban Boulevard,302.5095426,2015,34000
17AVSE5B,Urban Boulevard,397.134195,2015,29000
17AVSE6,Urban Boulevard,1097.369844,2015,24000
17AVSE7,Parkway,245.5770425,2015,26000
17AVSE7B,Parkway,292.6027227,2015,30000
17AVSW_1B,Arterial Street,1629.22132,2015,12000
17AVSW1,Arterial Street,645.8255183,2015,21000
17AVSW10,Neighbourhood Blvd,521.1763073,2015,18000
17AVSW12,Neighbourhood Blvd,533.1622348,2015,19000
17AVSW14,Neighbourhood Blvd,189.8749478,2015,19000
17AVSW15,Neighbourhood Blvd,206.7813342,2015,15000
17AVSW16,Neighbourhood Blvd,173.2178293,2015,16000
