Year,Type,Rebates
2003,Residential,327
2004,Residential,1915
2005,Residential,3300
2006,Residential,3257
2007,Residential,4179
2008,Residential,7584
2009,Residential,3982
2010,Residential,6526
2011,Residential,8374
2012,Residential,10983
2013,Residential,9749
2014,Residential,9103
2015,Residential,9144
2003,MultiFamily,0
2004,MultiFamily,0
2005,MultiFamily,0
2006,MultiFamily,0
2007,MultiFamily,913
2008,MultiFamily,360
2009,MultiFamily,564
2010,MultiFamily,691
2011,MultiFamily,98
2012,MultiFamily,732
2013,MultiFamily,379
2014,MultiFamily,643
2015,MultiFamily,157
2003,HotelMotel,0
2004,HotelMotel,0
2005,HotelMotel,0
2006,HotelMotel,0
2007,HotelMotel,0
2008,HotelMotel,117
2009,HotelMotel,565
2010,HotelMotel,185
2011,HotelMotel,36
2012,HotelMotel,0
2013,HotelMotel,555
2014,HotelMotel,343
2015,HotelMotel,410
