CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,SHAPE_AREA,SHAPE_LEN
Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,2000s,2014,,9086,3000,1158,0,0,2661,0,0,2316,182,0,0,500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,180,168,389,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,404,966,11,17,0,5,2202,2087,7722,38,71,0,0,318,706,547,1165,120,4401,4685,414,947,283,159,414,1009,693,283,154,45,473,944,215,168,543,1175,686,292,138,51,887,1891,498,327,957,2184,1379,575,292,96,4074004.335,8277.676145
Residential,1,MAN,MANCHESTER,CENTRE,BUILT-OUT,2000s,2014,,1332,673,322,0,0,27,0,0,28,4,0,628,4,0,5,0,1,1,1,0,1,0,2,615,24,1074,4,7,0,0,5,0,9,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,187,0,0,0,0,4,0,8,0,0,0,7,18,3,37,3,0,0,4,240,345,37,24,3,501,831,37,22,2,31,100,95,69,84,52,9,271,17,15,67,331,53,29,26,15,7,308,39,17,98,431,148,98,110,67,16,474122.0909,4015.646603
Residential,1,CFL,CFB - LINCOLN PARK PMQ,WEST,BUILT-OUT,2000s,2014,,2065,730,257,0,0,477,0,0,262,72,0,252,141,0,1,0,0,0,2,0,0,0,2,246,103,364,3,0,1,0,1,0,1,0,0,0,0,72,28,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,341,0,0,0,0,141,124,314,0,0,0,0,261,222,834,0,0,1,2,208,246,105,154,10,970,1095,117,107,21,25,196,188,113,75,91,37,97,98,28,40,228,245,108,68,116,67,214,205,49,65,424,433,221,143,207,104,374202.5106,2887.211597
Residential,1,MAC,MACEWAN GLEN,NORTH,BUILT-OUT,2000s,2014,,5053,1781,340,0,0,1535,0,0,1515,66,0,0,185,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,24,0,0,1,0,66,42,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,111,429,2,0,0,0,1511,1382,4429,3,0,1,0,242,572,431,473,56,2486,2567,123,307,181,202,301,309,460,412,111,80,163,278,181,169,307,348,476,401,126,118,286,585,362,371,608,657,936,813,237,198,1418085.765,5013.413205
Residential,1,DRG,DEER RIDGE,SOUTH,BUILT-OUT,2000s,2014,,4165,1502,357,0,0,1101,0,0,858,140,0,0,494,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,2,0,139,69,413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101,0,0,0,0,486,271,1277,8,0,0,0,846,761,2368,12,0,0,1,215,532,350,328,51,2038,2127,147,299,134,135,342,274,276,238,125,68,130,255,109,136,341,324,312,268,123,129,277,554,243,271,683,598,588,506,248,197,1417418.213,4899.159908
Residential,1,MOP,MOUNT PLEASANT,CENTRE,BUILT-OUT,2000s,2014,,5442,2694,453,0,0,1430,0,0,1495,583,4,112,86,0,411,0,2,1,0,0,0,0,0,104,8,170,7,0,1,0,339,30,512,43,1,28,1,532,386,1378,10,40,0,0,0,0,0,0,0,0,0,3,0,5,0,1,1,0,2,0,1,1,0,0,0,80,64,112,2,0,4,8,1402,942,3264,47,30,8,3,716,999,390,331,25,2775,2667,173,203,84,228,690,520,383,314,112,68,228,212,79,201,589,540,347,274,111,86,401,415,163,429,1279,1060,730,588,223,154,1864863.68,5992.606457
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,2000s,2014,,410,165,40,0,0,128,0,0,162,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,128,406,8,2,0,0,22,58,43,29,3,197,213,11,28,5,7,15,42,29,34,14,12,24,19,14,8,17,41,25,29,15,21,35,47,19,15,32,83,54,63,29,33,352694.644,2630.183011
Residential,1,CLI,CLIFF BUNGALOW,CENTRE,BUILT-OUT,2000s,2014,,2049,1348,62,0,0,370,0,0,168,14,0,941,70,0,153,0,0,0,0,1,1,0,3,927,255,1343,11,0,0,2,142,1,182,9,0,0,0,13,5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,0,0,0,0,65,28,110,5,0,0,5,154,81,340,9,0,0,2,762,423,77,38,3,996,1053,21,13,17,110,383,226,122,61,27,16,33,19,21,139,414,219,89,67,37,15,54,32,38,249,797,445,211,128,64,31,362727.9678,2944.198197
Residential,1,RIV,RIVERBEND,SOUTHEAST,BUILT-OUT,2000s,2014,,9696,3453,547,0,0,3116,0,0,3241,42,0,0,150,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,23,6,0,2,0,42,41,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,133,270,2,0,0,1,3214,2941,9327,26,0,0,0,433,1241,727,892,123,4870,4826,212,481,423,374,594,667,978,786,255,100,239,502,342,331,545,679,1090,698,266,134,451,983,765,705,1139,1346,2068,1484,521,234,4081198.967,9164.170462
Residential,1,CHN,CHINATOWN,CENTRE,BUILT-OUT,2000s,2014,,1836,1397,64,0,0,278,0,0,0,0,0,1377,4,1,0,15,0,0,0,0,0,0,99,1183,275,1816,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,3,3,5,1,0,0,0,0,0,0,0,0,0,15,697,409,64,29,2,778,1058,12,22,14,30,168,134,110,71,63,154,48,14,11,51,159,142,97,158,67,311,60,36,25,81,327,276,207,229,130,465,247558.483,2670.204642
