year,sector,type_of_space,availability,amount_of_space
2013,Private,Office Space,Available,6190
2013,Private,Office Space,Vacant,666
2013,Private,Retail Space,Available,4182
2013,Private,Retail Space,Vacant,209
2013,Private,Factory Space,Available,28080
2013,Private,Factory Space,Vacant,2425
2013,Private,Warehouse Space,Available,7643
2013,Private,Warehouse Space,Vacant,706
2013,Public,Office Space,Available,1251
2013,Public,Office Space,Vacant,67
2013,Public,Retail Space,Available,1516
2013,Public,Retail Space,Vacant,45
2013,Public,Factory Space,Available,5068
2013,Public,Factory Space,Vacant,197
2013,Public,Warehouse Space,Available,93
2013,Public,Warehouse Space,Vacant,2
2014,Private,Office Space,Available,6283
2014,Private,Office Space,Vacant,704
2014,Private,Retail Space,Available,4348
2014,Private,Retail Space,Vacant,283
2014,Private,Factory Space,Available,29258
2014,Private,Factory Space,Vacant,2905
2014,Private,Warehouse Space,Available,8317
2014,Private,Warehouse Space,Vacant,682
2014,Public,Office Space,Available,1270
2014,Public,Office Space,Vacant,69
2014,Public,Retail Space,Available,1566
2014,Public,Retail Space,Vacant,61
2014,Public,Factory Space,Available,5173
2014,Public,Factory Space,Vacant,322
2014,Public,Warehouse Space,Available,95
2014,Public,Warehouse Space,Vacant,4
