quarter,type_of_property,private_residential_property_price_index
1997-Q4,Landed,116.8
1997-Q4,Non-landed,102.9
1998-Q1,Landed,106.3
1998-Q1,Non-landed,93
1998-Q2,Landed,97.2
1998-Q2,Non-landed,85.4
1998-Q3,Landed,81.3
1998-Q3,Non-landed,76.8
1998-Q4,Landed,72.8
1998-Q4,Non-landed,71.2
1999-Q1,Landed,76.5
1999-Q1,Non-landed,75.2
1999-Q2,Landed,87
1999-Q2,Non-landed,83.5
1999-Q3,Landed,93.8
1999-Q3,Non-landed,90.4
1999-Q4,Landed,98.8
1999-Q4,Non-landed,95.1
2000-Q1,Landed,100.7
2000-Q1,Non-landed,98.5
2000-Q2,Landed,101
2000-Q2,Non-landed,100.4
2000-Q3,Landed,98.5
2000-Q3,Non-landed,97.7
2000-Q4,Landed,97.2
2000-Q4,Non-landed,94.2
2001-Q1,Landed,94.4
2001-Q1,Non-landed,90
2001-Q2,Landed,92
2001-Q2,Non-landed,89.8
2001-Q3,Landed,88.9
2001-Q3,Non-landed,87.3
2001-Q4,Landed,87
2001-Q4,Non-landed,82.7
2002-Q1,Landed,85.4
2002-Q1,Non-landed,82
2002-Q2,Landed,85
2002-Q2,Non-landed,81.4
2002-Q3,Landed,85.4
2002-Q3,Non-landed,81.6
2002-Q4,Landed,85.1
2002-Q4,Non-landed,81.3
2003-Q1,Landed,84.4
2003-Q1,Non-landed,80.6
2003-Q2,Landed,83.8
2003-Q2,Non-landed,80.2
2003-Q3,Landed,83.2
2003-Q3,Non-landed,79.9
2003-Q4,Landed,83.1
2003-Q4,Non-landed,79.9
2004-Q1,Landed,82.7
2004-Q1,Non-landed,79.6
2004-Q2,Landed,83
2004-Q2,Non-landed,79.6
2004-Q3,Landed,83.3
2004-Q3,Non-landed,79.9
2004-Q4,Landed,83.6
2004-Q4,Non-landed,80.8
2005-Q1,Landed,84
2005-Q1,Non-landed,81.4
2005-Q2,Landed,84.1
2005-Q2,Non-landed,81.9
2005-Q3,Landed,84.8
2005-Q3,Non-landed,83.1
2005-Q4,Landed,85.6
2005-Q4,Non-landed,84.4
2006-Q1,Landed,86.8
2006-Q1,Non-landed,85.7
2006-Q2,Landed,88.2
2006-Q2,Non-landed,87.2
2006-Q3,Landed,89.2
2006-Q3,Non-landed,90
2006-Q4,Landed,91.3
2006-Q4,Non-landed,93.8
2007-Q1,Landed,94
2007-Q1,Non-landed,98.8
2007-Q2,Landed,100.6
2007-Q2,Non-landed,107.1
2007-Q3,Landed,108.1
2007-Q3,Non-landed,116
2007-Q4,Landed,112.7
2007-Q4,Non-landed,124.4
2008-Q1,Landed,117.1
2008-Q1,Non-landed,129
2008-Q2,Landed,117.8
2008-Q2,Non-landed,129
2008-Q3,Landed,115.7
2008-Q3,Non-landed,125.8
2008-Q4,Landed,110.1
2008-Q4,Non-landed,117.8
2009-Q1,Landed,100
2009-Q1,Non-landed,100
2009-Q2,Landed,95.3
2009-Q2,Non-landed,95.3
2009-Q3,Landed,109.5
2009-Q3,Non-landed,110.5
2009-Q4,Landed,118.6
2009-Q4,Non-landed,118.4
2010-Q1,Landed,128.4
2010-Q1,Non-landed,124.3
2010-Q2,Landed,136.4
2010-Q2,Non-landed,130.5
2010-Q3,Landed,147
2010-Q3,Non-landed,132.6
2010-Q4,Landed,155.1
2010-Q4,Non-landed,135
2011-Q1,Landed,161.1
2011-Q1,Non-landed,137.3
2011-Q2,Landed,166.9
2011-Q2,Non-landed,139.2
2011-Q3,Landed,170.8
2011-Q3,Non-landed,140.8
2011-Q4,Landed,171
2011-Q4,Non-landed,141.2
2012-Q1,Landed,171.2
2012-Q1,Non-landed,141
2012-Q2,Landed,171.9
2012-Q2,Non-landed,141.6
2012-Q3,Landed,173.9
2012-Q3,Non-landed,142.3
2012-Q4,Landed,177
2012-Q4,Non-landed,144.8
2013-Q1,Landed,177.8
2013-Q1,Non-landed,145.9
2013-Q2,Landed,178.4
2013-Q2,Non-landed,148
2013-Q3,Landed,178.9
2013-Q3,Non-landed,148.9
2013-Q4,Landed,177.1
2013-Q4,Non-landed,147.6
2014-Q1,Landed,175.9
2014-Q1,Non-landed,145.7
2014-Q2,Landed,172.9
2014-Q2,Non-landed,144.5
2014-Q3,Landed,169.8
2014-Q3,Non-landed,143.9
2014-Q4,Landed,167.6
2014-Q4,Non-landed,142.5
2015-Q1,Landed,166.1
2015-Q1,Non-landed,140.9
2015-Q2,Landed,164.4
2015-Q2,Non-landed,139.8
2015-Q3,Landed,163.7
2015-Q3,Non-landed,137.7
2015-Q4,Landed,160.8
2015-Q4,Non-landed,137.4
