financial_year,type_of_booking,number_of_bookings
2008,Build-To-Order System,6816
2008,Sale of Balance Flats,0
2008,SERS Replacement Flats,0
2009,Build-To-Order System,9140
2009,Sale of Balance Flats,1927
2009,SERS Replacement Flats,0
2010,Build-To-Order System,15006
2010,Sale of Balance Flats,1624
2010,SERS Replacement Flats,0
2011,Build-To-Order System,22202
2011,Sale of Balance Flats,5401
2011,SERS Replacement Flats,361
2012,Build-To-Order System,21805
2012,Sale of Balance Flats,2020
2012,SERS Replacement Flats,79
2013,Build-To-Order System,21537
2013,Sale of Balance Flats,4575
2013,SERS Replacement Flats,2532
2014,Build-To-Order System,16822
2014,Sale of Balance Flats,3945
2014,SERS Replacement Flats,39
