quarter,product_segment,occupancy_rate
2015-Q2,Overall,91.4
2015-Q2,Flatted Factory Space,76.1
2015-Q2,Business Park Space,82.5
2015-Q2,Standard Factory Space,94.6
2015-Q2,Workshop Space,97.2
2015-Q3,Overall,91.6
2015-Q3,Flatted Factory Space,76.5
2015-Q3,Business Park Space,86
2015-Q3,Standard Factory Space,94.4
2015-Q3,Workshop Space,96.6
2015-Q4,Overall,91
2015-Q4,Flatted Factory Space,75.8
2015-Q4,Business Park Space,86.1
2015-Q4,Standard Factory Space,93.8
2015-Q4,Workshop Space,96
2016-Q1,Overall,91.1
2016-Q1,Flatted Factory Space,76.1
2016-Q1,Business Park Space,87.3
2016-Q1,Standard Factory Space,93.6
2016-Q1,Workshop Space,95.6
2016-Q2,Overall,91.1
2016-Q2,Flatted Factory Space,75.8
2016-Q2,Business Park Space,92.2
2016-Q2,Standard Factory Space,93.2
2016-Q2,Workshop Space,95.5
