quarter,sector,type_of_space,availability,amount_of_space
2014-Q2,Private,Office Space,Available,6205
2014-Q2,Private,Office Space,Vacant,657
2014-Q2,Private,Retail Space,Available,4220
2014-Q2,Private,Retail Space,Vacant,277
2014-Q2,Private,Factory Space,Available,28652
2014-Q2,Private,Factory Space,Vacant,2725
2014-Q2,Private,Warehouse Space,Available,8128
2014-Q2,Private,Warehouse Space,Vacant,942
2014-Q2,Public,Office Space,Available,1250
2014-Q2,Public,Office Space,Vacant,62
2014-Q2,Public,Retail Space,Available,1546
2014-Q2,Public,Retail Space,Vacant,66
2014-Q2,Public,Factory Space,Available,5093
2014-Q2,Public,Factory Space,Vacant,233
2014-Q2,Public,Warehouse Space,Available,95
2014-Q2,Public,Warehouse Space,Vacant,4
2014-Q3,Private,Office Space,Available,6144
2014-Q3,Private,Office Space,Vacant,562
2014-Q3,Private,Retail Space,Available,4257
2014-Q3,Private,Retail Space,Vacant,317
2014-Q3,Private,Factory Space,Available,28912
2014-Q3,Private,Factory Space,Vacant,2810
2014-Q3,Private,Warehouse Space,Available,8183
2014-Q3,Private,Warehouse Space,Vacant,788
2014-Q3,Public,Office Space,Available,1264
2014-Q3,Public,Office Space,Vacant,60
2014-Q3,Public,Retail Space,Available,1561
2014-Q3,Public,Retail Space,Vacant,63
2014-Q3,Public,Factory Space,Available,5101
2014-Q3,Public,Factory Space,Vacant,249
2014-Q3,Public,Warehouse Space,Available,95
2014-Q3,Public,Warehouse Space,Vacant,4
2014-Q4,Private,Office Space,Available,6283
2014-Q4,Private,Office Space,Vacant,704
2014-Q4,Private,Retail Space,Available,4348
2014-Q4,Private,Retail Space,Vacant,283
2014-Q4,Private,Factory Space,Available,29258
2014-Q4,Private,Factory Space,Vacant,2905
2014-Q4,Private,Warehouse Space,Available,8317
2014-Q4,Private,Warehouse Space,Vacant,682
2014-Q4,Public,Office Space,Available,1270
2014-Q4,Public,Office Space,Vacant,69
2014-Q4,Public,Retail Space,Available,1566
2014-Q4,Public,Retail Space,Vacant,61
2014-Q4,Public,Factory Space,Available,5173
2014-Q4,Public,Factory Space,Vacant,322
2014-Q4,Public,Warehouse Space,Available,95
2014-Q4,Public,Warehouse Space,Vacant,4
2015-Q1,Private,Office Space,Available,6294
2015-Q1,Private,Office Space,Vacant,696
2015-Q1,Private,Retail Space,Available,4381
2015-Q1,Private,Retail Space,Vacant,343
2015-Q1,Private,Factory Space,Available,29473
2015-Q1,Private,Factory Space,Vacant,2806
2015-Q1,Private,Warehouse Space,Available,8414
2015-Q1,Private,Warehouse Space,Vacant,848
2015-Q1,Public,Office Space,Available,1281
2015-Q1,Public,Office Space,Vacant,80
2015-Q1,Public,Retail Space,Available,1567
2015-Q1,Public,Retail Space,Vacant,60
2015-Q1,Public,Factory Space,Available,5207
2015-Q1,Public,Factory Space,Vacant,366
2015-Q1,Public,Warehouse Space,Available,95
2015-Q1,Public,Warehouse Space,Vacant,7
2015-Q2,Private,Office Space,Available,6292
2015-Q2,Private,Office Space,Vacant,663
2015-Q2,Private,Retail Space,Available,4408
2015-Q2,Private,Retail Space,Vacant,360
2015-Q2,Private,Factory Space,Available,29713
2015-Q2,Private,Factory Space,Vacant,2880
2015-Q2,Private,Warehouse Space,Available,8480
2015-Q2,Private,Warehouse Space,Vacant,714
2015-Q2,Public,Office Space,Available,1291
2015-Q2,Public,Office Space,Vacant,83
2015-Q2,Public,Retail Space,Available,1565
2015-Q2,Public,Retail Space,Vacant,68
2015-Q2,Public,Factory Space,Available,5207
2015-Q2,Public,Factory Space,Vacant,316
2015-Q2,Public,Warehouse Space,Available,96
2015-Q2,Public,Warehouse Space,Vacant,8
2015-Q3,Private,Office Space,Available,6288
2015-Q3,Private,Office Space,Vacant,646
2015-Q3,Private,Retail Space,Available,4387
2015-Q3,Private,Retail Space,Vacant,347
2015-Q3,Private,Factory Space,Available,30068
2015-Q3,Private,Factory Space,Vacant,3083
2015-Q3,Private,Warehouse Space,Available,8590
2015-Q3,Private,Warehouse Space,Vacant,641
2015-Q3,Public,Office Space,Available,1292
2015-Q3,Public,Office Space,Vacant,82
2015-Q3,Public,Retail Space,Available,1562
2015-Q3,Public,Retail Space,Vacant,70
2015-Q3,Public,Factory Space,Available,5198
2015-Q3,Public,Factory Space,Vacant,307
2015-Q3,Public,Warehouse Space,Available,96
2015-Q3,Public,Warehouse Space,Vacant,9
