financial_year,mode,number_of_state_properties_launched
2008,Public Tender,15
2008,Auction,1
2008,Rent Direct,2
2009,Public Tender,17
2009,Auction,0
2009,Rent Direct,4
2010,Public Tender,21
2010,Auction,0
2010,Rent Direct,12
2011,Public Tender,40
2011,Auction,1
2011,Rent Direct,6
2012,Public Tender,36
2012,Auction,2
2012,Rent Direct,na
2013,Public Tender,18
2013,Auction,0
2013,Rent Direct,na
2014,Public Tender,32
2014,Auction,0
2014,Rent Direct,na
2015,Public Tender,37
2015,Auction,0
2015,Rent Direct,na
